"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 1vms-r4.src.dstat.csv",,,,"Date:","09 Jun 2014 19:28:25 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.096,0.054,99.823,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1787686912.0,55222272.0,12643483648.0,10837028864.0,319.693,2776.399


"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 1vms-r4.src.dstat.csv",,,,"Date:","09 Jun 2014 19:29:23 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.096,0.054,99.823,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1786548224.0,55296000.0,12643500032.0,10838077440.0,319.690,2776.462
