"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 3vms-r1.router.dstat.csv",,,,"Date:","29 May 2014 16:15:34 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.786,0.178,98.946,0.089,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,11005538304.0,150941696.0,475443200.0,13552893952.0,31023.473,133966.844
2.037,0.255,97.581,0.0,0.0,0.127,192.0,0.0,122706729.0,122690755.0,122706921.0,122690755.0,11005865984.0,150941696.0,475447296.0,13552562176.0,0.0,0.0
3.137,0.448,96.415,0.0,0.0,0.0,256.0,0.0,123103940.0,123117647.0,123104326.0,123117959.0,11004616704.0,150941696.0,475451392.0,13553807360.0,0.0,4096.0
3.831,0.192,95.785,0.0,0.0,0.192,298.0,106.0,123037704.0,123029512.0,123038002.0,123029618.0,11004850176.0,150941696.0,475451392.0,13553573888.0,0.0,0.0
3.131,0.192,96.230,0.319,0.0,0.128,384.0,0.0,123172497.0,123176685.0,123173685.0,123179391.0,11004289024.0,150949888.0,475443200.0,13554135040.0,0.0,106496.0
3.908,0.192,95.900,0.0,0.0,0.0,234.0,106.0,123169589.0,123149903.0,123169957.0,123150009.0,11003891712.0,150949888.0,475455488.0,13554520064.0,0.0,0.0
2.431,0.256,97.185,0.0,0.0,0.128,842.0,230.0,123148702.0,123164214.0,123149544.0,123164756.0,11003731968.0,150949888.0,475455488.0,13554679808.0,0.0,0.0
5.297,0.191,94.448,0.0,0.0,0.064,530.0,106.0,123183975.0,123177323.0,123184769.0,123177429.0,11002843136.0,150949888.0,475455488.0,13555568640.0,0.0,0.0
2.175,0.192,97.441,0.0,0.0,0.192,256.0,68.0,123163666.0,123158609.0,123163922.0,123158989.0,11002585088.0,150949888.0,475459584.0,13555822592.0,0.0,32768.0
5.256,0.128,94.615,0.0,0.0,0.0,64.0,0.0,123138896.0,123146786.0,123139030.0,123146870.0,11002425344.0,150949888.0,475459584.0,13555982336.0,0.0,16384.0
2.235,0.192,97.254,0.128,0.0,0.192,682.0,106.0,123191507.0,123182109.0,123192189.0,123182527.0,11001884672.0,150949888.0,475459584.0,13556523008.0,0.0,45056.0
4.041,0.064,95.895,0.0,0.0,0.0,362.0,170.0,123678804.0,123685637.0,123679166.0,123685807.0,11001757696.0,150949888.0,475459584.0,13556649984.0,0.0,0.0
3.569,0.255,96.112,0.0,0.0,0.064,334.0,92.0,123063536.0,123062124.0,123064134.0,123062528.0,11001757696.0,150949888.0,475459584.0,13556649984.0,0.0,0.0
