Timestamp,In ,Out
2014-05-30T04:18:30-04:00,3241585.3333,100534092.27
2014-05-30T04:18:45-04:00,3010237,128906784
2014-05-30T04:19:00-04:00,3010237,128906784
2014-05-30T04:19:15-04:00,4352036.8,140995778.13
2014-05-30T04:19:30-04:00,4839964,145391776
2014-05-30T04:19:45-04:00,4839964,145391776
2014-05-30T04:20:00-04:00,4853976.8,142756076.8
2014-05-30T04:20:15-04:00,4857480,142097152
2014-05-30T04:20:30-04:00,4004819.5833,130031982.4
2014-05-30T04:20:45-04:00,3694761.25,125644648
2014-05-30T04:21:00-04:00,3694761.25,125644648
2014-05-30T04:21:15-04:00,3501573.25,83737409.6
2014-05-30T04:21:30-04:00,3453276.25,73260600
2014-05-30T04:21:45-04:00,3453276.25,73260600
2014-05-30T04:22:00-04:00,2306837.65,33199694.4
2014-05-30T04:22:15-04:00,2020228,23184468
2014-05-30T04:22:30-04:00,597924.31867,19368437.467
2014-05-30T04:22:45-04:00,80722.98,17980790
2014-05-30T04:23:00-04:00,80722.98,17980790
2014-05-30T04:23:15-04:00,50577.26,11919149.8
2014-05-30T04:23:30-04:00,39615.18,9714917
2014-05-30T04:23:45-04:00,39615.18,9714917
2014-05-30T04:24:00-04:00,14187.82,3238429.3667
2014-05-30T04:24:15-04:00,1474.14,185.55
2014-05-30T04:24:30-04:00,1474.14,185.55
2014-05-30T04:24:45-04:00,1474.14,185.55
2014-05-30T04:25:00-04:00,1474.14,185.55
2014-05-30T04:25:15-04:00,1474.14,185.55
