"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 6vms-r2.router.dstat.csv",,,,"Date:","10 Jun 2014 18:24:11 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.890,0.176,98.849,0.084,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,9990901760.0,105574400.0,1011073024.0,14077267968.0,27680.513,120728.060
0.375,0.312,99.0,0.312,0.0,0.0,512.0,0.0,7424.0,6059.0,7936.0,6371.0,9990848512.0,105578496.0,1011073024.0,14077317120.0,0.0,147456.0
0.438,0.250,99.312,0.0,0.0,0.0,384.0,68.0,3250.0,4177.0,3634.0,4245.0,9988825088.0,105582592.0,1011077120.0,14079332352.0,4096.0,61440.0
0.313,0.125,99.562,0.0,0.0,0.0,850.0,106.0,1715.0,1410.0,2565.0,1828.0,9988935680.0,105582592.0,1011077120.0,14079221760.0,0.0,0.0
0.374,0.623,99.002,0.0,0.0,0.0,362.0,106.0,2137.0,1848.0,2629.0,1954.0,9989271552.0,105582592.0,1011077120.0,14078885888.0,0.0,0.0
0.439,0.188,99.373,0.0,0.0,0.0,448.0,0.0,1294.0,893.0,1742.0,1205.0,9988874240.0,105582592.0,1011077120.0,14079283200.0,0.0,4096.0
0.313,0.125,99.374,0.188,0.0,0.0,288.0,0.0,1779.0,1410.0,2067.0,1410.0,9988739072.0,105598976.0,1011068928.0,14079410176.0,0.0,77824.0
0.313,0.125,99.437,0.125,0.0,0.0,547.0,0.0,1818.0,1111.0,3035.0,3817.0,9988243456.0,105607168.0,1011068928.0,14079897600.0,0.0,36864.0
0.438,0.063,99.500,0.0,0.0,0.0,596.0,212.0,2026.0,893.0,2622.0,1105.0,9987866624.0,105607168.0,1011077120.0,14080266240.0,0.0,0.0
0.313,0.125,99.562,0.0,0.0,0.0,624.0,0.0,1843.0,1410.0,2597.0,1722.0,9987739648.0,105607168.0,1011077120.0,14080393216.0,0.0,0.0
0.313,0.188,99.500,0.0,0.0,0.0,296.0,0.0,1818.0,1111.0,2114.0,1111.0,9987481600.0,105607168.0,1011077120.0,14080651264.0,0.0,8192.0
0.313,0.125,99.562,0.0,0.0,0.0,448.0,0.0,1294.0,893.0,1742.0,1205.0,9987227648.0,105607168.0,1011077120.0,14080905216.0,0.0,0.0
0.313,0.188,99.500,0.0,0.0,0.0,376.0,198.0,1843.0,1070.0,2289.0,1352.0,9987100672.0,105607168.0,1011077120.0,14081032192.0,0.0,0.0
0.313,0.063,99.499,0.125,0.0,0.0,490.0,106.0,3982.0,934.0,4472.0,1352.0,9986940928.0,105611264.0,1011077120.0,14081187840.0,0.0,16384.0
0.375,0.125,99.500,0.0,0.0,0.0,64.0,0.0,2007.0,1070.0,2201.0,1070.0,9986560000.0,105611264.0,1011077120.0,14081568768.0,0.0,0.0
0.313,0.125,99.249,0.313,0.0,0.0,400.0,0.0,2887.0,1233.0,3287.0,1545.0,9986543616.0,105619456.0,1011068928.0,14081585152.0,0.0,16384.0
0.375,0.188,99.437,0.0,0.0,0.0,256.0,0.0,4162.0,1111.0,4418.0,1111.0,9987805184.0,105619456.0,1011073024.0,14080319488.0,0.0,4096.0
0.375,0.188,99.438,0.0,0.0,0.0,786.0,106.0,2291.0,1070.0,3077.0,1488.0,9985871872.0,105619456.0,1011077120.0,14082248704.0,0.0,4096.0
0.375,0.063,99.562,0.0,0.0,0.0,362.0,106.0,2246.0,893.0,2608.0,999.0,9985871872.0,105619456.0,1011077120.0,14082248704.0,0.0,0.0
0.375,0.125,99.375,0.125,0.0,0.0,448.0,0.0,4203.0,1111.0,4781.0,1423.0,9985622016.0,105627648.0,1011077120.0,14082490368.0,0.0,65536.0
0.375,0.125,99.499,0.0,0.0,0.0,320.0,0.0,2419.0,1070.0,2739.0,1070.0,9985257472.0,105627648.0,1011077120.0,14082854912.0,0.0,102400.0
0.375,0.125,99.500,0.0,0.0,0.0,554.0,106.0,1852.0,893.0,2406.0,1311.0,9985257472.0,105627648.0,1011077120.0,14082854912.0,0.0,0.0
0.313,0.125,99.562,0.0,0.0,0.0,439.0,0.0,2577.0,1111.0,3016.0,1111.0,9985130496.0,105627648.0,1011077120.0,14082981888.0,0.0,4096.0
0.313,0.125,99.562,0.0,0.0,0.0,426.0,106.0,1712.0,1070.0,2138.0,1488.0,9985003520.0,105627648.0,1011077120.0,14083108864.0,0.0,4096.0
0.251,0.063,99.687,0.0,0.0,0.0,530.0,106.0,1288.0,716.0,1948.0,954.0,9984913408.0,105627648.0,1011077120.0,14083198976.0,0.0,0.0
0.375,0.125,99.312,0.188,0.0,0.0,320.0,0.0,2167.0,1352.0,2487.0,1664.0,9984905216.0,105635840.0,1011077120.0,14083198976.0,0.0,73728.0
0.313,0.125,99.437,0.125,0.0,0.0,128.0,0.0,1776.0,1070.0,1904.0,1070.0,9984774144.0,105644032.0,1011073024.0,14083325952.0,0.0,12288.0
0.375,0.188,99.437,0.0,0.0,0.0,618.0,150.0,1185.0,716.0,1803.0,2200.0,9984643072.0,105644032.0,1011077120.0,14083452928.0,0.0,110592.0
0.375,0.188,99.250,0.188,0.0,0.0,468.0,212.0,2507.0,1940.0,3645.0,4546.0,9984761856.0,105652224.0,1011077120.0,14083325952.0,0.0,45056.0
0.375,0.125,99.500,0.0,0.0,0.0,672.0,160.0,11875.0,1997.0,12677.0,2469.0,9984630784.0,105652224.0,1011081216.0,14083452928.0,0.0,0.0
0.375,0.063,99.562,0.0,0.0,0.0,192.0,70.0,1334.0,716.0,1526.0,786.0,9984622592.0,105652224.0,1011081216.0,14083461120.0,0.0,0.0
0.375,0.188,99.188,0.250,0.0,0.0,552.0,0.0,2239.0,1288.0,2791.0,1600.0,9984741376.0,105660416.0,1011081216.0,14083334144.0,0.0,114688.0
0.438,0.188,99.375,0.0,0.0,0.0,504.0,198.0,1952.0,1182.0,2776.0,1596.0,9984487424.0,105660416.0,1011081216.0,14083588096.0,0.0,61440.0
