"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 6vms-r2.src.dstat.csv",,,,"Date:","10 Jun 2014 18:24:09 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.101,0.058,99.814,0.025,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3500740608.0,29798400.0,12164718592.0,9628164096.0,318.575,2767.198
0.125,0.0,99.875,0.0,0.0,0.0,490.0,106.0,6271.0,5131.0,13212.0,13082.0,3500716032.0,29798400.0,12164730880.0,9628176384.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,320.0,0.0,6188.0,4126.0,12214.0,10358.0,3500953600.0,29798400.0,12164739072.0,9627930624.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,576.0,0.0,5520.0,5300.0,8784.0,9578.0,3501084672.0,29798400.0,12164743168.0,9627795456.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,542.0,106.0,1562.0,204.0,3326.0,1338.0,3500630016.0,29798400.0,12164747264.0,9628246016.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,606.0,106.0,2658.0,50280.0,7460.0,289818.0,3500716032.0,29798400.0,12164747264.0,9628160000.0,0.0,0.0
0.062,0.0,99.812,0.125,0.0,0.0,320.0,0.0,3076.0,198590.0,3834.0,199618.0,3500961792.0,29806592.0,12164747264.0,9627906048.0,0.0,45056.0
0.0,0.062,99.938,0.0,0.0,0.0,480.0,0.0,786.0,140.0,2066.0,1232.0,3500875776.0,29806592.0,12164747264.0,9627992064.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,192.0,0.0,752.0,204.0,1542.0,1232.0,3500621824.0,29806592.0,12164747264.0,9628246016.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,618.0,174.0,1338.0,140.0,3058.0,4910.0,3500965888.0,29806592.0,12164747264.0,9627901952.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,554.0,106.0,1102.0,17852.0,2924.0,38930.0,3500789760.0,29806592.0,12164747264.0,9628078080.0,0.0,0.0
0.0,0.063,99.875,0.063,0.0,0.0,612.0,0.0,1296.0,280.0,2674.0,1852.0,3500654592.0,29814784.0,12164739072.0,9628213248.0,0.0,20480.0
0.0,0.062,99.938,0.0,0.0,0.0,386.0,92.0,748.0,204.0,4224.0,3664.0,3500519424.0,29814784.0,12164747264.0,9628340224.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,426.0,106.0,3858.0,2576.0,5004.0,3774.0,3500494848.0,29814784.0,12164747264.0,9628364800.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,426.0,106.0,620.0,204.0,3692.0,19562.0,3500933120.0,29814784.0,12164747264.0,9627926528.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,256.0,0.0,3739.0,17788.0,5738.0,40784.0,3500376064.0,29814784.0,12164747264.0,9628483584.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,208.0,0.0,1032.0,344.0,2822.0,9916.0,3500367872.0,29814784.0,12164747264.0,9628491776.0,0.0,0.0
0.0,0.0,99.937,0.063,0.0,0.0,362.0,106.0,2412.0,140.0,6372.0,24266.0,3500367872.0,29822976.0,12164747264.0,9628483584.0,0.0,20480.0
0.063,0.0,99.937,0.0,0.0,0.0,500.0,0.0,3763.0,204.0,5244.0,5800.0,3500257280.0,29822976.0,12164747264.0,9628594176.0,0.0,0.0
0.062,0.125,99.813,0.0,0.0,0.0,670.0,106.0,1682.0,140.0,4530.0,8346.0,3501043712.0,29822976.0,12164747264.0,9627807744.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,320.0,0.0,3120.0,19656.0,8070.0,57700.0,3500494848.0,29822976.0,12164747264.0,9628356608.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,362.0,106.0,5043.0,2190.0,7264.0,11298.0,3500621824.0,29822976.0,12164747264.0,9628229632.0,0.0,0.0
0.062,0.062,99.750,0.125,0.0,0.0,448.0,0.0,1000.0,204.0,3072.0,7374.0,3500859392.0,29831168.0,12164739072.0,9627992064.0,0.0,20480.0
0.0,0.0,100.0,0.0,0.0,0.0,631.0,0.0,1878.0,1422.0,4435.0,6258.0,3501096960.0,29831168.0,12164747264.0,9627746304.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,362.0,174.0,2144.0,204.0,3260.0,3550.0,3501154304.0,29831168.0,12164747264.0,9627688960.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,478.0,106.0,884.0,140.0,2040.0,858.0,3500961792.0,29831168.0,12164747264.0,9627881472.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,372.0,0.0,556.0,268.0,1500.0,2298.0,3500953600.0,29831168.0,12164747264.0,9627889664.0,0.0,0.0
0.062,0.0,99.812,0.125,0.0,0.0,320.0,0.0,1062.0,140.0,2254.0,2416.0,3500933120.0,29839360.0,12164751360.0,9627897856.0,0.0,77824.0
0.125,0.062,99.813,0.0,0.0,0.0,128.0,0.0,1226.0,204.0,2458.0,1712.0,3500670976.0,29839360.0,12164759552.0,9628151808.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,980.0,212.0,1747.0,456.0,4114.0,5564.0,3501244416.0,29839360.0,12164763648.0,9627574272.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,256.0,0.0,556.0,204.0,2204.0,9232.0,3500986368.0,29839360.0,12164829184.0,9627766784.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,448.0,0.0,2590.0,140.0,4603.0,4168.0,3500732416.0,29839360.0,12164829184.0,9628020736.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,322.0,92.0,1857.0,204.0,5335.0,2618.0,3500732416.0,29839360.0,12164829184.0,9628020736.0,0.0,24576.0
0.0,0.0,99.875,0.125,0.0,0.0,606.0,106.0,3532.0,982.0,5284.0,2660.0,3500597248.0,29847552.0,12164829184.0,9628147712.0,0.0,28672.0
0.125,0.062,99.812,0.0,0.0,0.0,490.0,106.0,1674.0,520.0,3760.0,2442.0,3501015040.0,29847552.0,12164829184.0,9627729920.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,384.0,0.0,2600.0,1740.0,6390.0,210988.0,3500711936.0,29847552.0,12164829184.0,9628033024.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,192.0,0.0,2360.0,216142.0,3158.0,218130.0,3500838912.0,29847552.0,12164829184.0,9627906048.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,586.0,106.0,1072.0,140.0,2666.0,2506.0,3500830720.0,29847552.0,12164829184.0,9627914240.0,0.0,4096.0
0.063,0.0,99.875,0.063,0.0,0.0,794.0,106.0,770.0,204.0,2044.0,1818.0,3500814336.0,29855744.0,12164820992.0,9627930624.0,0.0,28672.0
0.0,0.063,99.937,0.0,0.0,0.0,628.0,0.0,850.0,140.0,2156.0,752.0,3501125632.0,29855744.0,12164829184.0,9627611136.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,500.0,0.0,816.0,204.0,2684.0,20098.0,3501195264.0,29855744.0,12164829184.0,9627541504.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,106.0,1594.0,18022.0,2824.0,19220.0,3500814336.0,29855744.0,12164833280.0,9627918336.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,384.0,0.0,654.0,204.0,3118.0,3584.0,3500810240.0,29855744.0,12164837376.0,9627918336.0,0.0,0.0
0.062,0.062,99.750,0.125,0.0,0.0,490.0,174.0,3302.0,2408.0,5016.0,3982.0,3500679168.0,29863936.0,12164841472.0,9628037120.0,0.0,20480.0
0.063,0.063,99.875,0.0,0.0,0.0,192.0,0.0,832.0,382.0,1816.0,2000.0,3501166592.0,29863936.0,12164919296.0,9627471872.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,106.0,1246.0,254.0,2718.0,2292.0,3500756992.0,29863936.0,12164919296.0,9627881472.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,516.0,0.0,768.0,382.0,2012.0,2576.0,3500720128.0,29863936.0,12164919296.0,9627918336.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,564.0,0.0,1508.0,140.0,3576.0,4288.0,3500711936.0,29863936.0,12164919296.0,9627926528.0,0.0,0.0
0.125,0.062,99.813,0.0,0.0,0.0,362.0,106.0,1300.0,204.0,2534.0,1818.0,3500593152.0,29863936.0,12164919296.0,9628045312.0,0.0,0.0
0.0,0.063,99.812,0.125,0.0,0.0,554.0,106.0,1814.0,204.0,3716.0,964.0,3500650496.0,29872128.0,12164919296.0,9627979776.0,0.0,24576.0
0.063,0.0,99.937,0.0,0.0,0.0,448.0,0.0,2156.0,1804.0,4812.0,22184.0,3500457984.0,29872128.0,12164919296.0,9628172288.0,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,256.0,0.0,1338.0,17928.0,2576.0,20668.0,3500204032.0,29872128.0,12164919296.0,9628426240.0,0.0,0.0
0.062,0.0,99.938,0.0,0.0,0.0,270.0,92.0,1056.0,204.0,4098.0,2264.0,3500466176.0,29872128.0,12164919296.0,9628164096.0,0.0,0.0
