vwnd	lf-total	sf-total	rand-total	lf-indiv	sf-indiv	rand-indiv
IC	925.15	1201.51	1045.59	158.36	145	158.24
AC	794.92	940.18	911.88	170.79	147.67	143.33
1	2804.74	2818.57	2736.09	93	93.43	90.75
2	1479.68	1547.63	1544.78	96.26	98.22	101.29
4	947	1079.72	927.53	121.27	117.8	113.83
#5	928.3	1128.62	1000.71	149.16	145.07	153.73
6	799.21	920.88	809.37	152.84	144.85	146.53
8	708.32	854.93	799.82	177.22	168.69	173.14
10	722.11	852.42	791.78	203.26	191.32	194.8
#12	716.06	760.23	752.21	228.68	205.57	216.68
#14	730.81	797.25	775.64	258.33	230.95	235.78
#16	741.91	777.67	728	282.12	255.92	258.95
#18	732.17	775.97	743.66	305.62	274.02	274.28
#20	716.7	740.8	714.1	303.95	275.25	298.94
30	732.65	745.62	726.72	364.06	354.94	356.59

#vwnd	lf-total	lf-indiv	sf-total	sf-indiv	rand-total	rand-indiv
#IC	925.15	158.36	1201.51	145	1045.59	158.24
#AC	794.92	170.79	940.18	147.67	911.88	143.33
#1	2804.74	93	2818.57	93.43	2736.09	90.75
#2	1479.68	96.26	1547.63	98.22	1544.78	101.29
#4	947	121.27	1079.72	117.8	927.53	113.83
#5	928.3	149.16	1128.62	145.07	1000.71	153.73
#6	799.21	152.84	920.88	144.85	809.37	146.53
#8	708.32	177.22	854.93	168.69	799.82	173.14
#10	722.11	203.26	852.42	191.32	791.78	194.8
#12	716.06	228.68	760.23	205.57	752.21	216.68
#14	730.81	258.33	797.25	230.95	775.64	235.78
#16	741.91	282.12	777.67	255.92	728	258.95
#18	732.17	305.62	775.97	274.02	743.66	274.28
#20	716.7	303.95	740.8	275.25	714.1	298.94
30	732.65	364.06	745.62	354.94	726.72	356.59

