vwnd	LF-TOTAL	SF-TOTAL	RAND-TOTAL	LF-INDIV	SF-INDIV	RAND-INDIV
IC	757.25	794.66	854.75	104.83	100.92	106.26
AC	613.95	684.72	617.7	114.47	99.55	107.12
1	1485.24	1616.7	1493.65	75.63	53.51	49.4
2	877.46	921.56	939.88	56.23	58.35	60.69
5	673.74	944.21	928.54	105.1	123.16	130.96
10	546.51	542.59	678.13	146.5	128.47	178.04
20	503.05	537.54	539.23	228.2	208.9	219.53
30	474.95	467.41	492.94	245.42	246.59	244.8

#vwnd	lf-total	lf-indiv	sf-total	sf-indiv	rand-total	rand-indiv
#IC	757.25	104.83	794.66	100.92	854.75	106.26
#AC	613.95	114.47	684.72	99.55	617.7	107.12
#1	1485.24	75.63	1616.7	53.51	1493.65	49.4
#2	877.46	56.23	921.56	58.35	939.88	60.69
#5	673.74	105.1	944.21	123.16	928.54	130.96
#10	546.51	146.5	542.59	128.47	678.13	178.04
#20	503.05	228.2	537.54	208.9	539.23	219.53
#30	474.95	245.42	467.41	246.59	492.94	244.8

