vwnd	LF-TOTAL	SF-TOTAL	RAND-TOTAL	LF-INDIV	SF-INDIV	RAND-INDIV
IC	513.6	573.32	541.9	61.92	63.18	63.83
AC	415.64	504.41	405.28	83.46	56.21	82.67
1	1146.33	1146.17	1134.67	37.82	37.75	37.48
2	460.12	490.88	466.61	29.68	31.15	29.97
4	409.48	432.37	393.06	52.35	49.92	49.32
#5	475.24	540.12	489.67	75.22	74.58	72.12
6	388.35	411.14	387.64	72.42	67.43	64.47
8	379.92	390.46	373.13	93.87	82.71	81.75
10	416.87	467.52	434.23	123.64	109.84	112.04
#12	367.35	369.42	356.56	124.77	104.75	111.93
#14	375.65	375.02	364.99	139.09	124.29	122.21
#16	374.37	378.16	363.03	151.84	135.35	134.86
#18	372.94	371.11	364	163.4	142.13	146.6
#20	359.29	366.15	359.74	168.58	146.9	155.08
30	405.35	411.31	403.7	211.16	210.26	212.9

#vwnd	lf-total	lf-indiv	sf-total	sf-indiv	rand-total	rand-indiv
#IC	513.6	61.92	573.32	63.18	541.9	63.83
#AC	415.64	83.46	504.41	56.21	405.28	82.67
#1	1146.33	37.82	1146.17	37.75	1134.67	37.48
#2	460.12	29.68	490.88	31.15	466.61	29.97
#4	409.48	52.35	432.37	49.92	393.06	49.32
#5	475.24	75.22	540.12	74.58	489.67	72.12
#6	388.35	72.42	411.14	67.43	387.64	64.47
#8	379.92	93.87	390.46	82.71	373.13	81.75
#10	416.87	123.64	467.52	109.84	434.23	112.04
#12	367.35	124.77	369.42	104.75	356.56	111.93
#14	375.65	139.09	375.02	124.29	364.99	122.21
#16	374.37	151.84	378.16	135.35	363.03	134.86
#18	372.94	163.4	371.11	142.13	364	146.6
#20	359.29	168.58	366.15	146.9	359.74	155.08
#30	405.35	211.16	411.31	210.26	403.7	212.9

