starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 12:29:12 2013	1376065752	0	9	9	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	8	9	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	9	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	8	10	8
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	8	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	8
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	8	10	8
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	0	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
Fri Aug 09 12:29:12 2013	1376065752	1	9	10	9
