[7l----total-cpu-usage---- ------memory-usage----- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| used  buff  cach  free| read  writ| recv  send|  in   out | int   csw 
  4  10  64  20   1   0|43.1M 2760k 36.2M  921M|3047k   90k|   0     0 |   0     0 | 233   791 
 17  17   0  60   4   2|43.7M 2824k 49.0M  908M|  13M    0 |   0     0 |   0     0 |1065  7457 
 42  29   0  20   8   1|44.5M 2832k 71.5M  884M|  23M    0 |   0    70B|   0     0 |1611    20k
 59  26   0   7   6   2|45.2M 2840k 89.1M  866M|  18M    0 |   0     0 |   0     0 |1437    29k
 61  29   0   4   3   3|45.5M 2840k 98.1M  857M|9192k    0 |   0     0 |   0     0 | 998    35k
 65  29   0   2   2   2|45.7M 2840k  104M  850M|6376k   80k|   0     0 |   0     0 | 696    39k
 78  21   0   1   0   0|45.9M 2844k  108M  846M|3660k    0 |   0     0 |   0     0 | 528    40k
 66  28   0   4   1   1|45.9M 2844k  111M  843M|3172k    0 |   0     0 |   0     0 | 477    41k
 77  19   0   4   0   0|46.1M 2844k  114M  840M|2812k    0 |   0     0 |   0     0 | 436    41k
 70  27   0   2   1   0|46.1M 2848k  116M  839M|1888k    0 |   0     0 |   0     0 | 385    41k
 75  23   0   1   0   1|46.2M 2852k  117M  837M|1380k    0 |   0     0 |   0     0 | 391    39k
 75  24   0   1   0   0|46.3M 2852k  118M  836M|1184k   20k|   0     0 |   0     0 | 337    32k
 75  24   0   1   0   0|46.2M 2852k  119M  835M|1256k    0 |   0     0 |   0     0 | 344    35k
 76  23   0   1   0   0|46.3M 2852k  120M  834M|1032k    0 |   0     0 |   0     0 | 335    36k
 73  24   0   2   0   1|46.4M 2852k  122M  832M|1320k    0 |   0     0 |   0     0 | 332    36k
 72  26   0   2   0   0|46.4M 2852k  122M  831M| 740k    0 |   0     0 |   0     0 | 297    36k
 74  25   0   1   0   0|46.4M 2852k  123M  831M| 440k   20k|   0     0 |   0     0 | 293    36k
 73  25   0   2   0   0|46.4M 2852k  124M  830M| 880k    0 |   0     0 |   0     0 | 311    35k
 71  25   0   4   0   0|46.5M 2852k  124M  829M| 904k    0 |   0     0 |   0     0 | 303    36k
 75  25   0   0   0   0|46.5M 2852k  125M  829M| 500k    0 |   0     0 |   0     0 | 301    36k
 71  26   0   3   0   0|46.5M 2852k  126M  828M| 640k    0 |   0     0 |   0     0 | 295    38k
 73  24   0   2   0   1|46.5M 2852k  126M  827M| 804k   40k|   0     0 |   0     0 | 307    41k
 76  18   0   4   1   1|46.5M 2856k  127M  826M| 864k  232k|   0     0 |   0     0 | 339    39k
 74  24   0   2   0   0|46.6M 2856k  128M  826M| 656k    0 |   0     0 |   0     0 | 292    41k
 74  24   0   2   0   0|46.5M 2856k  128M  825M| 472k    0 |   0     0 |   0     0 | 279    41k
 73  26   0   1   0   0|46.6M 2856k  129M  825M| 528k    0 |   0     0 |   0     0 | 291    41k
 79  21   0   0   0   0|46.6M 2856k  129M  825M| 192k    0 |   0     0 |   0     0 | 267    42k
