[7l----total-cpu-usage---- ------memory-usage----- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| used  buff  cach  free| read  writ| recv  send|  in   out | int   csw 
  3   7  60  30   0   0|96.6M 2036k 17.3M 3216k|2002k  123k|   0     0 |   0   233k| 159   526 
  1   2   0  96   0   1| 115M  152k 1668k 2120k|3956k 9864k|   0     0 |  32k   24M| 306   454 
  0   0   0  98   2   0| 115M  152k 1908k 2448k| 160k 1024k|   0     0 |   0     0 |   4     9 
  0   2   0  98   0   0| 116M  156k 1048k 2336k|   0  7888k|   0     0 |   0    13M|  39    68 
  2   3   0  90   3   2| 115M  160k 1856k 2016k|4396k 7060k|   0     0 |3448k    0 | 457   828 
  0   1   0  97   0   2| 114M  160k 1868k 2796k|1068k 7680k|   0     0 |1060k    0 | 225   413 
  0   0  60  40   0   0| 114M  164k 1908k 3204k|  40k 8280k|   0     0 |   0     0 | 126   226 
  1   0  99   0   0   0| 114M  164k 1904k 3204k|   0     0 |   0     0 |   0     0 | 105   205 
  1   0  93   6   0   0| 114M  172k 1896k 3204k|   0    16k|   0     0 |   0     0 | 111   212 
  0   1  99   0   0   0| 114M  172k 1904k 3204k|   0     0 |   0     0 |   0     0 | 106   203 
 67  22   7   1   1   2| 114M  196k 2376k 2380k| 936k    0 |   0     0 | 448k    0 | 311   207 
 90   1   9   0   0   0| 114M  196k 2372k 2376k|   0     0 |   0     0 |   0     0 | 209    52 
 70   1  29   0   0   0| 114M  196k 2372k 2376k|   0     0 |   0     0 |   0     0 | 194    68 
 18   0  82   0   0   0| 114M  196k 2372k 2376k|   0     0 |   0     0 |   0     0 | 130   172 
  1   0  78  21   0   0| 114M  204k 2364k 2372k|   0    44k|   0     0 |   0     0 | 111   221 
  0   0 100   0   0   0| 114M  204k 2372k 2368k|   0     0 |   0     0 |   0     0 | 104   205 
  1   0  99   0   0   0| 114M  204k 2372k 2368k|   0     0 |   0     0 |   0     0 | 105   204 
  1   0  99   0   0   0| 114M  204k 2372k 2368k|   0     0 |   0     0 |   0     0 | 105   206 
  1   0  99   0   0   0| 114M  204k 2372k 2368k|   0     0 |   0     0 |   0     0 | 109   208 
  1   0  89  10   0   0| 114M  212k 2372k 2360k|   0    20k|   0     0 |   0     0 | 109   216 
  0   1  99   0   0   0| 114M  212k 2372k 2360k|   0     0 |   0     0 |   0     0 | 106   207 
  0   0 100   0   0   0| 114M  212k 2372k 2360k|   0     0 |   0     0 |   0     0 | 104   203 
  0   0 100   0   0   0| 114M  212k 2372k 2360k|   0     0 |   0     0 |   0     0 | 106   205 
