[7l----total-cpu-usage---- ------memory-usage----- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| used  buff  cach  free| read  writ| recv  send|  in   out | int   csw 
  4  12  64  20   1   0|43.3M 2812k 38.0M  919M|3356k   86k|   0     0 |   0     0 | 254   867 
 19  21   0  55   3   2|43.9M 2872k 51.3M  905M|  13M    0 |   0     0 |   0     0 |1092  8555 
 48  27   0  21   1   3|44.7M 2876k 73.9M  882M|  23M    0 |   0     0 |   0     0 |1639    22k
 59  27   0   9   3   2|45.2M 2884k 90.9M  864M|  17M    0 |   0     0 |   0     0 |1407    30k
 70  22   0   3   3   2|45.6M 2884k 98.8M  856M|8168k    0 |   0    70B|   0     0 | 937    36k
 72  23   0   3   1   1|45.8M 2884k  105M  849M|6100k  164k|   0     0 |   0     0 | 683    38k
 67  28   0   3   1   1|46.0M 2888k  108M  846M|3508k    0 |   0     0 |   0     0 | 509    39k
 73  22   0   5   0   0|46.1M 2888k  111M  843M|3212k    0 |   0     0 |   0     0 | 472    40k
 76  22   0   1   1   0|46.2M 2888k  114M  840M|2476k    0 |   0     0 |   0     0 | 419    41k
 72  26   0   2   0   0|46.2M 2892k  116M  838M|1868k    0 |   0     0 |   0     0 | 385    40k
 72  26   0   2   0   0|46.4M 2896k  117M  837M|1444k    0 |   0     0 |   0     0 | 390    39k
 70  26   0   3   1   0|46.3M 2896k  118M  835M|1400k   20k|   0     0 |   0     0 | 351    37k
 77  20   0   1   1   1|46.4M 2896k  120M  834M|1128k    0 |   0     0 |   0     0 | 335    38k
 69  29   0   2   0   0|46.5M 2896k  121M  833M|1192k    0 |   0     0 |   0     0 | 333    37k
 76  23   0   1   0   0|46.5M 2896k  122M  832M|1324k    0 |   0     0 |   0     0 | 336    37k
 75  24   0   1   0   0|46.4M 2896k  123M  831M| 588k    0 |   0     0 |   0     0 | 287    37k
 72  27   0   1   0   0|46.6M 2896k  123M  831M| 484k   16k|   0     0 |   0     0 | 298    37k
 72  26   0   2   0   0|46.5M 2896k  124M  829M|1184k    0 |   0     0 |   0     0 | 317    36k
 73  27   0   0   0   0|46.7M 2896k  125M  829M| 604k    0 |   0     0 |   0     0 | 299    37k
 74  23   0   3   0   1|46.7M 2896k  125M  828M| 500k    0 |   0     0 |   0     0 | 295    37k
 68  30   0   2   0   0|46.6M 2896k  126M  827M| 892k    0 |   0     0 |   0     0 | 301    36k
 72  26   0   2   0   0|46.7M 2896k  127M  827M| 560k    0 |   0     0 |   0     0 | 288    40k
 75  21   0   4   0   0|46.6M 2900k  128M  826M| 904k   40k|   0     0 |   0     0 | 309    39k
 72  25   0   2   0   1|46.7M 2900k  128M  825M| 480k  220k|   0     0 |   0     0 | 315    40k
 72  26   0   2   0   0|46.8M 2900k  128M  825M| 404k    0 |   0     0 |   0     0 | 276    40k
 73  27   0   0   0   0|46.7M 2900k  129M  824M| 588k    0 |   0     0 |   0     0 | 290    41k
 79  20   0   1   0   0|46.7M 2900k  129M  824M| 352k    0 |   0     0 |   0     0 | 274    41k
 75  24   0   1   0   0|46.8M 2900k  130M  824M| 316k    0 |   0     0 |   0     0 | 276    41k
