Log of dstat 
Sat Aug  3 21:09:21 2013

You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   2  84   8   0   0| 244k   95k|   0     0 |   0     0 |  53  2865 
 75  24   0   1   0   0| 228k    0 |   0     0 |   0     0 | 276    42k
 75  24   0   1   0   0|  80k    0 |   0     0 |   0     0 | 259    42k
 80  19   0   1   0   0| 160k    0 |   0     0 |   0     0 | 268    42k
 72  26   0   2   0   0| 264k    0 |   0     0 |   0     0 | 270    41k
 79  21   0   0   0   0| 120k    0 |   0     0 |   0     0 | 263    42k
 83  17   0   0   0   0| 100k   36k|   0     0 |   0     0 | 264    42k
 77  22   0   1   0   0| 184k    0 |   0     0 |   0     0 | 262    42k
 73  26   0   1   0   0| 244k    0 |   0     0 |   0     0 | 272    41k
 72  26   0   2   0   0| 296k    0 |   0     0 |   0     0 | 268    42k
 78  22   0   0   0   0|  60k    0 |   0     0 |   0     0 | 258    42k
 76  22   0   2   0   0| 288k    0 |   0     0 |   0     0 | 265    42k
 73  26   0   1   0   0|  96k   16k|   0     0 |   0     0 | 263    42k
 76  23   0   1   0   0| 212k    0 |   0     0 |   0     0 | 268    42k
 73  26   0   1   0   0| 208k    0 |   0     0 |   0     0 | 266    42k
 74  26   0   0   0   0|  88k    0 |   0     0 |   0     0 | 263    42k
 76  23   0   1   0   0| 200k    0 |   0     0 |   0     0 | 272    42k
 79  20   0   1   0   0|  68k    0 |   0     0 |   0     0 | 258    42k
 75  24   0   1   0   0|  64k   16k|   0     0 |   0     0 | 265    42k
 78  22   0   0   0   0|  48k    0 |   0     0 |   0     0 | 257    42k
 73  26   0   1   0   0|  32k    0 |   0     0 |   0     0 | 259    42k
 75  24   0   1   0   0| 120k    0 |   0     0 |   0     0 | 260    42k
 77  23   0   0   0   0|  12k    0 |   0     0 |   0     0 | 256    42k
 75  25   0   0   0   0|  16k    0 |   0     0 |   0     0 | 256    42k
 80  20   0   0   0   0|  24k   16k|   0     0 |   0     0 | 259    42k
 76  24   0   0   0   0|  16k    0 |   0     0 |   0     0 | 258    42k
 72  27   0   1   0   0|  36k    0 |   0     0 |   0     0 | 256    42k
 77  23   0   0   0   0|  28k    0 |   0     0 |   0     0 | 259    42k
 75  25   0   0   0   0|8192B    0 |   0     0 |   0     0 | 256    42k
 79  21   0   0   0   0| 100k    0 |   0     0 |   0     0 | 263    42k
 77  22   0   1   0   0| 152k   16k|   0     0 |   0     0 | 261    42k
 77  22   0   1   0   0| 120k 4096B|   0     0 |   0     0 | 258    42k
 78  21   0   0   1   0| 148k    0 |   0     0 |   0     0 | 264    42k
 80  19   0   1   0   0| 144k    0 |   0     0 |   0     0 | 268    42k
 80  20   0   0   0   0|  68k    0 |   0     0 |   0     0 | 270    42k
 76  22   0   1   1   0|  48k    0 |   0     0 |   0     0 | 268    42k
 75  25   0   0   0   0|  12k   40k|   0     0 |   0     0 | 264    42k
 78  22   0   0   0   0|8192B    0 |   0     0 |   0     0 | 256    42k
 77  22   0   1   0   0| 104k    0 |   0     0 |   0     0 | 261    42k
 81  19   0   0   0   0|  44k    0 |   0     0 |   0     0 | 259    42k
 75  24   0   1   0   0| 236k    0 |   0     0 |   0     0 | 264    42k
 77  22   0   1   0   0|4096B    0 |   0     0 |   0     0 | 254    42k
 79  21   0   0   0   0|   0    16k|   0     0 |   0     0 | 256    42k
 74  26   0   0   0   0| 176k    0 |   0     0 |   0     0 | 265    42k
 72  27   0   1   0   0| 132k    0 |   0     0 |   0     0 | 277    41k
 72  28   0   0   0   0|4096B    0 |   0     0 |   0     0 | 255    42k
 71  28   0   1   0   0|  24k    0 |   0     0 |   0     0 | 257    42k
 76  24   0   0   0   0|  60k    0 |   0     0 |   0     0 | 259    42k
 73  27   0   0   0   0|  16k   16k|   0     0 |   0     0 | 261    42k
 73  26   0   1   0   0| 152k    0 |   0     0 |   0     0 | 263    41k
 77  22   0   1   0   0| 204k    0 |   0     0 |   0     0 | 265    42k
 74  25   0   1   0   0|  56k    0 |   0     0 |   0     0 | 257    42k
 74  26   0   0   0   0|  24k    0 |   0     0 |   0     0 | 255    42k
 72  27   0   1   0   0| 156k    0 |   0     0 |   0     0 | 261    42k
 74  25   0   1   0   0| 100k   28k|   0     0 |   0     0 | 263    41k
 76  24   0   0   0   0|4096B    0 |   0     0 |   0     0 | 255    42k
 74  25   0   1   0   0|  20k    0 |   0     0 |   0     0 | 257    42k
 74  25   0   0   1   0| 396k    0 |3599B 3961B|   0     0 | 316    41k
 75  24   0   1   0   0|  36k    0 |  52B  130B|   0     0 | 260    42k
 82  18   0   0   0   0| 100k    0 |1164B  798B|   0     0 | 279    42k
 54  26   0  20   0   0| 280k   48k|1256B 1368B|   0     0 | 257    34k
 75  25   0   0   0   0| 116k    0 |   0     0 |   0     0 | 261    42k
 73  26   0   1   0   0|  12k    0 |   0     0 |   0     0 | 255    42k
 76  24   0   0   0   0|  12k    0 | 608B  456B|   0     0 | 268    42k
 80  19   0   1   0   0| 164k    0 | 756B  684B|   0     0 | 280    42k
 78  22   0   0   0   0|  28k    0 |1064B  798B|   0     0 | 277    42k
 72  27   0   1   0   0|  24k   16k|1216B  912B|   0     0 | 282    42k
 81  19   0   0   0   0|  60k    0 | 864B 1086B|   0     0 | 276    42k
 80  20   0   0   0   0|  44k    0 | 304B  228B|   0     0 | 262    42k
 80  20   0   0   0   0|4096B    0 | 304B  228B|   0     0 | 260    42k
 78  22   0   0   0   0|4096B    0 | 760B  570B|   0     0 | 269    42k
 79  20   0   1   0   0| 280k    0 | 304B  228B|   0     0 | 277    42k
 77  22   0   1   0   0|  16k   16k| 456B  342B|   0     0 | 269    42k
 72  28   0   0   0   0|4096B    0 | 404B  228B|   0     0 | 262    42k
