You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  0   0  98   1   0   0| 140k 5160B|   0     0 |   0     0 |  26    47 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  13    14 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  12     8 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  17    16 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  24    22 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  14    12 
  0   1  99   0   0   0|   0    40k|   0     0 |   0     0 |  32    40 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  21    19 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  14    11 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  25    23 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  27    27 
  0   0 100   0   0   0|   0    24k|   0     0 |   0     0 |  17    25 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  15    10 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  14    13 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  12     8 
  2   7  43  46   1   1|6164k    0 |   0     0 |   0     0 | 463  1751 
 15  18   0  63   4   0|  11M   52k|   0     0 |   0     0 | 919  7748 
 38  29   0  27   4   2|  21M    0 |   0     0 |   0     0 |1491    20k
 52  26   0  15   6   1|  17M    0 |   0     0 |   0     0 |1376    29k
 58  28   0   8   2   4|9332k    0 |   0     0 |   0     0 |1003    36k
 71  22   0   6   0   1|6312k    0 |   0     0 |   0     0 | 674    38k
 70  23   0   5   1   1|3472k   16k|   0     0 |   0     0 | 507    39k
 71  25   0   3   0   1|3104k    0 |   0     0 |   0     0 | 476    40k
 71  20   0   4   3   2|2836k    0 |   0     0 |   0     0 | 432    40k
 71  25   0   4   0   0|1800k    0 |   0     0 |   0     0 | 378    40k
 75  20   0   5   0   0|1456k    0 |   0     0 |   0     0 | 383    40k
 73  25   0   1   0   1|1564k    0 |   0     0 |   0     0 | 369    41k
 70  28   0   2   0   0|1196k   16k|   0     0 |   0     0 | 345    41k
 79  20   0   1   0   0|1224k    0 |   0     0 |   0     0 | 341    41k
 74  25   0   1   0   0|1336k    0 |   0     0 |   0     0 | 330    40k
 72  27   0   1   0   0| 544k    0 |   0     0 |   0     0 | 290    36k
 76  23   0   1   0   0| 936k 4096B|   0     0 |   0     0 | 316    37k
 75  24   0   1   0   0| 976k    0 |   0     0 |   0     0 | 317    37k
 76  23   0   0   0   1| 516k   16k|   0     0 |   0     0 | 302    37k
 70  28   0   2   0   0| 484k    0 |   0     0 |   0     0 | 297    37k
 71  29   0   0   0   0| 892k    0 |   0     0 |   0     0 | 301    37k
 77  22   0   0   0   1| 712k   28k|   0     0 |   0     0 | 307    37k
 65  23   0  12   0   0| 660k    0 |   0     0 |   0     0 | 266    32k
