[7l----total-cpu-usage---- ------memory-usage----- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| used  buff  cach  free| read  writ| recv  send|  in   out | int   csw 
  4  11  64  19   1   1|41.0M 2700k 37.1M  438M|3169k   88k|   0     0 |   0     0 | 239   825 
 20  15   0  62   1   2|41.6M 2760k 49.0M  426M|  12M    0 |   0     0 |   0     0 | 989  7258 
 41  33   0  20   4   2|42.3M 2768k 71.4M  403M|  22M  148k|   0     0 |   0     0 |1616    20k
 49  35   0   9   2   4|43.0M 2776k 89.7M  384M|  18M    0 |   0    70B|   0     0 |1502    31k
 60  33   0   4   2   1|43.3M 2776k 98.5M  374M|8952k    0 |   0     0 |   0     0 | 985    36k
 74  20   0   2   2   2|43.6M 2776k  105M  368M|6424k    0 |   0     0 |   0     0 | 691    39k
 68  28   0   4   0   0|43.7M 2780k  108M  364M|3520k    0 |   0     0 |   0     0 | 507    40k
 76  20   0   4   0   0|43.8M 2780k  112M  361M|3476k    0 |   0     0 |   0     0 | 486    41k
 76  23   0   1   0   0|43.9M 2780k  114M  359M|2276k   36k|   0     0 |   0     0 | 420    41k
 75  22   0   2   1   0|44.0M 2788k  116M  357M|1840k    0 |   0     0 |   0     0 | 391    41k
 65  32   0   2   1   0|44.1M 2788k  117M  355M|1552k    0 |   0     0 |   0     0 | 389    38k
 76  21   0   3   0   0|44.1M 2788k  118M  354M|1272k    0 |   0     0 |   0     0 | 343    37k
 70  27   0   2   0   1|44.1M 2788k  120M  353M|1172k    0 |   0     0 |   0     0 | 337    37k
 76  23   0   1   0   0|44.2M 2788k  121M  351M|1144k    0 |   0     0 |   0     0 | 334    37k
 69  30   0   1   0   0|44.1M 2792k  122M  350M|1312k   20k|   0     0 |   0     0 | 338    37k
 79  21   0   0   0   0|44.2M 2792k  122M  350M| 592k    0 |   0     0 |   0     0 | 291    38k
 77  22   0   1   0   0|44.3M 2792k  123M  349M| 504k    0 |   0     0 |   0     0 | 295    38k
 67  31   0   1   1   0|44.3M 2792k  124M  348M|1224k    0 |   0     0 |   0     0 | 327    37k
 81  17   0   1   1   0|44.3M 2792k  125M  347M| 576k    0 |   0     0 |   0     0 | 298    37k
 73  25   0   2   0   0|44.3M 2800k  125M  347M| 640k   20k|   0     0 |   0     0 | 314    38k
 74  24   0   1   0   1|44.4M 2800k  126M  346M| 900k    0 |   0     0 |   0     0 | 299    41k
 71  24   0   5   0   0|44.4M 2800k  127M  345M| 740k    0 |   0     0 |   0     0 | 290    39k
 81  17   0   2   0   0|44.5M 2804k  128M  344M| 832k    0 |   0     0 |   0     0 | 305    40k
 76  22   0   2   0   0|44.4M 2804k  128M  344M| 420k  220k|   0     0 |   0     0 | 320    41k
 82  18   0   0   0   0|44.5M 2812k  129M  343M| 408k   28k|   0     0 |   0     0 | 279    42k
 83  17   0   0   0   0|44.5M 2812k  129M  343M| 364k    0 |   0     0 |   0     0 | 282    42k
 73  25   0   2   0   0|44.5M 2812k  129M  342M| 364k    0 |   0     0 |   0     0 | 271    41k
 71  28   0   1   0   0|44.4M 2812k  130M  342M| 440k    0 |   0     0 |   0     0 | 284    41k
 76  20   0   4   0   0|44.4M 2812k  130M  342M| 368k    0 |   0     0 |   0     0 | 274    40k
 78  20   0   2   0   0|44.5M 2812k  131M  341M| 468k    0 |   0     0 |   0     0 | 269    42k
 78  21   0   1   0   0|44.6M 2820k  131M  341M| 544k   16k|   0     0 |   0     0 | 286    42k
 78  20   0   1   1   0|44.5M 2820k  131M  340M| 296k    0 |   0     0 |   0     0 | 274    41k
 79  21   0   0   0   0|44.5M 2820k  132M  340M| 352k    0 |   0     0 |   0     0 | 280    42k
 74  24   0   2   0   0|44.6M 2820k  132M  339M| 600k 4096B|   0     0 |   0     0 | 289    41k
 79  21   0   0   0   0|44.6M 2820k  133M  339M| 356k    0 |   0     0 |   0     0 | 269    42k
 74  25   0   1   0   0|44.7M 2820k  133M  338M| 640k    0 |   0     0 |   0     0 | 284    42k
 74  25   0   1   0   0|44.6M 2828k  133M  338M| 176k   16k|   0     0 |   0     0 | 272    42k
 73  25   0   2   0   0|44.6M 2828k  134M  338M| 272k    0 |   0     0 |   0     0 | 271    42k
 79  21   0   0   0   0|44.7M 2828k  134M  338M| 140k    0 |   0     0 |   0     0 | 265    42k
 80  20   0   0   0   0|44.6M 2832k  134M  338M|  60k    0 |   0     0 |   0     0 | 265    42k
 79  21   0   0   0   0|44.7M 2832k  134M  337M| 160k    0 |   0     0 |   0     0 | 261    42k
 74  24   0   2   0   0|44.7M 2832k  134M  337M| 284k    0 |   0     0 |   0     0 | 272    42k
 78  22   0   0   0   0|44.7M 2844k  134M  337M| 112k   28k|   0     0 |   0     0 | 267    42k
 75  25   0   0   0   0|44.7M 2844k  135M  337M| 280k    0 |   0     0 |   0     0 | 269    42k
 75  23   0   1   0   1|44.8M 2844k  135M  336M| 392k    0 |   0     0 |   0     0 | 278    42k
 73  26   0   1   0   0|44.8M 2844k  135M  336M| 228k    0 |   0     0 |   0     0 | 271    42k
 79  21   0   0   0   0|44.7M 2844k  135M  336M| 100k    0 |   0     0 |   0     0 | 268    42k
 77  23   0   0   0   0|44.7M 2844k  136M  336M| 132k    0 |   0     0 |   0     0 | 271    42k
 75  25   0   0   0   0|44.8M 2852k  136M  336M| 148k   16k|   0     0 |   0     0 | 268    42k
 75  25   0   0   0   0|44.7M 2852k  136M  336M| 192k    0 |   0     0 |   0     0 | 268    42k
 77  22   0   0   0   1|44.7M 2852k  136M  335M| 312k    0 |   0     0 |   0     0 | 275    42k
 82  18   0   0   0   0|44.8M 2852k  136M  335M| 220k    0 |   0     0 |   0     0 | 268    42k
 76  23   0   0   1   0|44.8M 2852k  137M  335M| 136k    0 |   0     0 |   0     0 | 267    42k
 60  14   0  26   0   0|44.8M 2852k  137M  335M| 112k    0 |   0     0 |   0     0 | 201    31k
 81  18   0   1   0   0|44.8M 2860k  137M  334M| 256k   16k|   0     0 |   0     0 | 272    42k
 77  23   0   0   0   0|44.8M 2860k  137M  334M| 132k    0 |   0     0 |   0     0 | 264    42k
 75  25   0   0   0   0|44.8M 2860k  137M  334M|  88k    0 |   0     0 |   0     0 | 257    42k
 78  22   0   0   0   0|44.9M 2860k  137M  334M| 296k    0 |   0     0 |   0     0 | 273    42k
 77  22   0   1   0   0|44.9M 2860k  138M  334M| 132k   20k|   0     0 |   0     0 | 266    42k
 75  25   0   0   0   0|44.8M 2860k  138M  334M| 300k    0 |   0     0 |   0     0 | 271    42k
 80  20   0   0   0   0|44.8M 2868k  138M  333M| 104k   16k|   0     0 |   0     0 | 261    42k
 77  22   0   1   0   0|44.8M 2868k  138M  333M| 240k    0 |   0     0 |   0     0 | 262    42k
 75  25   0   0   0   0|44.8M 2868k  138M  333M| 156k    0 |   0     0 |   0     0 | 262    42k
 78  22   0   0   0   0|44.9M 2868k  138M  333M| 152k    0 |   0     0 |   0     0 | 263    42k
 78  22   0   0   0   0|44.8M 2868k  139M  333M| 220k    0 |   0     0 |   0     0 | 267    42k
 80  20   0   0   0   0|44.8M 2868k  139M  333M|  80k    0 |   0     0 |   0     0 | 261    42k
 74  26   0   0   0   0|44.9M 2876k  139M  332M| 212k   16k|   0     0 |   0     0 | 270    42k
 79  21   0   0   0   0|44.9M 2876k  139M  332M|  60k    0 |   0     0 |   0     0 | 258    42k
 79  21   0   0   0   0|44.9M 2876k  139M  332M|  56k 4096B|   0     0 |   0     0 | 261    42k
 80  20   0   0   0   0|44.8M 2876k  139M  332M|  48k    0 |   0     0 |   0     0 | 256    42k
 77  23   0   0   0   0|44.9M 2876k  139M  332M|  32k    0 |   0     0 |   0     0 | 258    42k
 76  23   0   1   0   0|44.9M 2876k  139M  332M| 120k    0 |   0     0 |   0     0 | 260    42k
 73  27   0   0   0   0|44.9M 2884k  139M  332M|  24k   16k|   0     0 |   0     0 | 258    42k
 77  23   0   0   0   0|44.9M 2884k  139M  332M|  16k    0 |   0     0 |   0     0 | 255    42k
 78  22   0   0   0   0|44.9M 2884k  139M  332M|  12k    0 |   0     0 |   0     0 | 255    42k
 77  23   0   0   0   0|45.0M 2884k  139M  332M|  16k    0 |   0     0 |   0     0 | 257    42k
 77  23   0   0   0   0|44.9M 2884k  139M  332M|  48k    0 |   0     0 |   0     0 | 256    42k
 82  18   0   0   0   0|44.9M 2884k  139M  332M|  16k    0 |   0     0 |   0     0 | 257    42k
 77  23   0   0   0   0|45.0M 2892k  139M  332M|  56k   16k|   0     0 |   0     0 | 261    42k
 78  22   0   0   0   0|44.9M 2892k  139M  332M|  56k    0 |   0     0 |   0     0 | 261    42k
 75  25   0   0   0   0|44.9M 2892k  140M  331M| 268k    0 |   0     0 |   0     0 | 261    42k
 78  22   0   0   0   0|44.9M 2892k  140M  331M|   0     0 |   0     0 |   0     0 | 253    42k
