Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2014-05-30T05:56:45-04:00,0.3,0,0.8,0,0,98.9
2014-05-30T05:57:00-04:00,0.3,0,0.8,0,0,98.9
2014-05-30T05:57:15-04:00,0.3,0,0.8,0,0,98.9
2014-05-30T05:57:30-04:00,0.3,0,0.8,0,0,98.9
2014-05-30T05:57:45-04:00,0.3,0,0.8,0,0,98.9
2014-05-30T05:58:00-04:00,0.20666666667,0,0.24,0,0,99.553333333
2014-05-30T05:58:15-04:00,5.14,0,0.72,0,0,94.14
2014-05-30T05:58:30-04:00,5.9,0,0.8,0,0,93.3
2014-05-30T05:58:45-04:00,8.94,0,1.04,0.08,0,89.94
2014-05-30T05:59:00-04:00,9.7,0,1.1,0.1,0,89.1
2014-05-30T05:59:15-04:00,9.7,0,1.1,0.1,0,89.1
2014-05-30T05:59:30-04:00,NaN,NaN,NaN,NaN,NaN,NaN
