"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 4vms-r1.src.dstat.csv",,,,"Date:","30 May 2014 05:16:01 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.088,0.049,99.834,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,9467166720.0,478101504.0,10605244416.0,4772909056.0,253.129,2679.679
0.812,0.312,98.812,0.0,0.0,0.062,384.0,0.0,237737.0,33432.0,276516.0,1527317.0,9471012864.0,478101504.0,10605281280.0,4769026048.0,0.0,0.0
8.480,0.754,90.704,0.0,0.0,0.063,298.0,106.0,165498.0,12322656.0,357800.0,67362294.0,9479532544.0,478101504.0,10605289472.0,4760498176.0,0.0,0.0
9.389,0.819,89.729,0.0,0.0,0.063,426.0,106.0,473373.0,108669537.0,871286.0,221931962.0,9486254080.0,478101504.0,10605289472.0,4753776640.0,0.0,0.0
9.395,0.504,90.101,0.0,0.0,0.0,192.0,0.0,492730.0,116195728.0,858948.0,226745616.0,9489465344.0,478101504.0,10605289472.0,4750565376.0,0.0,0.0
10.088,0.567,89.281,0.0,0.0,0.063,496.0,0.0,474262.0,117528404.0,833964.0,231973244.0,9488343040.0,478101504.0,10605289472.0,4751687680.0,0.0,0.0
10.678,0.503,88.568,0.126,0.0,0.126,676.0,0.0,483604.0,121959706.0,846365.0,236205553.0,9490427904.0,478101504.0,10605289472.0,4749602816.0,0.0,61440.0
7.813,0.567,91.556,0.0,0.0,0.063,564.0,106.0,454288.0,109988136.0,1386864.0,210108066.0,9489989632.0,478101504.0,10605367296.0,4749963264.0,0.0,0.0
7.746,0.756,91.499,0.0,0.0,0.0,602.0,106.0,455480.0,106954920.0,807619.0,211535965.0,9494155264.0,478101504.0,10605367296.0,4745797632.0,0.0,0.0
7.673,0.692,91.572,0.0,0.0,0.063,384.0,0.0,471652.0,111066810.0,832442.0,217898926.0,9492803584.0,478101504.0,10605412352.0,4747104256.0,0.0,0.0
7.925,0.692,91.384,0.0,0.0,0.0,256.0,0.0,479006.0,112568324.0,841665.0,220178939.0,9492254720.0,478101504.0,10612350976.0,4740714496.0,0.0,0.0
12.020,1.070,86.658,0.063,0.0,0.189,256.0,0.0,474528.0,112756394.0,11195534.0,231758868.0,9492033536.0,478101504.0,10612252672.0,4741033984.0,0.0,40960.0
10.689,2.467,86.275,0.316,0.0,0.253,626.0,372.0,5865704.0,101336686.0,50521380.0,208789468.0,9495093248.0,478101504.0,10619686912.0,4730540032.0,0.0,0.0
6.474,0.817,92.646,0.0,0.0,0.063,372.0,0.0,259850.0,61412044.0,475201.0,125303645.0,9498898432.0,478101504.0,10620309504.0,4726112256.0,0.0,0.0
7.615,1.133,91.189,0.0,0.0,0.063,308.0,0.0,255898.0,58719402.0,25642412.0,136151232.0,9498447872.0,478101504.0,10620805120.0,4726067200.0,0.0,0.0
7.977,0.314,91.709,0.0,0.0,0.0,234.0,106.0,3191386.0,42448192.0,5446261.0,72125189.0,9499648000.0,478101504.0,10623066112.0,4722606080.0,0.0,0.0
10.609,0.377,88.889,0.126,0.0,0.0,234.0,106.0,148306.0,32996970.0,269565.0,65908011.0,9515524096.0,478101504.0,10623066112.0,4706729984.0,0.0,40960.0
8.286,0.377,91.337,0.0,0.0,0.0,320.0,68.0,151894.0,34493654.0,275066.0,67500656.0,9515126784.0,478101504.0,10630455296.0,4699738112.0,0.0,0.0
10.853,0.314,88.770,0.0,0.0,0.063,128.0,0.0,156304.0,35061022.0,277448.0,68395790.0,9515171840.0,478101504.0,10630582272.0,4699566080.0,0.0,0.0
12.539,0.439,86.959,0.0,0.0,0.063,596.0,106.0,151356.0,34487582.0,760616.0,68108497.0,9524887552.0,478101504.0,10630598656.0,4689833984.0,0.0,0.0
4.765,0.251,94.984,0.0,0.0,0.0,308.0,0.0,150445.0,34681950.0,438550.0,68150839.0,9527742464.0,478101504.0,10630594560.0,4686983168.0,0.0,0.0
8.731,0.314,90.892,0.063,0.0,0.0,414.0,106.0,155664.0,35088710.0,284143.0,69195451.0,9539321856.0,478101504.0,10630590464.0,4675407872.0,0.0,45056.0
10.979,0.251,88.770,0.0,0.0,0.0,256.0,0.0,158390.0,36157762.0,287331.0,71954271.0,9538375680.0,478101504.0,10631086080.0,4675858432.0,0.0,0.0
8.407,0.627,90.903,0.0,0.0,0.063,234.0,106.0,177798.0,40817942.0,495599.0,84526207.0,9538228224.0,478101504.0,10630967296.0,4676124672.0,0.0,0.0
16.614,2.590,80.480,0.0,0.0,0.316,192.0,0.0,217910.0,50177582.0,50149147.0,152251061.0,9539670016.0,478101504.0,10630971392.0,4674678784.0,0.0,0.0
6.152,0.816,92.969,0.0,0.0,0.063,256.0,0.0,265092.0,60995358.0,750712.0,125810298.0,9538138112.0,478101504.0,10631049216.0,4676132864.0,0.0,0.0
7.784,1.004,91.149,0.0,0.0,0.063,234.0,106.0,334586.0,76861344.0,24819290.0,183430200.0,9538793472.0,478101504.0,10631049216.0,4675477504.0,0.0,0.0
8.344,0.627,90.903,0.063,0.0,0.063,876.0,106.0,404808.0,96666380.0,733707.0,198527873.0,9537363968.0,478101504.0,10631544832.0,4676411392.0,0.0,40960.0
10.497,0.817,88.686,0.0,0.0,0.0,642.0,0.0,468654.0,116087854.0,841715.0,231496093.0,9540767744.0,478101504.0,10635522048.0,4669030400.0,0.0,0.0
10.860,0.628,88.449,0.0,0.0,0.063,576.0,0.0,496594.0,120517726.0,873712.0,234856782.0,9539309568.0,478101504.0,10635583488.0,4670427136.0,0.0,0.0
10.714,0.689,88.596,0.0,0.0,0.0,654.0,0.0,498136.0,121007638.0,868898.0,234965840.0,9540399104.0,478101504.0,10642579456.0,4662341632.0,0.0,8192.0
11.543,0.816,87.641,0.0,0.0,0.0,362.0,106.0,488272.0,118121856.0,964855.0,232182781.0,9538506752.0,478101504.0,10642579456.0,4664233984.0,0.0,0.0
9.359,0.754,89.698,0.126,0.0,0.063,808.0,198.0,494968.0,119325946.0,1147457.0,234569747.0,9538011136.0,478101504.0,10642546688.0,4664762368.0,0.0,57344.0
11.146,0.567,88.224,0.0,0.0,0.063,320.0,0.0,499886.0,120451508.0,877015.0,232654491.0,9541128192.0,478101504.0,10642837504.0,4661354496.0,0.0,0.0
7.605,0.377,92.018,0.0,0.0,0.0,706.0,0.0,457806.0,107398652.0,768295.0,198897961.0,9538428928.0,478101504.0,10642956288.0,4663934976.0,0.0,0.0
0.378,0.441,99.182,0.0,0.0,0.0,372.0,0.0,382220.0,91161420.0,677403.0,179661053.0,9539813376.0,478101504.0,10642956288.0,4662550528.0,0.0,61440.0
0.440,0.566,98.931,0.0,0.0,0.063,468.0,212.0,388586.0,95142372.0,692211.0,187492719.0,9538048000.0,478101504.0,10643447808.0,4663824384.0,0.0,0.0
0.629,0.441,98.930,0.0,0.0,0.0,1616.0,0.0,404958.0,97305458.0,717550.0,190768660.0,9538236416.0,478101504.0,10643513344.0,4663570432.0,0.0,0.0
0.630,0.630,98.615,0.126,0.0,0.0,128.0,0.0,407292.0,97683504.0,716827.0,191008703.0,9540247552.0,478101504.0,10643468288.0,4661604352.0,0.0,45056.0
2.706,0.378,96.853,0.0,0.0,0.063,320.0,0.0,401670.0,97147704.0,708967.0,190041943.0,9539002368.0,478101504.0,10643468288.0,4662849536.0,0.0,0.0
6.478,0.566,92.956,0.0,0.0,0.0,298.0,106.0,401636.0,97666806.0,721722.0,191773564.0,9539334144.0,478101504.0,10643468288.0,4662517760.0,0.0,0.0
4.786,0.567,94.647,0.0,0.0,0.0,805.0,106.0,408318.0,99086072.0,742543.0,193858074.0,9539141632.0,478101504.0,10643968000.0,4662210560.0,0.0,0.0
10.818,2.516,86.604,0.0,0.0,0.063,1026.0,0.0,427124.0,101750724.0,756722.0,200331254.0,9540595712.0,478101504.0,10732130304.0,4572594176.0,0.0,0.0
10.867,0.628,88.442,0.063,0.0,0.0,362.0,106.0,429808.0,104572692.0,766453.0,206930825.0,9543548928.0,478101504.0,10732249088.0,4569522176.0,0.0,40960.0
8.908,0.565,90.402,0.0,0.0,0.125,256.0,0.0,458890.0,111210702.0,855369.0,221595183.0,9542123520.0,478101504.0,10732249088.0,4570947584.0,0.0,0.0
12.066,2.401,85.281,0.0,0.0,0.253,320.0,68.0,499010.0,119852846.0,50350491.0,284135911.0,9545764864.0,478101504.0,10732253184.0,4567302144.0,0.0,0.0
6.801,0.504,92.632,0.0,0.0,0.063,362.0,106.0,498348.0,120004374.0,869445.0,231453533.0,9546403840.0,478101504.0,10732339200.0,4566577152.0,0.0,0.0
8.685,1.196,90.057,0.0,0.0,0.063,298.0,106.0,464986.0,111995706.0,25280927.0,247911113.0,9545666560.0,478101504.0,10742468608.0,4557185024.0,0.0,0.0
11.209,0.756,87.909,0.063,0.0,0.063,244.0,0.0,498126.0,118146132.0,864878.0,226054168.0,9548759040.0,478101504.0,10743140352.0,4553420800.0,0.0,40960.0
6.667,0.440,89.874,3.019,0.0,0.0,670.0,0.0,401148.0,99335396.0,657801.0,183232928.0,9549484032.0,478101504.0,10743152640.0,4552683520.0,0.0,0.0
0.440,0.377,93.019,6.164,0.0,0.0,352.0,0.0,321503.0,79860376.0,582606.0,151971853.0,9547522048.0,478101504.0,10743152640.0,4554645504.0,0.0,0.0
0.377,0.377,93.019,6.226,0.0,0.0,650.0,212.0,335540.0,82503300.0,596575.0,163960589.0,9549438976.0,478101504.0,10743648256.0,4552232960.0,0.0,0.0
0.629,0.441,92.700,6.230,0.0,0.0,398.0,92.0,347286.0,81775292.0,621601.0,159033303.0,9547493376.0,478101504.0,10748035072.0,4549791744.0,0.0,0.0
1.006,0.566,92.138,6.226,0.0,0.063,256.0,0.0,345128.0,81470662.0,615311.0,160385579.0,9548652544.0,478101504.0,10748108800.0,4548558848.0,0.0,40960.0
0.314,0.314,93.082,6.226,0.0,0.063,320.0,0.0,352332.0,81760226.0,622130.0,159469005.0,9546682368.0,478101504.0,10748198912.0,4550438912.0,0.0,0.0
0.378,0.378,93.014,6.230,0.0,0.0,414.0,106.0,347503.0,82090186.0,618472.0,161687125.0,9548587008.0,478101504.0,10748194816.0,4548538368.0,0.0,0.0
0.378,0.503,92.889,6.230,0.0,0.0,414.0,106.0,355322.0,84809984.0,633165.0,167386633.0,9548464128.0,478101504.0,10748194816.0,4548661248.0,0.0,0.0
0.252,0.378,93.140,6.230,0.0,0.0,384.0,0.0,360424.0,85681466.0,640599.0,165339647.0,9547538432.0,478101504.0,10748436480.0,4549345280.0,0.0,0.0
0.566,0.629,92.453,6.289,0.0,0.063,526.0,0.0,386524.0,86858292.0,701420.0,174229784.0,9549664256.0,478101504.0,10748436480.0,4547219456.0,0.0,40960.0
2.962,0.504,92.376,4.159,0.0,0.0,384.0,0.0,411482.0,94161444.0,797704.0,186956584.0,9548238848.0,478101504.0,10748604416.0,4548476928.0,0.0,0.0
10.226,0.502,89.210,0.0,0.0,0.063,362.0,174.0,490080.0,100795898.0,825818.0,202674894.0,9547911168.0,478101504.0,10748674048.0,4548734976.0,0.0,0.0
11.628,0.566,87.744,0.0,0.0,0.063,320.0,0.0,473686.0,113165522.0,933408.0,226367142.0,9548042240.0,478101504.0,10748968960.0,4548308992.0,0.0,0.0
9.114,0.691,90.069,0.0,0.0,0.126,542.0,106.0,503280.0,120212142.0,1153260.0,234133028.0,9547608064.0,478101504.0,10748989440.0,4548722688.0,0.0,0.0
10.351,0.627,88.770,0.125,0.0,0.125,372.0,0.0,484264.0,117006340.0,837861.0,224129407.0,9548230656.0,478101504.0,10749538304.0,4547551232.0,0.0,40960.0
10.289,0.502,89.084,0.0,0.0,0.125,666.0,106.0,454034.0,110140330.0,811913.0,218933375.0,9547599872.0,478101504.0,10749546496.0,4548173824.0,0.0,0.0
0.378,0.504,99.117,0.0,0.0,0.0,320.0,0.0,480004.0,116733004.0,850043.0,230085801.0,9546027008.0,478101504.0,10749468672.0,4549824512.0,0.0,0.0
0.567,0.441,98.929,0.0,0.0,0.063,256.0,0.0,491610.0,120146868.0,869395.0,235089433.0,9547612160.0,478101504.0,10749468672.0,4548239360.0,0.0,0.0
0.504,0.441,99.055,0.0,0.0,0.0,404.0,212.0,495306.0,118120274.0,863122.0,228623646.0,9545007104.0,478101504.0,10749476864.0,4550836224.0,0.0,0.0
0.756,0.693,98.047,0.441,0.0,0.063,342.0,0.0,490744.0,117364838.0,865761.0,230998047.0,9547034624.0,478101504.0,10749493248.0,4548792320.0,0.0,40960.0
1.511,0.441,91.688,6.297,0.0,0.063,308.0,0.0,486140.0,119548680.0,855439.0,234211779.0,9546461184.0,478101504.0,10749493248.0,4549365760.0,0.0,0.0
0.692,0.566,92.390,6.289,0.0,0.063,676.0,0.0,478004.0,116794160.0,833856.0,227414048.0,9546022912.0,478101504.0,10749505536.0,4549791744.0,0.0,32768.0
3.401,0.504,91.310,4.723,0.0,0.063,234.0,106.0,480238.0,117812310.0,865683.0,232315715.0,9545592832.0,478101504.0,10749505536.0,4550221824.0,0.0,0.0
8.783,0.565,86.951,3.576,0.0,0.125,568.0,266.0,498420.0,118910022.0,877041.0,226347977.0,9544454144.0,478101504.0,10749550592.0,4551315456.0,0.0,0.0
2.713,0.694,96.530,0.063,0.0,0.0,256.0,0.0,455358.0,111131298.0,826543.0,223324363.0,9546698752.0,478101504.0,10749636608.0,4548984832.0,0.0,45056.0
10.447,0.566,88.987,0.0,0.0,0.0,496.0,0.0,498210.0,121601230.0,859224.0,233827304.0,9545363456.0,478101504.0,10749640704.0,4550316032.0,0.0,0.0
12.013,0.629,87.296,0.0,0.0,0.063,298.0,106.0,452480.0,113668074.0,844529.0,225884817.0,9546100736.0,478101504.0,10749743104.0,4549476352.0,0.0,0.0
8.764,2.648,88.335,0.0,0.0,0.252,372.0,0.0,475408.0,118707986.0,50085620.0,279365724.0,9548947456.0,478101504.0,10777214976.0,4519157760.0,0.0,0.0
8.181,1.573,90.183,0.0,0.0,0.063,590.0,106.0,480636.0,118369080.0,1147143.0,234966409.0,9547599872.0,478101504.0,10801020928.0,4496699392.0,0.0,0.0
6.868,0.567,92.376,0.126,0.0,0.063,320.0,0.0,498346.0,122035296.0,866965.0,236817387.0,9547264000.0,478101504.0,10801012736.0,4497043456.0,0.0,40960.0
7.930,0.629,91.378,0.0,0.0,0.063,298.0,106.0,480080.0,120550710.0,846733.0,234783685.0,9547968512.0,478101504.0,10801012736.0,4496338944.0,0.0,0.0
12.350,1.134,86.452,0.0,0.0,0.063,384.0,0.0,483534.0,117963984.0,25302767.0,256300181.0,9547431936.0,478101504.0,10808135680.0,4489752576.0,0.0,0.0
11.980,0.694,87.327,0.0,0.0,0.0,490.0,0.0,486563.0,119996522.0,859653.0,235994825.0,9546805248.0,478101504.0,10808168448.0,4490346496.0,0.0,0.0
11.209,0.630,88.161,0.0,0.0,0.0,426.0,106.0,480868.0,117786378.0,821603.0,222985997.0,9547337728.0,478101504.0,10809524224.0,4488458240.0,0.0,0.0
11.650,0.504,86.650,1.134,0.0,0.063,244.0,0.0,405694.0,98995206.0,690775.0,181032172.0,9543860224.0,478101504.0,10809659392.0,4491800576.0,0.0,45056.0
7.683,0.504,85.705,6.045,0.0,0.063,478.0,106.0,741566.0,89487995.0,1069507.0,185486036.0,9543098368.0,478101504.0,10809663488.0,4492558336.0,0.0,0.0
10.390,1.448,86.965,1.196,0.0,0.0,256.0,0.0,401126.0,95238793.0,-249580732.0,-95395097.0,7507824640.0,478101504.0,10810204160.0,6527291392.0,0.0,0.0
6.026,0.439,93.409,0.0,0.0,0.126,192.0,0.0,359011.0,84060562.0,630972.0,164635913.0,7509028864.0,478101504.0,10810073088.0,6526218240.0,0.0,0.0
0.377,0.440,99.182,0.0,0.0,0.0,234.0,106.0,360874.0,85496265.0,642755.0,168911386.0,7507488768.0,478101504.0,10810073088.0,6527758336.0,0.0,0.0
0.441,0.315,99.245,0.0,0.0,0.0,298.0,106.0,375014.0,87624249.0,662666.0,171986478.0,7508291584.0,478101504.0,10810085376.0,6526943232.0,0.0,0.0
0.378,0.441,99.118,0.063,0.0,0.0,256.0,0.0,386423.0,89984382.0,684185.0,177373976.0,7507734528.0,478101504.0,10810142720.0,6527442944.0,0.0,61440.0
1.008,0.441,98.489,0.0,0.0,0.063,1017.0,0.0,399559.0,93086447.0,708256.0,184148571.0,7508647936.0,478101504.0,10810155008.0,6526517248.0,0.0,0.0
3.084,0.378,96.539,0.0,0.0,0.0,350.0,106.0,412364.0,97978463.0,728866.0,193577784.0,7505297408.0,478101504.0,10810159104.0,6529863680.0,0.0,0.0
7.804,0.503,91.693,0.0,0.0,0.0,504.0,198.0,432841.0,103513550.0,797630.0,207274989.0,7504736256.0,478101504.0,10810261504.0,6530322432.0,0.0,0.0
1.073,0.505,98.423,0.0,0.0,0.0,192.0,0.0,486910.0,115198031.0,872135.0,229131291.0,7504867328.0,478101504.0,10810261504.0,6530191360.0,0.0,0.0
9.377,0.503,89.931,0.126,0.0,0.063,256.0,0.0,512330.0,120628787.0,898659.0,234476280.0,7506124800.0,478101504.0,10810257408.0,6528937984.0,0.0,40960.0
11.020,0.567,88.413,0.0,0.0,0.0,234.0,106.0,499489.0,114628405.0,851420.0,216780718.0,7505653760.0,478101504.0,10810306560.0,6529359872.0,0.0,0.0
15.786,3.019,80.818,0.0,0.063,0.314,192.0,0.0,449236.0,103469761.0,50264462.0,254785261.0,7504048128.0,478101504.0,10810478592.0,6530793472.0,0.0,0.0
8.731,0.628,90.641,0.0,0.0,0.0,1490.0,106.0,530418.0,110559803.0,899015.0,219786004.0,7504543744.0,478101504.0,10810486784.0,6530289664.0,0.0,0.0
6.662,0.629,92.709,0.0,0.0,0.0,548.0,0.0,505525.0,116966563.0,869980.0,226115832.0,7505121280.0,478101504.0,10810597376.0,6529601536.0,0.0,0.0
9.314,0.441,90.120,0.063,0.0,0.063,448.0,106.0,445580.0,109709810.0,776407.0,213198256.0,7503335424.0,478101504.0,10810597376.0,6531387392.0,0.0,40960.0
11.731,0.439,84.567,3.262,0.0,0.0,656.0,0.0,381508.0,93149363.0,596061.0,158786504.0,7500693504.0,478101504.0,10817560576.0,6527066112.0,0.0,0.0
11.160,0.883,80.139,7.692,0.0,0.126,192.0,0.0,372115.0,67338892.0,25137370.0,112985591.0,7500726272.0,478101504.0,10817744896.0,6526849024.0,0.0,16384.0
10.470,0.251,83.072,6.207,0.0,0.0,426.0,106.0,280785.0,56838748.0,396421.0,99334667.0,7501553664.0,478101504.0,10817589248.0,6526177280.0,0.0,0.0
11.104,0.439,82.873,5.583,0.0,0.0,298.0,106.0,254154.0,48013761.0,398757.0,96291385.0,7500746752.0,478101504.0,10817687552.0,6526885888.0,0.0,0.0
7.659,0.251,92.090,0.0,0.0,0.0,372.0,0.0,458634.0,47247414.0,656444.0,95043741.0,7500636160.0,478101504.0,10817687552.0,6526996480.0,0.0,0.0
11.529,0.501,87.719,0.125,0.0,0.125,612.0,0.0,187128.0,55643758.0,-297761243.0,96440322.0,5490057216.0,478101504.0,10818183168.0,8537079808.0,0.0,49152.0
3.139,0.188,96.673,0.0,0.0,0.0,256.0,0.0,177929.0,44837971.0,310580.0,83363157.0,5489565696.0,478101504.0,10818039808.0,8537714688.0,0.0,36864.0
0.439,0.376,99.184,0.0,0.0,0.0,362.0,174.0,177441.0,41481906.0,312867.0,81479744.0,5489553408.0,478101504.0,10818060288.0,8537706496.0,0.0,0.0
0.188,0.126,99.686,0.0,0.0,0.0,298.0,106.0,177945.0,42071594.0,314895.0,82465331.0,5489979392.0,478101504.0,10818113536.0,8537227264.0,0.0,0.0
0.376,0.188,99.436,0.0,0.0,0.0,192.0,0.0,184549.0,42236178.0,325003.0,82588357.0,5488279552.0,478101504.0,10818117632.0,8538923008.0,0.0,0.0
0.440,0.251,99.183,0.126,0.0,0.0,256.0,0.0,184635.0,42528666.0,332381.0,84688271.0,5487603712.0,478101504.0,10818121728.0,8539594752.0,0.0,57344.0
2.448,0.251,97.301,0.0,0.0,0.0,606.0,0.0,202652.0,45559010.0,356775.0,89554231.0,5487329280.0,478101504.0,10818117632.0,8539873280.0,0.0,0.0
