"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
1.096,1.558,97.313,0.031,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,10924859392.0,413810688.0,5365006336.0,8619622400.0,166.651,3079.785
1.514,0.946,97.476,0.0,0.0,0.063,520.0,212.0,461364.0,68368715.0,791731.0,152073099.0,10933604352.0,413810688.0,5365010432.0,8610873344.0,0.0,0.0
6.654,1.014,92.205,0.0,0.0,0.127,432.0,0.0,719874.0,121268474.0,1145903.0,237404855.0,10938531840.0,413810688.0,5365022720.0,8605933568.0,0.0,0.0
9.684,0.696,89.557,0.0,0.0,0.063,400.0,0.0,599842.0,122766503.0,1079846.0,240293974.0,10938683392.0,413810688.0,5365014528.0,8605790208.0,0.0,0.0
10.089,0.571,89.340,0.0,0.0,0.0,256.0,0.0,574264.0,122715646.0,1006259.0,240185751.0,10938421248.0,413810688.0,5365100544.0,8605966336.0,0.0,0.0
10.063,0.506,89.367,0.0,0.0,0.063,234.0,106.0,549088.0,122732288.0,961156.0,240218338.0,10937925632.0,413810688.0,5365100544.0,8606461952.0,0.0,0.0
11.020,0.760,88.157,0.063,0.0,0.0,1660.0,106.0,567464.0,122735182.0,1598370.0,240828968.0,10937434112.0,413810688.0,5365100544.0,8606953472.0,0.0,65536.0
7.726,0.823,91.387,0.0,0.0,0.063,372.0,0.0,573700.0,122762052.0,1001431.0,240288859.0,10940289024.0,413810688.0,5365108736.0,8604090368.0,0.0,0.0
7.990,0.634,91.313,0.0,0.0,0.063,436.0,0.0,572260.0,122724496.0,1004786.0,240128722.0,10940387328.0,413810688.0,5365100544.0,8604000256.0,0.0,0.0
7.590,0.822,91.588,0.0,0.0,0.0,362.0,106.0,588022.0,123226954.0,1028462.0,240811692.0,10939203584.0,413810688.0,5369929728.0,8600354816.0,0.0,57344.0
7.536,0.697,91.704,0.0,0.0,0.063,270.0,92.0,594190.0,122720434.0,1044831.0,240160849.0,10939416576.0,413810688.0,5369929728.0,8600141824.0,0.0,0.0
