"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o src.dstat.csv",,,,"Date:","27 May 2014 00:12:32 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.087,0.049,99.834,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,9534623744.0,478093312.0,11568263168.0,3742441472.0,253.251,2679.987
10.181,0.187,89.631,0.0,0.0,0.0,1140.0,0.0,6777.0,10277.0,21929.0,28497.0,9535746048.0,478093312.0,11568267264.0,3741315072.0,0.0,0.0
10.207,0.250,88.854,0.689,0.0,0.0,312.0,198.0,8364.0,6912.0,24887.0,1221593.0,9535893504.0,478093312.0,11568357376.0,3741077504.0,0.0,0.0
9.011,0.313,90.300,0.375,0.0,0.0,478.0,106.0,10658.0,1254454.0,22083.0,1311543.0,9538805760.0,478093312.0,11568373760.0,3738148864.0,0.0,0.0
9.011,0.375,90.613,0.0,0.0,0.0,244.0,0.0,3865.0,50253.0,613619.0,772271.0,9539276800.0,478093312.0,11568373760.0,3737677824.0,0.0,0.0
7.067,0.250,92.683,0.0,0.0,0.0,128.0,0.0,4858.0,156114.0,12753.0,374193.0,9539543040.0,478093312.0,11568373760.0,3737411584.0,0.0,0.0
7.817,0.500,91.495,0.125,0.0,0.063,673.0,106.0,3360.0,238830.0,16038.0,645671.0,9543553024.0,478093312.0,11573329920.0,3728445440.0,0.0,73728.0
7.880,0.313,91.807,0.0,0.0,0.0,788.0,106.0,5725.0,449023.0,17819.0,1055933.0,9544151040.0,478093312.0,11573403648.0,3727773696.0,0.0,0.0
10.332,0.438,89.167,0.0,0.0,0.063,272.0,0.0,5250.0,701458.0,2861591.0,4521369.0,9547968512.0,478093312.0,11573403648.0,3723956224.0,0.0,0.0
11.432,2.513,85.804,0.0,0.0,0.251,256.0,0.0,7308.0,1060622.0,46718838.0,49340630.0,9554018304.0,478093312.0,11573530624.0,3717779456.0,0.0,0.0
6.633,0.125,93.242,0.0,0.0,0.0,414.0,106.0,11349.0,1768219.0,29585.0,4209653.0,9554759680.0,478093312.0,11573526528.0,3717042176.0,0.0,0.0
7.697,0.501,91.677,0.125,0.0,0.0,372.0,0.0,12946.0,2814838.0,33518.0,6945936.0,9560326144.0,478093312.0,11576000512.0,3709001728.0,0.0,45056.0
12.461,1.002,86.475,0.0,0.0,0.063,298.0,106.0,20408.0,4569410.0,24495995.0,35287773.0,9566101504.0,478093312.0,11575906304.0,3703320576.0,0.0,0.0
4.514,0.188,91.097,4.201,0.0,0.0,496.0,0.0,37164.0,8628628.0,97191.0,23609547.0,9567866880.0,478093312.0,11575914496.0,3701547008.0,0.0,0.0
5.319,0.313,91.302,3.066,0.0,0.0,362.0,106.0,64680.0,15370544.0,138454.0,34440268.0,9569087488.0,478093312.0,11582685184.0,3693555712.0,0.0,0.0
10.658,0.188,89.154,0.0,0.0,0.0,192.0,0.0,94924.0,21273478.0,187513.0,46451300.0,9570791424.0,478093312.0,11582906368.0,3691630592.0,0.0,0.0
12.233,0.376,87.265,0.063,0.0,0.063,192.0,0.0,121366.0,27176061.0,371445.0,57926935.0,9573183488.0,478093312.0,11582906368.0,3689238528.0,0.0,49152.0
3.950,0.188,95.862,0.0,0.0,0.0,478.0,106.0,141402.0,34004321.0,481472.0,70834542.0,9572904960.0,478093312.0,11582906368.0,3689517056.0,0.0,0.0
5.834,0.251,93.852,0.0,0.0,0.063,414.0,106.0,162696.0,38823598.0,315132.0,81695005.0,9573310464.0,478093312.0,11582926848.0,3689091072.0,0.0,0.0
10.075,0.313,89.424,0.0,0.0,0.188,320.0,68.0,194204.0,45830254.0,346117.0,88723654.0,9574764544.0,478093312.0,11583422464.0,3687141376.0,0.0,0.0
11.090,0.439,88.346,0.0,0.0,0.125,256.0,0.0,195426.0,46065649.0,577829.0,100536887.0,9574182912.0,478093312.0,11583336448.0,3687809024.0,0.0,0.0
14.798,2.771,81.927,0.126,0.0,0.378,256.0,0.0,235890.0,56419946.0,49993146.0,161032217.0,9578012672.0,478093312.0,11583451136.0,3683864576.0,0.0,45056.0
10.978,2.019,86.498,0.315,0.0,0.189,610.0,304.0,246656.0,58533427.0,27242899.0,134262217.0,9579016192.0,478093312.0,11585286144.0,3681026048.0,0.0,0.0
6.587,0.439,92.848,0.063,0.0,0.063,256.0,0.0,2194122.0,51984146.0,2359474.0,100711986.0,9577750528.0,478093312.0,11585286144.0,3682291712.0,0.0,0.0
8.365,0.692,90.943,0.0,0.0,0.0,874.0,0.0,216934.0,52235681.0,24847954.0,131287569.0,9578246144.0,478093312.0,11586093056.0,3680989184.0,0.0,0.0
11.028,0.313,88.596,0.0,0.0,0.063,720.0,0.0,231924.0,56251015.0,413605.0,109951837.0,9577054208.0,478093312.0,11586019328.0,3682254848.0,0.0,0.0
10.811,0.629,88.498,0.063,0.0,0.0,320.0,0.0,240844.0,58070995.0,440279.0,115831327.0,9578774528.0,478093312.0,11586166784.0,3680387072.0,0.0,81920.0
10.930,0.251,88.819,0.0,0.0,0.0,794.0,212.0,255234.0,60588784.0,449503.0,118277683.0,9579401216.0,478093312.0,11586240512.0,3679686656.0,0.0,0.0
11.447,0.503,88.050,0.0,0.0,0.0,192.0,0.0,253170.0,60565033.0,477349.0,123876674.0,9579073536.0,478093312.0,11586244608.0,3680010240.0,0.0,0.0
7.905,0.502,91.531,0.0,0.0,0.063,192.0,0.0,283636.0,68768819.0,517338.0,142068621.0,9579126784.0,478093312.0,11586256896.0,3679944704.0,0.0,0.0
10.176,0.251,88.505,1.068,0.0,0.0,618.0,106.0,292306.0,74416557.0,501515.0,135400539.0,9576493056.0,478093312.0,11586301952.0,3682533376.0,0.0,0.0
8.731,0.440,90.641,0.126,0.0,0.063,1009.0,0.0,258946.0,61487513.0,458024.0,120548110.0,9579057152.0,478093312.0,11586297856.0,3679973376.0,0.0,94208.0
