Timestamp,In ,Out
2014-05-30T04:18:30-04:00,48562632,4.6116747484E+17
2014-05-30T04:18:45-04:00,48562632,4.6116747484E+17
2014-05-30T04:19:00-04:00,107899154.67,1.2297799329E+17
2014-05-30T04:19:15-04:00,129476072,538510.88
2014-05-30T04:19:30-04:00,129476072,538510.88
2014-05-30T04:19:45-04:00,134447803.2,557107.68
2014-05-30T04:20:00-04:00,135690736,561756.88
2014-05-30T04:20:15-04:00,135630954.67,567906.74533
2014-05-30T04:20:30-04:00,135609216,570143.06
2014-05-30T04:20:45-04:00,135609216,570143.06
2014-05-30T04:21:00-04:00,106701049.6,985243.612
2014-05-30T04:21:15-04:00,99474008,1089018.75
2014-05-30T04:21:30-04:00,99474008,1089018.75
2014-05-30T04:21:45-04:00,49456788.8,5008683.75
2014-05-30T04:22:00-04:00,36952484,5988600
2014-05-30T04:22:15-04:00,24123437.733,4933943.1
2014-05-30T04:22:30-04:00,19458330,4550431.5
2014-05-30T04:22:45-04:00,19458330,4550431.5
2014-05-30T04:23:00-04:00,19673905.067,1829964.5273
2014-05-30T04:23:15-04:00,19752296,840703.81
2014-05-30T04:23:30-04:00,6601908.5,448230.71
2014-05-30T04:23:45-04:00,26714.75,251994.16
2014-05-30T04:24:00-04:00,26714.75,251994.16
2014-05-30T04:24:15-04:00,15915.99,110241.93333
2014-05-30T04:24:30-04:00,10516.61,39365.82
2014-05-30T04:24:45-04:00,10516.61,39365.82
2014-05-30T04:25:00-04:00,10516.61,39365.82
2014-05-30T04:25:15-04:00,10516.61,39365.82
