"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 4vms-r1.dest.dstat.csv",,,,"Date:","30 May 2014 04:55:37 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.087,0.049,99.834,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1404358656.0,478101504.0,11536363520.0,11904598016.0,253.172,2679.840
0.312,0.062,99.375,0.187,0.0,0.062,256.0,0.0,185608.0,10184.0,503243.0,15877.0,1414778880.0,478101504.0,11536523264.0,11894018048.0,0.0,61440.0
0.500,0.625,98.687,0.188,0.0,0.0,1000.0,106.0,326049.0,5205.0,1233902.0,15248.0,1435795456.0,478101504.0,11300581376.0,12108943360.0,0.0,49152.0
0.564,0.438,98.810,0.188,0.0,0.0,384.0,0.0,1123335.0,11451.0,3589557.0,28306.0,1455149056.0,478101504.0,11162542080.0,12227629056.0,0.0,45056.0
0.251,0.188,99.499,0.063,0.0,0.0,310.0,0.0,3485933.0,21963.0,11362026.0,63409.0,1464246272.0,478101504.0,11162161152.0,12218912768.0,0.0,45056.0
0.502,0.752,98.495,0.188,0.0,0.063,234.0,106.0,9553524.0,54164.0,29669392.0,164082.0,1494188032.0,478101504.0,10482302976.0,12868829184.0,0.0,45056.0
0.252,0.378,99.307,0.0,0.0,0.063,372.0,0.0,24029376.0,129284.0,65913228.0,344654.0,1543385088.0,478101504.0,10481790976.0,12820144128.0,0.0,0.0
0.756,0.819,98.299,0.0,0.0,0.126,414.0,106.0,51690544.0,266068.0,129314799.0,644908.0,1629474816.0,478101504.0,10481938432.0,12733906944.0,0.0,0.0
0.822,1.138,97.977,0.0,0.0,0.063,408.0,0.0,86184024.0,423794.0,187561646.0,892832.0,1739034624.0,478101504.0,10481938432.0,12624347136.0,0.0,0.0
0.695,1.075,98.040,0.0,0.0,0.190,362.0,106.0,107000065.0,507664.0,202142309.0,939158.0,1845415936.0,478101504.0,10481938432.0,12517965824.0,0.0,0.0
0.760,1.203,97.783,0.063,0.0,0.190,320.0,68.0,99555812.0,448830.0,205202728.0,912094.0,1964478464.0,478101504.0,10481938432.0,12398903296.0,0.0,20480.0
0.635,1.079,98.160,0.0,0.0,0.127,256.0,0.0,111097941.0,491796.0,210617102.0,926574.0,2077880320.0,478101504.0,10481938432.0,12285501440.0,0.0,0.0
0.698,1.206,97.970,0.0,0.0,0.127,830.0,212.0,103182414.0,456432.0,205985806.0,905324.0,2194391040.0,478101504.0,10481938432.0,12168990720.0,0.0,0.0
0.633,1.076,98.165,0.0,0.0,0.127,436.0,0.0,107921191.0,484186.0,200752574.0,901078.0,2301718528.0,478101504.0,10481938432.0,12061663232.0,0.0,0.0
0.633,1.203,98.038,0.0,0.0,0.127,372.0,0.0,93537940.0,421218.0,184218128.0,809970.0,2401865728.0,478101504.0,10481938432.0,11961516032.0,0.0,0.0
0.697,1.140,98.037,0.0,0.0,0.127,192.0,0.0,95451223.0,413348.0,190064842.0,812792.0,2506256384.0,478101504.0,10481938432.0,11857125376.0,0.0,0.0
0.507,0.951,98.352,0.063,0.0,0.127,426.0,106.0,99422098.0,430646.0,185183833.0,811524.0,2602741760.0,478101504.0,10481938432.0,11760640000.0,0.0,16384.0
0.758,1.011,98.042,0.0,0.0,0.190,376.0,198.0,87785095.0,394116.0,173642169.0,767014.0,2700800000.0,478101504.0,10481938432.0,11662581760.0,0.0,0.0
0.696,1.013,98.165,0.0,0.0,0.127,472.0,0.0,90983040.0,399600.0,180709324.0,791058.0,2799112192.0,478101504.0,10481938432.0,11564269568.0,0.0,0.0
0.570,1.077,98.163,0.0,0.0,0.190,256.0,0.0,93509164.0,415518.0,184342962.0,809088.0,2901606400.0,478101504.0,10481938432.0,11461775360.0,0.0,0.0
