"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o src.dstat.csv",,,,"Date:","27 May 2014 00:12:32 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.088,0.050,99.831,0.029,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,9539104768.0,478081024.0,10632638464.0,4673597440.0,263.091,2746.739
0.187,0.125,99.688,0.0,0.0,0.0,362.0,106.0,2058.0,1576.0,11456.0,11524.0,9539678208.0,478081024.0,10632654848.0,4673007616.0,0.0,0.0
0.250,0.188,99.562,0.0,0.0,0.0,256.0,0.0,5294.0,3578.0,16406.0,16562.0,9540034560.0,478081024.0,10632663040.0,4672643072.0,0.0,0.0
0.313,0.188,99.499,0.0,0.0,0.0,362.0,106.0,2974.0,3870.0,12998.0,64252.0,9540841472.0,478081024.0,10632675328.0,4671823872.0,0.0,0.0
0.188,0.063,99.750,0.0,0.0,0.0,372.0,0.0,5025.0,97481.0,15705.0,232901.0,9541435392.0,478081024.0,10632675328.0,4671229952.0,0.0,0.0
0.250,0.125,99.625,0.0,0.0,0.0,308.0,0.0,3604.0,214142.0,12444.0,497416.0,9541595136.0,478081024.0,10632675328.0,4671070208.0,0.0,0.0
0.375,0.250,99.250,0.063,0.0,0.063,376.0,198.0,4768.0,313026.0,17236.0,714742.0,9543307264.0,478081024.0,10632687616.0,4669345792.0,0.0,106496.0
0.125,0.063,99.812,0.0,0.0,0.0,298.0,106.0,6045.0,614041.0,16987.0,1434677.0,9543860224.0,478081024.0,10632687616.0,4668792832.0,0.0,0.0
0.375,0.250,99.374,0.0,0.0,0.0,1204.0,0.0,6470.0,901124.0,20558.0,2005588.0,9545543680.0,478081024.0,10632687616.0,4667109376.0,0.0,0.0
0.375,0.188,99.437,0.0,0.0,0.0,192.0,0.0,9911.0,1603579.0,29235.0,3733329.0,9548771328.0,478081024.0,10632683520.0,4663885824.0,0.0,0.0
0.250,0.063,99.687,0.0,0.0,0.0,320.0,0.0,15176.0,2473482.0,32996.0,5435048.0,9549488128.0,478081024.0,10632687616.0,4663164928.0,0.0,0.0
0.501,0.376,98.936,0.125,0.0,0.063,782.0,106.0,20928.0,4231788.0,50118.0,9516526.0,9553805312.0,478081024.0,10632687616.0,4658847744.0,0.0,36864.0
0.188,0.125,99.687,0.0,0.0,0.0,478.0,106.0,30120.0,6095676.0,66020.0,13562460.0,9555931136.0,478081024.0,10632695808.0,4656713728.0,0.0,0.0
0.250,0.125,99.624,0.0,0.0,0.0,192.0,0.0,52206.0,10735858.0,103609.0,23373679.0,9557782528.0,478081024.0,10632687616.0,4654870528.0,0.0,0.0
0.250,0.188,99.562,0.0,0.0,0.0,512.0,0.0,58198.0,13802154.0,115654.0,29760494.0,9558761472.0,478081024.0,10632687616.0,4653891584.0,0.0,98304.0
0.376,0.188,99.436,0.0,0.0,0.0,320.0,0.0,87924.0,21418024.0,161070.0,43933691.0,9561190400.0,478081024.0,10632687616.0,4651462656.0,0.0,0.0
0.314,0.314,99.247,0.125,0.0,0.0,612.0,212.0,90878.0,24105319.0,187523.0,51797813.0,9562804224.0,478081024.0,10632699904.0,4649836544.0,0.0,49152.0
0.188,0.188,99.624,0.0,0.0,0.0,128.0,0.0,135382.0,32841665.0,247516.0,66634484.0,9564508160.0,478081024.0,10632704000.0,4648128512.0,0.0,0.0
0.313,0.251,99.436,0.0,0.0,0.0,404.0,0.0,153370.0,37901540.0,283551.0,77625694.0,9564717056.0,478081024.0,10632699904.0,4647923712.0,0.0,0.0
