"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/migration/log/idle/cluster/precopy/speed125/2/0.4ms/6vms-r1.src.dstat.csv",,,,"Date:","07 Jun 2014 22:40:19 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.988,1.426,97.555,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,10502205440.0,421056512.0,7343693824.0,7056343040.0,162.880,3398.318
2.270,4.035,93.001,0.0,0.0,0.694,606.0,174.0,13077.0,12871.0,380913.0,81799335.0,10512224256.0,421056512.0,7343710208.0,7046307840.0,0.0,0.0
2.978,7.351,88.783,0.0,0.0,0.887,628.0,0.0,647269.0,113389723.0,1200421.0,230152643.0,10516238336.0,421056512.0,7343714304.0,7042289664.0,0.0,0.0
3.036,7.780,88.172,0.0,0.0,1.012,320.0,0.0,738260.0,122166184.0,1293103.0,238915639.0,10517876736.0,421056512.0,7343726592.0,7040638976.0,0.0,0.0
3.042,8.365,87.643,0.0,0.0,0.951,794.0,106.0,743756.0,122215028.0,1306748.0,239008706.0,10517700608.0,421056512.0,7343730688.0,7040811008.0,0.0,0.0
2.788,8.872,87.199,0.127,0.0,1.014,590.0,0.0,743270.0,122214050.0,1298820.0,238974346.0,10518138880.0,421056512.0,7343726592.0,7040376832.0,0.0,122880.0
2.982,6.345,89.848,0.0,0.0,0.825,762.0,266.0,750328.0,122192850.0,1325035.0,239107694.0,10517458944.0,421056512.0,7343751168.0,7041032192.0,0.0,0.0
3.167,6.016,89.740,0.0,0.0,1.077,320.0,0.0,759750.0,122431765.0,1324774.0,239443293.0,10518052864.0,421056512.0,7343751168.0,7040438272.0,0.0,159744.0
3.101,6.076,89.937,0.0,0.0,0.886,542.0,106.0,757562.0,122378182.0,1320684.0,239341212.0,10518302720.0,421056512.0,7343734784.0,7040204800.0,0.0,0.0
3.103,6.206,89.994,0.0,0.0,0.697,436.0,0.0,749778.0,122399892.0,1318627.0,239364125.0,10518212608.0,421056512.0,7343747072.0,7040282624.0,0.0,0.0
2.984,5.905,89.905,0.254,0.0,0.952,448.0,0.0,757992.0,122408916.0,1321431.0,239223165.0,10519179264.0,421056512.0,7343751168.0,7039311872.0,0.0,61440.0
3.111,6.222,89.841,0.0,0.0,0.825,426.0,106.0,751748.0,122331614.0,1313635.0,239224273.0,10519470080.0,421056512.0,7343747072.0,7039025152.0,0.0,0.0
3.230,5.826,89.930,0.0,0.0,1.013,730.0,106.0,748360.0,122204788.0,1312209.0,239009353.0,10518790144.0,421056512.0,7343767552.0,7039684608.0,0.0,0.0
2.855,5.964,90.228,0.0,0.0,0.952,384.0,0.0,756920.0,122806546.0,1317230.0,239682106.0,10519875584.0,421056512.0,7343767552.0,7038599168.0,0.0,0.0
3.169,5.830,89.987,0.0,0.0,1.014,512.0,0.0,749330.0,122255590.0,1314334.0,239158892.0,10518491136.0,421056512.0,7343779840.0,7039971328.0,0.0,0.0
3.107,5.961,89.791,0.190,0.0,0.951,564.0,0.0,753956.0,122383576.0,1319533.0,239330891.0,10519244800.0,421056512.0,7343775744.0,7039221760.0,0.0,36864.0
2.647,5.986,90.674,0.189,0.0,0.504,542.0,106.0,749538.0,121658072.0,-652865252.0,-1729063925.0,8487661568.0,421056512.0,7343775744.0,9070804992.0,0.0,0.0
2.658,5.127,91.709,0.0,0.0,0.506,490.0,106.0,22610.0,3178659.0,27801.0,3204657.0,8487763968.0,421056512.0,7343767552.0,9070710784.0,0.0,0.0
2.783,5.060,91.841,0.0,0.0,0.316,640.0,0.0,2594.0,11792.0,6880.0,28374.0,8488169472.0,421056512.0,7343763456.0,9070309376.0,0.0,0.0
2.778,5.366,91.477,0.0,0.0,0.379,384.0,0.0,2884.0,10946.0,9178.0,94964.0,8488632320.0,421056512.0,7343775744.0,9069834240.0,0.0,0.0
2.582,5.479,91.310,0.189,0.0,0.441,426.0,106.0,4032.0,76943.0,7638.0,91593.0,8487956480.0,421056512.0,7343775744.0,9070510080.0,0.0,69632.0
2.774,6.305,90.542,0.0,0.0,0.378,810.0,106.0,3364.0,8893.0,6786.0,21613.0,8489062400.0,421056512.0,7343767552.0,9069412352.0,0.0,0.0
2.657,5.313,91.714,0.0,0.0,0.316,884.0,0.0,2402.0,9658.0,9296.0,129088.0,8487518208.0,421056512.0,7343804416.0,9070919680.0,0.0,0.0
2.776,5.363,91.420,0.0,0.0,0.442,820.0,0.0,9126.0,116872.0,13971.0,140110.0,8487833600.0,421056512.0,7343775744.0,9070632960.0,0.0,65536.0
2.653,5.306,91.661,0.0,0.0,0.379,746.0,106.0,2642.0,8921.0,7715.0,25355.0,8489361408.0,421056512.0,7343779840.0,9069101056.0,0.0,0.0
2.592,5.436,91.466,0.126,0.0,0.379,1060.0,92.0,3880.0,11682.0,7297.0,29956.0,8488247296.0,421056512.0,7343796224.0,9070198784.0,0.0,57344.0
2.711,6.620,90.290,0.0,0.0,0.378,1072.0,106.0,2374.0,8578.0,5424.0,18642.0,8489082880.0,421056512.0,7343783936.0,9069375488.0,0.0,0.0
2.658,5.253,91.772,0.0,0.0,0.316,746.0,0.0,2787.0,8526.0,7456.0,30343.0,8488919040.0,421056512.0,7343771648.0,9069551616.0,0.0,0.0
2.583,5.608,91.430,0.0,0.0,0.378,362.0,106.0,5018.0,9580.0,7482.0,19842.0,8487538688.0,421056512.0,7343783936.0,9070919680.0,0.0,0.0
2.715,5.240,91.604,0.0,0.0,0.442,436.0,0.0,2816.0,9706.0,6345.0,24364.0,8488882176.0,421056512.0,7343800320.0,9069559808.0,0.0,32768.0
2.588,5.366,91.477,0.189,0.0,0.379,692.0,0.0,2206.0,8391.0,5346.0,19807.0,8488144896.0,421056512.0,7343812608.0,9070284800.0,0.0,45056.0
2.583,6.553,90.422,0.0,0.0,0.441,490.0,106.0,3216.0,8671.0,6342.0,21621.0,8489099264.0,421056512.0,7343800320.0,9069342720.0,0.0,0.0
2.713,5.931,90.978,0.0,0.0,0.379,298.0,106.0,2678.0,9333.0,5822.0,24145.0,8488136704.0,421056512.0,7343804416.0,9070301184.0,0.0,0.0
0.125,0.062,99.812,0.0,0.0,0.0,1332.0,0.0,3332.0,7326.0,4848.0,7704.0,8485748736.0,421056512.0,7343808512.0,9072685056.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,640.0,0.0,346.0,0.0,1734.0,3388.0,8485740544.0,421056512.0,7343808512.0,9072693248.0,0.0,0.0
0.125,0.063,99.750,0.0,0.0,0.063,592.0,0.0,2908.0,806.0,6328.0,13268.0,8485851136.0,421056512.0,7343824896.0,9072566272.0,0.0,16384.0
0.063,0.063,99.687,0.188,0.0,0.0,584.0,212.0,512.0,0.0,1832.0,3656.0,8485089280.0,421056512.0,7343824896.0,9073328128.0,0.0,36864.0
0.375,1.564,98.060,0.0,0.0,0.0,308.0,0.0,1302.0,64.0,6800.0,115429.0,8485130240.0,421056512.0,7343824896.0,9073287168.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,704.0,0.0,6162.0,109855.0,9084.0,124409.0,8484536320.0,421056512.0,7343837184.0,9073868800.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,320.0,0.0,1126.0,64.0,3094.0,6192.0,8483303424.0,421056512.0,7343837184.0,9075101696.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,256.0,0.0,2044.0,0.0,2776.0,2186.0,8483262464.0,421056512.0,7343837184.0,9075142656.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,404.0,212.0,1104.0,64.0,3710.0,3765.0,8482701312.0,421056512.0,7343841280.0,9075699712.0,0.0,36864.0
0.376,1.503,97.934,0.188,0.0,0.0,448.0,0.0,1234.0,2352.0,10645.0,21170.0,8482471936.0,421056512.0,7343841280.0,9075929088.0,0.0,20480.0
0.125,0.125,99.750,0.0,0.0,0.0,682.0,0.0,6554.0,6670.0,11670.0,12643.0,8481419264.0,421056512.0,7343841280.0,9076981760.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,606.0,106.0,3087.0,5140.0,13279.0,61938.0,8481021952.0,421056512.0,7343857664.0,9077362688.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,398.0,92.0,4603.0,59446.0,12745.0,80706.0,8480382976.0,421056512.0,7343857664.0,9078001664.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,448.0,68.0,6303.0,5429.0,11501.0,12292.0,8479690752.0,421056512.0,7343857664.0,9078693888.0,0.0,0.0
0.375,1.564,98.060,0.0,0.0,0.0,426.0,106.0,3037.0,4249.0,9955.0,15618.0,8479698944.0,421056512.0,7343857664.0,9078685696.0,0.0,16384.0
0.063,0.188,99.624,0.125,0.0,0.0,618.0,106.0,3187.0,5415.0,11259.0,22256.0,8479174656.0,421056512.0,7343874048.0,9079193600.0,0.0,12288.0
0.188,0.063,99.750,0.0,0.0,0.0,256.0,0.0,5795.0,5493.0,11071.0,13612.0,8478572544.0,421056512.0,7343874048.0,9079795712.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,692.0,0.0,3011.0,4185.0,9027.0,7771.0,8477888512.0,421056512.0,7343890432.0,9080463360.0,0.0,0.0
0.063,0.188,99.750,0.0,0.0,0.0,436.0,0.0,2267.0,4249.0,7914.0,7670.0,8478187520.0,421056512.0,7343890432.0,9080164352.0,0.0,0.0
0.188,0.564,99.249,0.0,0.0,0.0,852.0,280.0,2352.0,4601.0,10634.0,116397.0,8477822976.0,421056512.0,7343890432.0,9080528896.0,0.0,0.0
0.313,1.126,98.561,0.0,0.0,0.0,192.0,0.0,8733.0,112262.0,14793.0,125003.0,8476790784.0,421056512.0,7343890432.0,9081561088.0,0.0,8192.0
0.125,0.125,99.625,0.125,0.0,0.0,512.0,0.0,1811.0,4185.0,10156.0,88097.0,8476151808.0,421056512.0,7343890432.0,9082200064.0,0.0,16384.0
0.188,0.063,99.750,0.0,0.0,0.0,406.0,0.0,6110.0,87189.0,13018.0,99722.0,8476106752.0,421056512.0,7343890432.0,9082245120.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,490.0,106.0,2507.0,5013.0,7881.0,8550.0,8476028928.0,421056512.0,7343894528.0,9082318848.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,776.0,106.0,2318.0,4249.0,8596.0,7930.0,8475648000.0,421056512.0,7343894528.0,9082699776.0,0.0,0.0
0.375,1.502,98.123,0.0,0.0,0.0,500.0,0.0,1875.0,4187.0,7131.0,10516.0,8475676672.0,421056512.0,7343894528.0,9082671104.0,0.0,16384.0
0.125,0.188,99.687,0.0,0.0,0.0,256.0,0.0,4038.0,5803.0,9424.0,9652.0,8475222016.0,421056512.0,7343894528.0,9083125760.0,0.0,0.0
0.125,0.125,99.562,0.188,0.0,0.0,490.0,106.0,2183.0,4185.0,8406.0,8309.0,8475222016.0,421056512.0,7343894528.0,9083125760.0,0.0,20480.0
0.125,0.063,99.812,0.0,0.0,0.0,368.0,0.0,2455.0,4251.0,6709.0,6890.0,8474755072.0,421056512.0,7343894528.0,9083592704.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,490.0,106.0,2440.0,5427.0,8112.0,10336.0,8474509312.0,421056512.0,7343894528.0,9083838464.0,0.0,0.0
0.250,1.315,98.435,0.0,0.0,0.0,384.0,0.0,2549.0,4249.0,8093.0,7689.0,8474447872.0,421056512.0,7343894528.0,9083899904.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,708.0,0.0,2572.0,4187.0,9582.0,211653.0,8474140672.0,421056512.0,7343894528.0,9084207104.0,0.0,16384.0
0.063,0.125,99.812,0.0,0.0,0.0,620.0,198.0,4990.0,218415.0,11440.0,226772.0,8473812992.0,421056512.0,7343910912.0,9084518400.0,0.0,0.0
0.188,0.750,98.875,0.188,0.0,0.0,734.0,0.0,1811.0,4185.0,7556.0,8287.0,8473686016.0,421056512.0,7343910912.0,9084645376.0,0.0,12288.0
0.125,5.072,94.803,0.0,0.0,0.0,776.0,106.0,2481.0,4251.0,11653.0,121030.0,8473153536.0,421056512.0,7343910912.0,9085177856.0,0.0,0.0
0.375,6.754,92.871,0.0,0.0,0.0,746.0,106.0,9450.0,113235.0,17438.0,130820.0,8473473024.0,421056512.0,7343910912.0,9084858368.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,542.0,0.0,3159.0,5077.0,10816.0,67325.0,8473202688.0,421056512.0,7343910912.0,9085128704.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,512.0,0.0,4803.0,61831.0,10207.0,65002.0,8472772608.0,421056512.0,7343910912.0,9085558784.0,0.0,8192.0
0.188,0.063,99.750,0.0,0.0,0.0,564.0,0.0,2586.0,4811.0,7748.0,7356.0,8472772608.0,421056512.0,7343910912.0,9085558784.0,0.0,0.0
0.125,0.125,99.562,0.188,0.0,0.0,904.0,212.0,2165.0,5013.0,7416.0,7842.0,8472518656.0,421056512.0,7343910912.0,9085812736.0,0.0,12288.0
0.188,0.688,99.124,0.0,0.0,0.0,542.0,0.0,2169.0,4251.0,7803.0,7917.0,8472936448.0,421056512.0,7343939584.0,9085366272.0,0.0,0.0
0.188,0.313,99.500,0.0,0.0,0.0,448.0,0.0,2025.0,4185.0,7425.0,7568.0,8472821760.0,421056512.0,7343939584.0,9085480960.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,448.0,0.0,4426.0,6875.0,10889.0,18802.0,8472559616.0,421056512.0,7343939584.0,9085743104.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,964.0,106.0,1951.0,4251.0,8027.0,7279.0,8472559616.0,421056512.0,7343939584.0,9085743104.0,0.0,8192.0
0.125,0.125,99.750,0.0,0.0,0.0,708.0,106.0,2169.0,4249.0,7915.0,13184.0,8472432640.0,421056512.0,7343939584.0,9085870080.0,0.0,0.0
0.125,0.125,99.625,0.125,0.0,0.0,564.0,0.0,2890.0,6657.0,8429.0,11494.0,8472178688.0,421056512.0,7343939584.0,9086124032.0,0.0,12288.0
0.313,0.939,98.748,0.0,0.0,0.0,782.0,0.0,2941.0,4251.0,9703.0,70534.0,8472166400.0,421056512.0,7343960064.0,9086115840.0,0.0,0.0
