"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 2vms-r1.router.dstat.csv",,,,"Date:","09 Jun 2014 18:53:18 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.895,0.176,98.843,0.085,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,9978023936.0,56786944.0,1335312384.0,13814693888.0,27930.701,121699.729
0.319,0.192,99.489,0.0,0.0,0.0,490.0,106.0,72512147.0,72484184.0,72512767.0,72484602.0,9978757120.0,56786944.0,1335386112.0,13813886976.0,0.0,0.0
0.318,0.318,99.172,0.127,0.0,0.064,426.0,106.0,123099275.0,123093795.0,123099701.0,123093901.0,9976709120.0,56803328.0,1335386112.0,13815918592.0,16384.0,0.0
0.256,0.128,99.615,0.0,0.0,0.0,512.0,68.0,123414734.0,123423922.0,123415246.0,123424302.0,9976176640.0,56803328.0,1335386112.0,13816451072.0,0.0,0.0
0.383,0.192,99.361,0.0,0.0,0.064,680.0,0.0,123021621.0,123015118.0,123022301.0,123015118.0,9976049664.0,56803328.0,1335386112.0,13816578048.0,0.0,36864.0
0.255,0.064,99.425,0.255,0.0,0.0,448.0,64.0,122892931.0,122901173.0,122893379.0,122901549.0,9975836672.0,56811520.0,1335386112.0,13816782848.0,0.0,53248.0
0.445,0.127,99.427,0.0,0.0,0.0,548.0,212.0,123031902.0,123024970.0,123032580.0,123025182.0,9975525376.0,56811520.0,1335386112.0,13817094144.0,0.0,0.0
0.255,0.191,99.490,0.0,0.0,0.064,512.0,0.0,122837560.0,122840023.0,122838072.0,122840335.0,9975140352.0,56811520.0,1335386112.0,13817479168.0,0.0,4096.0
0.318,0.127,99.554,0.0,0.0,0.0,384.0,0.0,123008715.0,123004117.0,123009099.0,123004117.0,9975140352.0,56811520.0,1335386112.0,13817479168.0,0.0,0.0
0.318,0.064,99.554,0.0,0.0,0.064,618.0,106.0,122872188.0,122874342.0,122872806.0,122874760.0,9974681600.0,56811520.0,1335386112.0,13817937920.0,0.0,0.0
0.255,0.064,99.681,0.0,0.0,0.0,355.0,0.0,123081826.0,123076635.0,123082181.0,123076635.0,9974554624.0,56811520.0,1335386112.0,13818064896.0,0.0,0.0
0.318,0.573,98.791,0.191,0.0,0.127,786.0,174.0,122719803.0,122736699.0,122720719.0,122737185.0,9975484416.0,56819712.0,1335386112.0,13817126912.0,0.0,53248.0
0.320,0.128,99.552,0.0,0.0,0.0,320.0,0.0,123072280.0,123050210.0,123072600.0,123050210.0,9975357440.0,56819712.0,1335386112.0,13817253888.0,0.0,4096.0
0.382,0.127,99.427,0.0,0.0,0.064,568.0,198.0,122708820.0,122724811.0,122709388.0,122725321.0,9975349248.0,56819712.0,1335386112.0,13817262080.0,0.0,0.0
0.255,0.191,99.553,0.0,0.0,0.0,128.0,0.0,123075341.0,123066473.0,123075469.0,123066473.0,9974841344.0,56819712.0,1335386112.0,13817769984.0,0.0,16384.0
0.254,0.063,99.683,0.0,0.0,0.0,512.0,0.0,122618818.0,122617722.0,122619330.0,122618034.0,9974841344.0,56819712.0,1335386112.0,13817769984.0,0.0,0.0
0.500,1.626,97.874,0.0,0.0,0.0,426.0,106.0,23125675.0,23157044.0,23126231.0,23157150.0,9975660544.0,56819712.0,1335386112.0,13816950784.0,0.0,0.0
