"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 2vms-r1.src.dstat.csv",,,,"Date:","09 Jun 2014 18:53:18 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.096,0.054,99.823,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3814416384.0,54640640.0,12643438592.0,8810926080.0,319.774,2776.843
0.628,0.440,98.869,0.0,0.0,0.063,320.0,0.0,23981.0,257443.0,325148.0,87777988.0,3818479616.0,54640640.0,12643459072.0,8806842368.0,0.0,0.0
0.126,0.441,99.433,0.0,0.0,0.0,334.0,92.0,519268.0,120617854.0,912656.0,237702886.0,3818151936.0,54640640.0,12643463168.0,8807165952.0,0.0,0.0
0.189,0.378,99.371,0.0,0.0,0.063,384.0,0.0,533192.0,122646478.0,930896.0,239506362.0,3818434560.0,54640640.0,12643463168.0,8806883328.0,0.0,0.0
0.126,0.378,99.434,0.0,0.0,0.063,606.0,106.0,533568.0,122276622.0,925200.0,239357920.0,3818950656.0,54640640.0,12643467264.0,8806363136.0,0.0,0.0
0.126,0.315,99.559,0.0,0.0,0.0,798.0,106.0,531092.0,123106904.0,927174.0,240032190.0,3818237952.0,54640640.0,12643471360.0,8807071744.0,0.0,0.0
0.189,0.441,99.245,0.063,0.0,0.063,336.0,0.0,533224.0,122294838.0,924590.0,239271080.0,3818168320.0,54648832.0,12643471360.0,8807133184.0,0.0,61440.0
0.189,0.315,99.496,0.0,0.0,0.0,448.0,0.0,529544.0,122478570.0,925356.0,239314298.0,3818094592.0,54648832.0,12643471360.0,8807206912.0,0.0,0.0
0.126,0.378,99.433,0.0,0.0,0.063,490.0,106.0,533110.0,122376810.0,926688.0,239503398.0,3818098688.0,54648832.0,12643471360.0,8807202816.0,0.0,0.0
0.189,0.252,99.559,0.0,0.0,0.0,640.0,68.0,532096.0,122461348.0,929768.0,239425282.0,3818876928.0,54648832.0,12643483648.0,8806412288.0,0.0,0.0
0.189,0.441,99.308,0.0,0.0,0.063,298.0,106.0,536542.0,122501368.0,926410.0,239587274.0,3817902080.0,54648832.0,12643483648.0,8807387136.0,0.0,0.0
0.189,0.378,99.307,0.063,0.0,0.063,628.0,0.0,525242.0,122537654.0,917742.0,239263712.0,3818569728.0,54657024.0,12643483648.0,8806711296.0,0.0,36864.0
0.126,0.567,99.307,0.0,0.0,0.0,542.0,106.0,528682.0,122201010.0,920334.0,239282758.0,3819175936.0,54657024.0,12643487744.0,8806100992.0,0.0,0.0
0.189,0.441,99.308,0.0,0.0,0.063,384.0,0.0,528750.0,122462156.0,921364.0,239128444.0,3819016192.0,54657024.0,12643483648.0,8806264832.0,0.0,0.0
0.126,0.378,99.497,0.0,0.0,0.0,128.0,0.0,529340.0,122317608.0,919074.0,239463850.0,3818848256.0,54657024.0,12643483648.0,8806432768.0,0.0,0.0
0.252,0.378,99.370,0.0,0.0,0.0,618.0,106.0,525974.0,122554352.0,921158.0,239165365.0,3818455040.0,54657024.0,12643483648.0,8806825984.0,0.0,0.0
0.250,0.250,99.249,0.188,0.0,0.063,426.0,106.0,422216.0,96487329.0,-78369695.0,-147962325.0,1793576960.0,54669312.0,12643483648.0,10831691776.0,4096.0,36864.0
