"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o dest.dstat.csv",,,,"Date:","29 May 2014 14:03:30 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.085,0.049,99.836,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1402757120.0,478093312.0,10620850176.0,12821721088.0,254.988,2692.283
2.024,2.087,95.256,0.380,0.0,0.253,436.0,0.0,56990802.0,282804.0,160717376.0,747562.0,1550835712.0,478093312.0,10591793152.0,12702699520.0,0.0,442368.0
1.014,1.267,97.338,0.0,0.0,0.380,170.0,106.0,122012654.0,517874.0,239215170.0,1008348.0,1680093184.0,478093312.0,10591789056.0,12573446144.0,0.0,0.0
0.824,1.141,97.592,0.0,0.0,0.444,554.0,106.0,122555134.0,526932.0,239959822.0,1025188.0,1806032896.0,478093312.0,10591789056.0,12447506432.0,0.0,0.0
0.760,1.394,97.529,0.0,0.0,0.317,64.0,0.0,122633218.0,531868.0,240052148.0,1039030.0,1935953920.0,478093312.0,10591789056.0,12317585408.0,0.0,0.0
0.824,1.331,97.529,0.0,0.0,0.317,384.0,0.0,122588376.0,534754.0,239989578.0,1031674.0,2057703424.0,478093312.0,10591789056.0,12195835904.0,0.0,385024.0
0.761,1.332,97.590,0.0,0.0,0.317,170.0,106.0,122589358.0,531908.0,240032386.0,1038834.0,2178973696.0,478093312.0,10591789056.0,12074565632.0,0.0,0.0
0.761,1.396,97.462,0.063,0.0,0.317,1018.0,68.0,122620042.0,533202.0,240052600.0,1036592.0,2302451712.0,478093312.0,10591789056.0,11951087616.0,0.0,28672.0
0.634,1.332,97.654,0.0,0.063,0.317,612.0,106.0,123086726.0,536286.0,240488184.0,1040488.0,2426019840.0,478093312.0,10591789056.0,11827519488.0,0.0,0.0
0.698,1.395,97.590,0.0,0.0,0.317,192.0,0.0,122612422.0,541826.0,240065202.0,1048526.0,2545684480.0,478093312.0,10591789056.0,11707854848.0,0.0,0.0
0.634,1.458,97.590,0.0,0.0,0.317,752.0,106.0,122628728.0,532260.0,240076112.0,1035850.0,2668929024.0,478093312.0,10591789056.0,11584610304.0,0.0,20480.0
0.572,1.334,97.776,0.0,0.0,0.318,256.0,0.0,122640988.0,528812.0,240107554.0,1025664.0,2788188160.0,478093312.0,10591789056.0,11465351168.0,0.0,0.0
0.697,1.393,97.593,0.0,0.0,0.317,270.0,92.0,122647706.0,527710.0,240109630.0,1028046.0,2907955200.0,478093312.0,10591789056.0,11345584128.0,0.0,0.0
0.762,1.206,97.651,0.127,0.0,0.254,544.0,174.0,122621772.0,532478.0,240059378.0,1033322.0,3029590016.0,478093312.0,10591789056.0,11223949312.0,0.0,16384.0
