"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o router.dstat.csv",,,,"Date:","29 May 2014 14:03:30 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.783,0.178,98.949,0.089,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,10985525248.0,149024768.0,477446144.0,13572820992.0,31055.914,134085.017
5.105,0.191,94.639,0.0,0.0,0.064,256.0,0.0,43095410.0,43062717.0,43095796.0,43062717.0,10985111552.0,149024768.0,477929472.0,13572751360.0,0.0,0.0
2.492,0.383,97.125,0.0,0.0,0.0,234.0,106.0,122472692.0,122475010.0,122472926.0,122475428.0,10983882752.0,149024768.0,477929472.0,13573980160.0,0.0,4096.0
4.525,0.319,95.156,0.0,0.0,0.0,320.0,0.0,123084402.0,123085014.0,123084722.0,123085014.0,10983731200.0,149024768.0,477933568.0,13574127616.0,0.0,0.0
2.875,0.128,96.933,0.0,0.0,0.064,362.0,106.0,123167445.0,123164422.0,123167941.0,123164972.0,10983182336.0,149024768.0,477933568.0,13574676480.0,0.0,0.0
4.409,0.192,95.144,0.256,0.0,0.0,256.0,0.0,123127546.0,123122870.0,123127936.0,123122870.0,10983174144.0,149028864.0,477933568.0,13574680576.0,0.0,225280.0
2.939,0.128,96.933,0.0,0.0,0.0,234.0,106.0,123131694.0,123131446.0,123132058.0,123131864.0,10983043072.0,149028864.0,477933568.0,13574811648.0,0.0,0.0
4.798,0.128,94.818,0.192,0.0,0.064,616.0,0.0,123645327.0,123648968.0,123646817.0,123649952.0,10982801408.0,149028864.0,477933568.0,13575053312.0,0.0,69632.0
3.131,0.128,96.677,0.0,0.0,0.064,582.0,0.0,123120978.0,123120690.0,123121560.0,123121002.0,10982891520.0,149028864.0,477933568.0,13574963200.0,0.0,0.0
3.263,0.128,96.545,0.0,0.0,0.064,560.0,106.0,123164164.0,123159966.0,123164724.0,123160072.0,10982916096.0,149028864.0,477933568.0,13574938624.0,0.0,0.0
4.103,0.128,95.769,0.0,0.0,0.0,490.0,106.0,123165665.0,123163476.0,123166155.0,123163894.0,10982916096.0,149028864.0,477933568.0,13574938624.0,0.0,0.0
1.348,0.128,98.524,0.0,0.0,0.0,518.0,0.0,123162780.0,123164520.0,123163428.0,123164520.0,10982916096.0,149028864.0,477933568.0,13574938624.0,0.0,0.0
4.662,0.192,94.828,0.128,0.0,0.192,128.0,0.0,123175498.0,123172822.0,123175760.0,123173134.0,10982780928.0,149028864.0,477908992.0,13575098368.0,28672.0,270336.0
2.105,0.191,97.321,0.191,0.0,0.191,438.0,0.0,123147457.0,123154262.0,123148029.0,123154394.0,10982748160.0,149028864.0,477933568.0,13575106560.0,0.0,24576.0
4.487,0.128,95.128,0.256,0.0,0.0,594.0,174.0,123179582.0,123171876.0,123180846.0,123173046.0,10982756352.0,149032960.0,477929472.0,13575098368.0,0.0,36864.0
3.310,0.127,96.372,0.0,0.0,0.191,638.0,198.0,123163562.0,123160944.0,123164334.0,123161142.0,10982752256.0,149032960.0,477933568.0,13575098368.0,0.0,0.0
4.673,0.128,95.198,0.0,0.0,0.0,384.0,150.0,123127748.0,123126740.0,123128262.0,123128224.0,10982879232.0,149032960.0,477933568.0,13574971392.0,0.0,0.0
3.059,0.127,96.558,0.0,0.0,0.255,368.0,0.0,123170714.0,123171438.0,123171152.0,123171522.0,10980847616.0,149032960.0,477933568.0,13577003008.0,0.0,16384.0
4.615,0.128,95.128,0.128,0.0,0.0,64.0,0.0,123166688.0,123170226.0,123166752.0,123170538.0,10980700160.0,149041152.0,477929472.0,13577146368.0,0.0,12288.0
3.067,0.128,96.550,0.0,0.0,0.256,468.0,280.0,123646087.0,123642092.0,123646625.0,123642456.0,10980687872.0,149041152.0,477933568.0,13577154560.0,0.0,0.0
