Timestamp,In ,Out
2014-05-29T14:01:30-04:00,10679.995333,52253.04
2014-05-29T14:01:45-04:00,10676.94,53072.71
2014-05-29T14:02:00-04:00,10676.94,53072.71
2014-05-29T14:02:15-04:00,10676.94,53072.71
2014-05-29T14:02:30-04:00,10676.94,53072.71
2014-05-29T14:02:45-04:00,10676.94,53072.71
2014-05-29T14:03:00-04:00,15248.606667,46996.761333
2014-05-29T14:03:15-04:00,15951.94,46062
2014-05-29T14:03:30-04:00,27027.308,3258911
2014-05-29T14:03:45-04:00,29796.15,4062123.25
2014-05-29T14:04:00-04:00,29796.15,4062123.25
2014-05-29T14:04:15-04:00,765383.63,192904456.65
