"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 5vms-r1.src.dstat.csv",,,,"Date:","08 Jun 2014 20:45:00 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.094,0.054,99.825,0.026,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,8125337600.0,36864000.0,12361936896.0,4799283200.0,322.876,2795.775
1.131,0.754,97.989,0.0,0.0,0.126,288.0,0.0,18488.0,19545.0,332444.0,88283508.0,8138567680.0,36864000.0,12361953280.0,4786036736.0,0.0,8192.0
0.885,0.632,98.420,0.0,0.0,0.063,858.0,106.0,521171.0,118084406.0,916298.0,235362722.0,8142716928.0,36864000.0,12361969664.0,4781871104.0,0.0,0.0
0.442,0.632,98.926,0.0,0.0,0.0,426.0,106.0,532956.0,122830795.0,928163.0,240338897.0,8144199680.0,36864000.0,12361965568.0,4780392448.0,0.0,0.0
0.758,0.568,98.611,0.0,0.0,0.063,512.0,68.0,531204.0,122746728.0,925249.0,240166690.0,8144146432.0,36864000.0,12361965568.0,4780445696.0,0.0,0.0
1.011,0.632,98.358,0.0,0.0,0.0,320.0,0.0,526513.0,122776727.0,920318.0,240357099.0,8144932864.0,36864000.0,12361965568.0,4779659264.0,0.0,0.0
0.379,0.379,99.052,0.126,0.0,0.063,798.0,0.0,527864.0,122817795.0,927057.0,240371645.0,8145076224.0,36872192.0,12361965568.0,4779507712.0,0.0,135168.0
0.506,0.695,98.736,0.0,0.0,0.063,650.0,106.0,533524.0,122771927.0,940845.0,240278873.0,8147709952.0,36872192.0,12361965568.0,4776873984.0,0.0,0.0
0.253,0.380,99.367,0.0,0.0,0.0,632.0,198.0,548814.0,122767169.0,960236.0,240213700.0,8146665472.0,36872192.0,12361998336.0,4777885696.0,0.0,0.0
0.316,0.568,99.053,0.0,0.0,0.063,682.0,0.0,553927.0,122718407.0,963378.0,240162221.0,8146534400.0,36872192.0,12361998336.0,4778016768.0,0.0,0.0
0.316,0.505,99.179,0.0,0.0,0.0,384.0,0.0,555592.0,122716823.0,967407.0,240145225.0,8146345984.0,36872192.0,12361998336.0,4778205184.0,0.0,0.0
0.379,0.442,99.052,0.126,0.0,0.0,776.0,106.0,557392.0,122629157.0,975213.0,239893559.0,8145637376.0,36880384.0,12361998336.0,4778905600.0,0.0,36864.0
0.632,0.758,97.979,0.505,0.0,0.126,862.0,0.0,557300.0,122686547.0,838973.0,212915591.0,7882534912.0,36880384.0,12361998336.0,5042008064.0,0.0,0.0
0.253,0.505,99.242,0.0,0.0,0.0,478.0,106.0,560794.0,122690503.0,981541.0,240061793.0,7882551296.0,36880384.0,12361998336.0,5041991680.0,0.0,0.0
0.315,0.568,99.054,0.0,0.0,0.063,850.0,0.0,566284.0,123158561.0,979521.0,240498195.0,7881965568.0,36880384.0,12361998336.0,5042577408.0,0.0,0.0
0.442,0.505,99.053,0.0,0.0,0.0,554.0,106.0,552662.0,122685011.0,967083.0,240034718.0,7882444800.0,36880384.0,12361998336.0,5042098176.0,0.0,0.0
0.253,0.506,99.178,0.063,0.0,0.0,448.0,0.0,558468.0,122667435.0,975913.0,240026645.0,7881469952.0,36888576.0,12361990144.0,5043073024.0,0.0,61440.0
0.505,0.758,98.674,0.0,0.0,0.063,320.0,0.0,562013.0,122652717.0,983346.0,239988215.0,7882813440.0,36888576.0,12361998336.0,5041721344.0,0.0,0.0
0.316,0.442,99.241,0.0,0.0,0.0,776.0,106.0,561358.0,122682029.0,980611.0,239899915.0,7882469376.0,36888576.0,12362014720.0,5042049024.0,0.0,0.0
0.379,0.631,98.991,0.0,0.0,0.0,426.0,106.0,565480.0,122319171.0,977577.0,239181079.0,7881854976.0,36888576.0,12362014720.0,5042663424.0,0.0,0.0
0.315,0.504,99.117,0.0,0.0,0.063,618.0,0.0,546648.0,122502785.0,965697.0,239978825.0,7881764864.0,36888576.0,12362014720.0,5042753536.0,0.0,0.0
0.379,0.506,99.115,0.0,0.0,0.0,372.0,0.0,563504.0,122685541.0,979681.0,240052489.0,7881256960.0,36888576.0,12362014720.0,5043261440.0,0.0,0.0
0.505,0.694,98.675,0.063,0.0,0.063,794.0,0.0,559790.0,122694979.0,976389.0,239968927.0,7882403840.0,36896768.0,12362014720.0,5042106368.0,0.0,36864.0
0.379,0.442,99.117,0.0,0.0,0.063,2018.0,212.0,561028.0,122570217.0,980179.0,239939677.0,7882399744.0,36896768.0,12362027008.0,5042098176.0,0.0,0.0
0.315,0.631,99.054,0.0,0.0,0.0,656.0,0.0,557730.0,122646997.0,976719.0,239968769.0,7882235904.0,36896768.0,12362027008.0,5042262016.0,0.0,0.0
