"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ","in","out","int","csw"
1.139,1.616,97.211,0.032,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,8387457024.0,412016640.0,5164961792.0,11358863360.0,168.220,2240.371,0.0,0.0,848.580,755.358
0.250,0.125,99.562,0.063,0.0,0.0,64.0,0.0,2591.0,6317.0,10486.0,14503.0,8387457024.0,412016640.0,5164961792.0,11358863360.0,0.0,102400.0,0.0,0.0,841.0,1406.0
0.188,0.188,99.625,0.0,0.0,0.0,362.0,106.0,7708.0,73694.0,16031.0,141937.0,8387198976.0,412016640.0,5164965888.0,11359117312.0,0.0,0.0,0.0,0.0,766.0,1261.0
0.500,0.375,99.062,0.0,0.0,0.062,308.0,0.0,3418.0,6891.0,9468.0,45628.0,8390000640.0,412016640.0,5164978176.0,11356303360.0,0.0,0.0,0.0,0.0,1796.0,2732.0
0.188,0.063,99.749,0.0,0.0,0.0,372.0,0.0,4897.0,57240.0,12381.0,193784.0,8391495680.0,412016640.0,5164974080.0,11354812416.0,0.0,0.0,0.0,0.0,773.0,1333.0
0.125,0.125,99.750,0.0,0.0,0.0,538.0,174.0,3803.0,162518.0,9820.0,381051.0,8392081408.0,412016640.0,5164961792.0,11354238976.0,0.0,0.0,0.0,0.0,697.0,1208.0
0.188,0.188,99.625,0.0,0.0,0.0,170.0,106.0,3740.0,284541.0,10352.0,628372.0,8391888896.0,412016640.0,5164961792.0,11354431488.0,0.0,53248.0,0.0,0.0,783.0,1334.0
0.188,0.125,99.375,0.313,0.0,0.0,278.0,0.0,4713.0,329286.0,11963.0,778379.0,8391512064.0,412016640.0,5164961792.0,11354808320.0,0.0,77824.0,0.0,0.0,782.0,1339.0
0.313,0.438,99.249,0.0,0.0,0.0,398.0,0.0,5316.0,677164.0,41493.0,1492038.0,8393842688.0,412016640.0,5165031424.0,11352408064.0,0.0,0.0,0.0,0.0,1738.0,2401.0
