"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
1.139,1.615,97.213,0.032,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,6397366272.0,412123136.0,5178785792.0,13335023616.0,168.109,2321.007
0.063,0.063,99.875,0.0,0.0,0.0,350.0,106.0,2340.0,4726.0,7743.0,10881.0,6397509632.0,412123136.0,5178785792.0,13334880256.0,0.0,0.0
0.188,0.188,99.625,0.0,0.0,0.0,234.0,106.0,4041.0,4805.0,10755.0,10889.0,6397632512.0,412123136.0,5178785792.0,13334757376.0,0.0,28672.0
0.313,0.250,99.374,0.063,0.0,0.0,342.0,0.0,4093.0,6398.0,9769.0,43245.0,6398849024.0,412123136.0,5178785792.0,13333540864.0,0.0,65536.0
0.063,0.125,99.812,0.0,0.0,0.0,64.0,0.0,4578.0,54801.0,10561.0,203411.0,6399586304.0,412123136.0,5178785792.0,13332803584.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,192.0,0.0,4410.0,136738.0,35018.0,367308.0,6400286720.0,412123136.0,5178785792.0,13332103168.0,0.0,0.0
0.313,0.188,99.499,0.0,0.0,0.0,574.0,212.0,6491.0,327943.0,13187.0,776347.0,6404038656.0,412123136.0,5178785792.0,13328351232.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,308.0,0.0,5572.0,425780.0,12188.0,1207992.0,6403809280.0,412123136.0,5178781696.0,13328584704.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,308.0,0.0,5572.0,944180.0,14504.0,2177290.0,6404972544.0,412123136.0,5178798080.0,13327405056.0,0.0,28672.0
0.125,1.439,98.310,0.125,0.0,0.0,320.0,0.0,7930.0,1212426.0,17230.0,2944060.0,6405603328.0,412123136.0,5178798080.0,13326774272.0,0.0,61440.0
0.125,5.691,94.184,0.0,0.0,0.0,440.0,106.0,9742.0,2079408.0,25074.0,5156960.0,6405836800.0,412123136.0,5178798080.0,13326540800.0,0.0,0.0
0.125,5.812,94.0,0.0,0.0,0.062,416.0,198.0,16044.0,3083260.0,34688.0,7524898.0,6408392704.0,412123136.0,5178798080.0,13323984896.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,128.0,0.0,24232.0,5263822.0,49850.0,12637394.0,6410883072.0,412123136.0,5178798080.0,13321494528.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,192.0,0.0,30722.0,7381298.0,64650.0,17168860.0,6410665984.0,412123136.0,5178810368.0,13321699328.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,180.0,0.0,47194.0,11410696.0,98818.0,26545962.0,6412578816.0,412123136.0,5178810368.0,13319786496.0,0.0,28672.0
