"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 3vms-r1.dest.dstat.csv",,,,"Date:","29 May 2014 16:31:17 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.085,0.049,99.836,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1403224064.0,478093312.0,10610880512.0,12831223808.0,254.734,2690.433
0.312,0.062,99.438,0.187,0.0,0.0,384.0,68.0,98472.0,5932.0,238085.0,9505.0,1410347008.0,478093312.0,10610544640.0,12824436736.0,0.0,61440.0
0.063,0.0,99.937,0.0,0.0,0.0,414.0,106.0,145407.0,3417.0,313249.0,5921.0,1410514944.0,478093312.0,10610548736.0,12824264704.0,0.0,0.0
0.438,0.313,99.061,0.188,0.0,0.0,436.0,0.0,175376.0,2928.0,577208.0,9188.0,1422565376.0,478093312.0,10600624128.0,12822138880.0,0.0,45056.0
0.063,0.063,99.875,0.0,0.0,0.0,712.0,106.0,469052.0,6298.0,966767.0,11317.0,1425362944.0,478093312.0,10600710144.0,12819255296.0,0.0,32768.0
0.0,0.0,99.875,0.125,0.0,0.0,320.0,0.0,503315.0,5161.0,1385711.0,10273.0,1424924672.0,478093312.0,10600710144.0,12819693568.0,0.0,49152.0
0.438,0.375,99.124,0.0,0.0,0.063,64.0,0.0,886114.0,5292.0,2213642.0,14582.0,1440731136.0,478093312.0,10592272384.0,12812324864.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,656.0,106.0,1386550.0,9640.0,3441290.0,18074.0,1440456704.0,478093312.0,10592428032.0,12812443648.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,298.0,106.0,2145004.0,8824.0,5204464.0,22670.0,1446748160.0,478093312.0,10592428032.0,12806152192.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,372.0,0.0,3194542.0,14628.0,8500560.0,38004.0,1448087552.0,478093312.0,10592428032.0,12804812800.0,0.0,28672.0
0.0,0.125,99.875,0.0,0.0,0.0,180.0,0.0,5643254.0,25344.0,13196140.0,57696.0,1455968256.0,478093312.0,10592428032.0,12796932096.0,0.0,0.0
0.125,0.125,99.625,0.125,0.0,0.0,666.0,0.0,7788054.0,33808.0,20082228.0,86666.0,1468542976.0,478093312.0,10592428032.0,12784357376.0,0.0,36864.0
0.188,0.188,99.562,0.0,0.0,0.063,942.0,212.0,12842568.0,56068.0,29453342.0,126120.0,1488945152.0,478093312.0,10592428032.0,12763955200.0,0.0,0.0
0.251,0.313,99.436,0.0,0.0,0.0,416.0,0.0,17351232.0,74128.0,41490235.0,170104.0,1517318144.0,478093312.0,10592428032.0,12735582208.0,0.0,0.0
0.188,0.314,99.435,0.0,0.0,0.063,554.0,0.0,25213865.0,101784.0,55438032.0,232542.0,1550643200.0,478093312.0,10592428032.0,12702257152.0,0.0,28672.0
0.252,0.377,99.371,0.0,0.0,0.0,534.0,0.0,31843869.0,139998.0,70850847.0,305598.0,1589874688.0,478093312.0,10592428032.0,12663025664.0,0.0,0.0
0.377,0.440,99.058,0.0,0.0,0.126,556.0,198.0,40474846.0,174364.0,82572143.0,345810.0,1636360192.0,478093312.0,10592428032.0,12616540160.0,0.0,0.0
0.251,0.565,98.995,0.126,0.0,0.063,606.0,106.0,44029287.0,181890.0,89788663.0,369216.0,1688195072.0,478093312.0,10592428032.0,12564705280.0,0.0,16384.0
0.315,0.441,99.244,0.0,0.0,0.0,538.0,0.0,49109644.0,203806.0,97633352.0,396076.0,1739034624.0,478093312.0,10592428032.0,12513865728.0,0.0,0.0
0.252,0.503,99.182,0.0,0.0,0.063,256.0,0.0,49739246.0,200058.0,98702322.0,401370.0,1789366272.0,478093312.0,10592428032.0,12463534080.0,0.0,0.0
0.314,0.629,98.994,0.0,0.0,0.063,846.0,0.0,51649212.0,215674.0,100863987.0,418438.0,1839501312.0,478093312.0,10592428032.0,12413399040.0,0.0,8192.0
0.314,0.503,99.120,0.0,0.0,0.063,688.0,106.0,51713493.0,216228.0,100295816.0,417448.0,1891667968.0,478093312.0,10592428032.0,12361232384.0,0.0,0.0
0.314,0.629,99.057,0.0,0.0,0.0,170.0,106.0,50730614.0,213364.0,101949185.0,427388.0,1946202112.0,478093312.0,10592428032.0,12306698240.0,0.0,0.0
0.314,0.565,98.932,0.126,0.0,0.063,308.0,0.0,52338664.0,222038.0,101173854.0,425528.0,1996042240.0,478093312.0,10592428032.0,12256858112.0,0.0,16384.0
0.252,0.566,99.119,0.0,0.0,0.063,478.0,106.0,51016336.0,215814.0,103034891.0,432214.0,2050502656.0,478093312.0,10592428032.0,12202397696.0,0.0,0.0
0.252,0.503,99.245,0.0,0.0,0.0,746.0,0.0,54340961.0,229458.0,103177102.0,433688.0,2102804480.0,478093312.0,10592428032.0,12150095872.0,0.0,0.0
0.314,0.503,99.119,0.0,0.0,0.063,474.0,0.0,51016839.0,216594.0,102736762.0,432690.0,2157109248.0,478093312.0,10592432128.0,12095787008.0,0.0,16384.0
0.377,0.440,99.120,0.0,0.0,0.063,554.0,174.0,54195839.0,229948.0,102781016.0,432250.0,2207277056.0,478093312.0,10592432128.0,12045619200.0,0.0,0.0
0.314,0.565,99.058,0.0,0.0,0.063,298.0,106.0,51051049.0,215628.0,101910455.0,428332.0,2259824640.0,478093312.0,10592432128.0,11993071616.0,0.0,0.0
0.251,0.566,98.994,0.126,0.0,0.063,256.0,0.0,52999208.0,224768.0,101951585.0,428192.0,2310057984.0,478093312.0,10592432128.0,11942838272.0,0.0,20480.0
0.252,0.566,99.119,0.0,0.0,0.063,484.0,0.0,51299493.0,216514.0,101629238.0,426604.0,2363883520.0,478093312.0,10592432128.0,11889012736.0,0.0,0.0
0.252,0.629,99.119,0.0,0.0,0.0,372.0,0.0,53266861.0,225608.0,103458787.0,434906.0,2418663424.0,478093312.0,10592432128.0,11834232832.0,0.0,0.0
0.377,0.503,99.058,0.0,0.0,0.063,404.0,212.0,51931950.0,220294.0,102046443.0,429912.0,2468872192.0,478093312.0,10592432128.0,11784024064.0,0.0,16384.0
0.252,0.566,99.119,0.0,0.0,0.063,320.0,0.0,51884761.0,220072.0,102767564.0,431746.0,2523525120.0,478093312.0,10592432128.0,11729371136.0,0.0,0.0
0.314,0.565,99.058,0.0,0.0,0.063,128.0,0.0,53003825.0,223864.0,102570899.0,430588.0,2573729792.0,478093312.0,10592432128.0,11679166464.0,0.0,0.0
0.314,0.629,98.994,0.063,0.0,0.0,256.0,0.0,52756204.0,223508.0,105256250.0,442626.0,2630234112.0,478093312.0,10592432128.0,11622662144.0,0.0,20480.0
0.314,0.565,99.058,0.0,0.0,0.063,376.0,198.0,53799622.0,227890.0,103055244.0,432964.0,2680819712.0,478093312.0,10592432128.0,11572076544.0,0.0,0.0
0.314,0.503,99.119,0.0,0.0,0.063,478.0,106.0,51455224.0,217348.0,102758324.0,430844.0,2733080576.0,478093312.0,10592432128.0,11519815680.0,0.0,12288.0
0.314,0.503,99.182,0.0,0.0,0.0,244.0,0.0,54475760.0,229954.0,103451487.0,434500.0,2783412224.0,478093312.0,10592432128.0,11469484032.0,0.0,0.0
0.251,0.628,99.058,0.0,0.0,0.063,256.0,0.0,51112193.0,216928.0,102453968.0,430648.0,2837938176.0,478093312.0,10592432128.0,11414958080.0,0.0,0.0
0.314,0.629,98.994,0.0,0.0,0.063,362.0,106.0,53585425.0,226734.0,103526963.0,435392.0,2888220672.0,478093312.0,10592432128.0,11364675584.0,0.0,0.0
0.314,0.565,98.932,0.188,0.0,0.0,502.0,68.0,51386958.0,217622.0,101184985.0,425668.0,2940649472.0,478093312.0,10592432128.0,11312246784.0,0.0,16384.0
0.314,0.691,98.933,0.0,0.0,0.063,644.0,106.0,52997505.0,224704.0,104315910.0,439982.0,2995302400.0,478093312.0,10592432128.0,11257593856.0,0.0,8192.0
0.252,0.566,99.182,0.0,0.0,0.0,472.0,0.0,52856741.0,225188.0,102306803.0,431558.0,3043536896.0,478093312.0,10592432128.0,11209359360.0,0.0,0.0
0.314,0.440,99.182,0.0,0.0,0.063,388.0,0.0,51431442.0,217838.0,102016512.0,428324.0,3098095616.0,478093312.0,10592432128.0,11154800640.0,0.0,0.0
0.189,0.566,99.182,0.0,0.0,0.063,628.0,106.0,53397339.0,225608.0,102975486.0,432306.0,3146211328.0,478093312.0,10592432128.0,11106684928.0,0.0,0.0
0.377,0.565,98.995,0.0,0.0,0.063,64.0,0.0,52198074.0,221134.0,103670785.0,436900.0,3200958464.0,478093312.0,10592432128.0,11051937792.0,0.0,0.0
0.251,0.628,98.932,0.126,0.0,0.063,362.0,106.0,52808799.0,224558.0,101849264.0,428484.0,3249192960.0,478093312.0,10592432128.0,11003703296.0,0.0,12288.0
0.314,0.565,99.058,0.0,0.0,0.063,298.0,106.0,51231169.0,216164.0,102265142.0,429198.0,3305943040.0,478093312.0,10592432128.0,10946953216.0,0.0,4096.0
0.314,0.503,99.120,0.0,0.0,0.063,192.0,0.0,54168793.0,229318.0,103853898.0,437362.0,3354161152.0,478093312.0,10592432128.0,10898735104.0,0.0,0.0
