"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 3vms-r1.src.dstat.csv",,,,"Date:","29 May 2014 16:31:14 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
1.103,1.568,97.297,0.031,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,10906636288.0,413663232.0,5264756736.0,8738242560.0,167.894,3054.560
0.188,0.250,99.562,0.0,0.0,0.0,602.0,174.0,6928.0,7174.0,20009.0,21093.0,10906927104.0,413663232.0,5264777216.0,8737931264.0,0.0,0.0
0.313,0.125,99.562,0.0,0.0,0.0,298.0,106.0,7642.0,6378.0,21142.0,26812.0,10907168768.0,413663232.0,5264781312.0,8737685504.0,0.0,0.0
0.438,0.250,99.249,0.063,0.0,0.0,320.0,0.0,4330.0,3988.0,15018.0,61228.0,10908401664.0,413663232.0,5264797696.0,8736436224.0,0.0,53248.0
0.188,0.188,99.624,0.0,0.0,0.0,372.0,0.0,4391.0,93663.0,14353.0,219513.0,10908962816.0,413663232.0,5264797696.0,8735875072.0,0.0,0.0
0.250,0.125,99.625,0.0,0.0,0.0,308.0,0.0,3386.0,153282.0,13252.0,420844.0,10909360128.0,413663232.0,5264797696.0,8735477760.0,0.0,0.0
0.376,0.188,99.436,0.0,0.0,0.0,818.0,212.0,3820.0,303904.0,15306.0,697642.0,10911371264.0,413663232.0,5264797696.0,8733466624.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,320.0,0.0,4923.0,502929.0,15860.0,1319144.0,10912280576.0,413663232.0,5264797696.0,8732557312.0,0.0,0.0
0.313,0.438,99.124,0.063,0.0,0.063,192.0,0.0,9234.0,1001506.0,23604.0,1979614.0,10914787328.0,413663232.0,5264818176.0,8730030080.0,0.0,45056.0
0.313,0.188,99.499,0.0,0.0,0.0,192.0,0.0,6822.0,1225532.0,19842.0,3038410.0,10916429824.0,413663232.0,5264826368.0,8728379392.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,528.0,106.0,8828.0,2177016.0,23287.0,4762859.0,10917208064.0,413663232.0,5264826368.0,8727601152.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,478.0,106.0,14166.0,3162198.0,37606.0,7685338.0,10918191104.0,413663232.0,5264826368.0,8726618112.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,308.0,0.0,24242.0,5642610.0,76952.0,12048369.0,10919088128.0,413663232.0,5264826368.0,8725721088.0,0.0,0.0
0.251,0.313,99.311,0.125,0.0,0.0,538.0,0.0,34330.0,7812347.0,74782.0,18387629.0,10921943040.0,413663232.0,5264826368.0,8722866176.0,0.0,45056.0
0.251,0.251,99.436,0.0,0.0,0.063,730.0,0.0,53080.0,12843248.0,109490.0,27363687.0,10924077056.0,413663232.0,5264826368.0,8720732160.0,0.0,0.0
0.376,0.251,99.373,0.0,0.0,0.0,600.0,198.0,73978.0,17418553.0,152063.0,40051278.0,10926350336.0,413663232.0,5264842752.0,8718442496.0,0.0,0.0
0.314,0.251,99.435,0.0,0.0,0.0,788.0,106.0,101962.0,25213459.0,195134.0,52579898.0,10929119232.0,413663232.0,5264842752.0,8715673600.0,0.0,0.0
0.377,0.314,99.309,0.0,0.0,0.0,342.0,0.0,132172.0,32048765.0,264894.0,68050445.0,10927460352.0,413663232.0,5264855040.0,8717320192.0,0.0,0.0
0.314,0.377,99.246,0.0,0.0,0.063,436.0,0.0,171866.0,40594462.0,307336.0,80943022.0,10929360896.0,413663232.0,5264855040.0,8715419648.0,0.0,45056.0
0.189,0.314,99.497,0.0,0.0,0.0,542.0,106.0,179940.0,43766511.0,335909.0,90279493.0,10929324032.0,413663232.0,5264855040.0,8715456512.0,0.0,0.0
0.377,0.188,99.435,0.0,0.0,0.0,666.0,0.0,205740.0,50236722.0,361027.0,97332592.0,10928881664.0,413663232.0,5264875520.0,8715878400.0,0.0,0.0
0.251,0.251,99.435,0.0,0.0,0.063,234.0,106.0,201072.0,49799580.0,371545.0,100893973.0,10928689152.0,413663232.0,5264875520.0,8716070912.0,0.0,0.0
0.251,0.251,99.497,0.0,0.0,0.0,606.0,0.0,222886.0,53558712.0,388349.0,101733651.0,10928074752.0,413663232.0,5264887808.0,8716673024.0,0.0,0.0
0.314,0.440,99.058,0.126,0.0,0.063,928.0,106.0,214038.0,50536463.0,390653.0,101533996.0,10929500160.0,413663232.0,5264887808.0,8715247616.0,0.0,45056.0
0.251,0.377,99.372,0.0,0.0,0.0,256.0,0.0,220712.0,52157710.0,385757.0,100311518.0,10930008064.0,413663232.0,5264887808.0,8714739712.0,0.0,0.0
0.189,0.251,99.560,0.0,0.0,0.0,180.0,0.0,214798.0,50704708.0,386482.0,100940231.0,10928971776.0,413663232.0,5264887808.0,8715776000.0,0.0,0.0
0.314,0.251,99.373,0.0,0.0,0.063,584.0,212.0,223314.0,52560654.0,392816.0,101793407.0,10928529408.0,413663232.0,5264891904.0,8716214272.0,0.0,0.0
0.314,0.252,99.434,0.0,0.0,0.0,682.0,0.0,220586.0,52192953.0,394448.0,101575859.0,10929397760.0,413663232.0,5264891904.0,8715345920.0,0.0,28672.0
0.314,0.377,99.183,0.063,0.0,0.063,602.0,0.0,221025.0,51630685.0,417801.0,101687446.0,10931187712.0,413663232.0,5264891904.0,8713555968.0,0.0,45056.0
0.251,0.314,99.435,0.0,0.0,0.0,192.0,0.0,223128.0,52611354.0,396236.0,102251793.0,10929741824.0,413663232.0,5264908288.0,8714985472.0,0.0,0.0
0.251,0.251,99.435,0.0,0.0,0.063,426.0,106.0,221216.0,51466838.0,393831.0,101996630.0,10928939008.0,413663232.0,5264924672.0,8715771904.0,0.0,0.0
0.251,0.251,99.497,0.0,0.0,0.0,362.0,174.0,227586.0,53878045.0,394529.0,102681124.0,10929885184.0,413663232.0,5264924672.0,8714825728.0,0.0,0.0
0.251,0.251,99.497,0.0,0.0,0.0,612.0,0.0,216740.0,51240391.0,397663.0,103324671.0,10928533504.0,413663232.0,5264924672.0,8716177408.0,0.0,32768.0
0.314,0.251,99.434,0.0,0.0,0.0,244.0,0.0,233502.0,54681243.0,402216.0,103707200.0,10928402432.0,413663232.0,5264924672.0,8716308480.0,0.0,0.0
0.376,0.439,98.996,0.125,0.0,0.063,426.0,106.0,217486.0,50998556.0,395876.0,102947888.0,10930597888.0,413663232.0,5264924672.0,8714113024.0,0.0,65536.0
0.251,0.314,99.372,0.0,0.0,0.063,270.0,92.0,227662.0,53369013.0,397265.0,102188213.0,10930196480.0,413663232.0,5264924672.0,8714514432.0,0.0,0.0
0.189,0.251,99.560,0.0,0.0,0.0,426.0,106.0,217584.0,51524997.0,392174.0,102490713.0,10930819072.0,413663232.0,5264924672.0,8713891840.0,0.0,0.0
