"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
1.136,1.612,97.218,0.032,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,2347446272.0,412139520.0,5157838848.0,17405874176.0,167.769,2346.377
0.250,0.125,99.562,0.062,0.0,0.0,426.0,106.0,215162.0,19149.0,372679.0,36556.0,2358878208.0,412139520.0,5157851136.0,17394429952.0,0.0,86016.0
0.063,0.063,99.875,0.0,0.0,0.0,308.0,0.0,150699.0,4010.0,328881.0,8368.0,2359332864.0,412139520.0,5157863424.0,17393963008.0,0.0,0.0
0.501,0.501,98.810,0.188,0.0,0.0,372.0,0.0,227376.0,3436.0,648052.0,12682.0,2374221824.0,412139520.0,5070258176.0,17466679296.0,0.0,106496.0
0.125,0.125,99.750,0.0,0.0,0.0,128.0,0.0,625749.0,87166.0,1199138.0,170992.0,2375569408.0,412139520.0,5070471168.0,17465118720.0,0.0,0.0
0.063,0.063,99.750,0.125,0.0,0.0,468.0,212.0,736454.0,5882.0,1667134.0,12920.0,2375503872.0,412139520.0,5070471168.0,17465184256.0,0.0,45056.0
0.439,0.501,98.308,0.752,0.0,0.0,1140.0,0.0,1390990.0,13154.0,2823081.0,47531.0,2396106752.0,412139520.0,4971667456.0,17543385088.0,0.0,131072.0
0.125,0.063,99.750,0.0,0.0,0.063,320.0,0.0,1866023.0,30375.0,4378849.0,45329.0,2398289920.0,412139520.0,4971671552.0,17541197824.0,0.0,0.0
0.439,0.439,99.060,0.063,0.0,0.0,496.0,0.0,3318076.0,16428.0,6841466.0,40418.0,2414342144.0,412139520.0,4880252928.0,17616564224.0,0.0,0.0
0.188,0.125,99.499,0.188,0.0,0.0,606.0,106.0,4869430.0,41536.0,11208564.0,89346.0,2424348672.0,412139520.0,4879556608.0,17607254016.0,0.0,57344.0
0.063,0.188,99.687,0.0,0.0,0.063,414.0,106.0,8432676.0,44438.0,17311466.0,90596.0,2432864256.0,412139520.0,4879556608.0,17598738432.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,384.0,0.0,11395232.0,54442.0,25625684.0,117654.0,2453458944.0,412139520.0,4879556608.0,17578143744.0,0.0,0.0
0.188,0.251,99.561,0.0,0.0,0.0,384.0,0.0,17954122.0,76778.0,36078446.0,156286.0,2473422848.0,412139520.0,4879556608.0,17558179840.0,0.0,0.0
0.251,0.251,99.435,0.0,0.0,0.063,320.0,0.0,21232755.0,83422.0,45453296.0,178680.0,2499956736.0,412139520.0,4879560704.0,17531641856.0,0.0,0.0
0.188,0.376,99.247,0.125,0.0,0.063,378.0,106.0,29652095.0,152514.0,58826131.0,276562.0,2535718912.0,412139520.0,4879560704.0,17495879680.0,0.0,20480.0
0.189,0.566,99.245,0.0,0.0,0.0,298.0,106.0,34221567.0,142152.0,70663580.0,295374.0,2581094400.0,412139520.0,4879560704.0,17450504192.0,0.0,0.0
0.439,0.565,98.933,0.0,0.0,0.063,340.0,0.0,41584785.0,169948.0,83454153.0,336796.0,2630209536.0,412139520.0,4879413248.0,17401536512.0,0.0,40960.0
0.314,0.629,98.931,0.0,0.0,0.126,308.0,0.0,46773547.0,191992.0,91737824.0,373116.0,2677805056.0,412139520.0,4879413248.0,17353940992.0,0.0,0.0
0.378,0.630,98.929,0.0,0.0,0.063,234.0,106.0,52863684.0,212928.0,105471199.0,423508.0,2731925504.0,412139520.0,4879429632.0,17299804160.0,0.0,0.0
0.504,0.631,98.739,0.0,0.0,0.126,128.0,0.0,57510660.0,237108.0,114372958.0,536685.0,2795372544.0,412139520.0,4879429632.0,17236357120.0,0.0,0.0
0.442,0.820,98.549,0.126,0.0,0.063,376.0,198.0,63193225.0,327699.0,126974063.0,590381.0,2872205312.0,412139520.0,4879429632.0,17159524352.0,0.0,32768.0
0.505,1.136,98.297,0.0,0.0,0.063,448.0,106.0,68994832.0,288220.0,135701470.0,562130.0,2945036288.0,412139520.0,4879429632.0,17086693376.0,0.0,24576.0
0.442,0.758,98.737,0.0,0.0,0.063,602.0,0.0,67143002.0,275998.0,133846854.0,545146.0,3018309632.0,412139520.0,4879429632.0,17013420032.0,0.0,0.0
0.567,0.819,98.488,0.0,0.0,0.126,606.0,0.0,70929594.0,291252.0,137550197.0,563130.0,3087032320.0,412139520.0,4879429632.0,16944697344.0,0.0,0.0
0.441,0.883,98.676,0.0,0.0,0.0,244.0,0.0,67114173.0,276884.0,132566313.0,538962.0,3155984384.0,412139520.0,4879429632.0,16875745280.0,0.0,0.0
0.378,0.882,98.677,0.0,0.0,0.063,532.0,212.0,71257013.0,283482.0,139080558.0,551006.0,3227127808.0,412139520.0,4879429632.0,16804601856.0,0.0,0.0
0.441,0.819,98.552,0.126,0.0,0.063,192.0,0.0,69993154.0,277398.0,135643971.0,533874.0,3291881472.0,412139520.0,4879433728.0,16739844096.0,0.0,16384.0
0.378,0.883,98.676,0.0,0.0,0.063,304.0,0.0,70577226.0,279912.0,138574917.0,547556.0,3365044224.0,412139520.0,4879433728.0,16666681344.0,0.0,16384.0
0.378,0.819,98.740,0.0,0.0,0.063,256.0,0.0,70602883.0,278028.0,136084479.0,533186.0,3440660480.0,412139520.0,4879433728.0,16591065088.0,0.0,0.0
0.442,0.758,98.737,0.0,0.0,0.063,234.0,106.0,68739521.0,271992.0,137907259.0,549282.0,3511721984.0,412139520.0,4879433728.0,16520003584.0,0.0,0.0
0.315,0.945,98.677,0.0,0.0,0.063,542.0,106.0,70527713.0,304166.0,135280127.0,559528.0,3578826752.0,412139520.0,4879433728.0,16452898816.0,0.0,0.0
0.379,0.820,98.801,0.0,0.0,0.0,180.0,0.0,68679080.0,271092.0,136710400.0,537280.0,3652239360.0,412139520.0,4879433728.0,16379486208.0,0.0,0.0
