"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/migration/log/idle/cluster/precopy/speed125/vcpu2/0.4ms/5vms-r1.src.dstat.csv",,,,"Date:","08 Jun 2014 22:10:47 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.977,1.413,97.580,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,10292707328.0,421097472.0,6954606592.0,7654887424.0,161.010,3395.523
0.250,0.188,99.562,0.0,0.0,0.0,1326.0,106.0,7065.0,6324.0,23776.0,28847.0,10292961280.0,421097472.0,6954577920.0,7654662144.0,0.0,0.0
0.250,0.125,99.624,0.0,0.0,0.0,320.0,0.0,9318.0,5956.0,20538.0,17918.0,10292707328.0,421097472.0,6954577920.0,7654916096.0,0.0,4096.0
0.375,0.313,99.312,0.0,0.0,0.0,794.0,0.0,4096.0,5100.0,14369.0,61835.0,10293530624.0,421097472.0,6954582016.0,7654088704.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,828.0,106.0,4936.0,72183.0,16011.0,205474.0,10294284288.0,421097472.0,6954594304.0,7653322752.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,734.0,106.0,71858.0,174758.0,147039.0,388495.0,10294497280.0,421097472.0,6954668032.0,7653036032.0,0.0,0.0
0.313,0.313,99.250,0.063,0.0,0.063,384.0,0.0,3232.0,221558.0,19330.0,895468.0,10296475648.0,421097472.0,6954663936.0,7651061760.0,0.0,65536.0
0.251,0.063,99.687,0.0,0.0,0.0,794.0,0.0,12919.0,786171.0,26166.0,1474920.0,10297208832.0,421097472.0,6954663936.0,7650328576.0,0.0,0.0
0.313,0.376,99.311,0.0,0.0,0.0,448.0,0.0,6148.0,754548.0,18697.0,1734669.0,10298384384.0,421097472.0,6954668032.0,7649148928.0,0.0,0.0
0.501,0.313,99.185,0.0,0.0,0.0,852.0,212.0,7693.0,1252983.0,24782.0,2965104.0,10300305408.0,421097472.0,6954680320.0,7647215616.0,0.0,0.0
0.313,0.188,99.436,0.0,0.0,0.063,320.0,0.0,13210.0,1839970.0,33010.0,4379646.0,10304098304.0,421097472.0,6954680320.0,7643422720.0,0.0,32768.0
0.501,0.313,99.123,0.063,0.0,0.0,500.0,0.0,15506.0,3280270.0,39324.0,7652990.0,10307158016.0,421097472.0,6954680320.0,7640363008.0,0.0,57344.0
0.188,0.125,99.687,0.0,0.0,0.0,564.0,0.0,24001.0,4662337.0,52693.0,10808947.0,10308276224.0,421097472.0,6954680320.0,7639244800.0,0.0,0.0
0.376,0.251,99.373,0.0,0.0,0.0,554.0,106.0,34368.0,7990458.0,76526.0,18282974.0,10311954432.0,421097472.0,6954680320.0,7635566592.0,0.0,0.0
0.439,0.376,99.122,0.0,0.0,0.063,298.0,106.0,50466.0,11619030.0,105915.0,26713485.0,10314366976.0,421097472.0,6954692608.0,7633141760.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,1034.0,0.0,68582.0,17329698.0,137209.0,38480443.0,10316292096.0,421097472.0,6954700800.0,7631208448.0,0.0,0.0
0.376,0.251,99.373,0.0,0.0,0.0,362.0,106.0,97256.0,25311266.0,198233.0,55315049.0,10317168640.0,421097472.0,6954704896.0,7630327808.0,0.0,32768.0
0.251,0.502,99.122,0.125,0.0,0.0,576.0,0.0,126444.0,32105631.0,244805.0,68355948.0,10318487552.0,421097472.0,6954704896.0,7629008896.0,0.0,57344.0
0.314,1.569,98.054,0.0,0.0,0.063,388.0,68.0,161961.0,40233353.0,294959.0,81516537.0,10319986688.0,421097472.0,6954704896.0,7627509760.0,0.0,0.0
0.377,2.954,96.669,0.0,0.0,0.0,930.0,198.0,180772.0,45144919.0,346091.0,92643917.0,10323107840.0,421097472.0,6954704896.0,7624388608.0,0.0,0.0
0.251,0.251,99.435,0.0,0.0,0.063,904.0,106.0,207890.0,49651357.0,380345.0,101173374.0,10323402752.0,421097472.0,6954704896.0,7624093696.0,0.0,0.0
0.377,0.377,99.246,0.0,0.0,0.0,512.0,0.0,238435.0,58115292.0,438065.0,117768094.0,10324860928.0,421097472.0,6954721280.0,7622619136.0,0.0,32768.0
