"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/migration/log/idle/cluster/precopy/speed125/vcpu2/0.4ms/6vms-r1.src.dstat.csv",,,,"Date:","07 Jun 2014 22:43:50 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.988,1.426,97.555,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,8473632768.0,421060608.0,7344676864.0,9083928576.0,162.875,3398.518
2.652,4.798,92.172,0.0,0.0,0.379,856.0,212.0,16961.0,39092.0,30703.0,76388.0,8483864576.0,421060608.0,7344730112.0,9073643520.0,0.0,0.0
2.720,5.187,91.714,0.0,0.0,0.380,384.0,68.0,6107.0,14755.0,13897.0,32082.0,8485048320.0,421060608.0,7344717824.0,9072472064.0,0.0,0.0
2.776,5.300,91.420,0.0,0.0,0.505,1460.0,0.0,5277.0,12733.0,13624.0,24648.0,8487182336.0,421060608.0,7344705536.0,9070350336.0,0.0,0.0
2.783,5.503,91.335,0.0,0.0,0.380,512.0,0.0,5796.0,14201.0,14360.0,33147.0,8486965248.0,421060608.0,7344713728.0,9070559232.0,0.0,0.0
2.718,5.373,91.466,0.190,0.0,0.253,490.0,106.0,4405.0,13665.0,10315.0,24424.0,8488239104.0,421060608.0,7344713728.0,9069285376.0,0.0,61440.0
2.839,5.363,91.420,0.0,0.0,0.379,298.0,106.0,4559.0,12575.0,12714.0,25669.0,8488828928.0,421060608.0,7344717824.0,9068691456.0,0.0,0.0
2.718,5.373,91.466,0.0,0.0,0.442,500.0,0.0,3993.0,14679.0,13492.0,43743.0,8488566784.0,421060608.0,7344721920.0,9068949504.0,0.0,0.0
2.590,5.622,91.409,0.0,0.0,0.379,436.0,0.0,7165.0,15515.0,12899.0,25766.0,8488615936.0,421064704.0,7344721920.0,9068896256.0,0.0,94208.0
2.845,5.626,91.150,0.0,0.0,0.379,770.0,106.0,8537.0,118485.0,19354.0,238451.0,8488325120.0,421064704.0,7344721920.0,9069187072.0,0.0,0.0
2.908,5.247,91.340,0.190,0.0,0.316,256.0,0.0,5843.0,12881.0,14045.0,28630.0,8488722432.0,421064704.0,7344730112.0,9068781568.0,0.0,77824.0
2.716,5.243,91.661,0.0,0.0,0.379,554.0,106.0,4545.0,13363.0,10645.0,24410.0,8488837120.0,421064704.0,7344726016.0,9068670976.0,0.0,0.0
2.841,5.177,91.540,0.0,0.0,0.442,384.0,0.0,4556.0,13137.0,10961.0,24998.0,8488685568.0,421064704.0,7344726016.0,9068822528.0,0.0,0.0
2.915,4.880,91.762,0.0,0.0,0.444,870.0,0.0,4367.0,12111.0,12931.0,24271.0,8489906176.0,421064704.0,7344738304.0,9067589632.0,0.0,0.0
0.815,1.881,97.241,0.0,0.0,0.063,556.0,198.0,4216.0,11881.0,9008.0,18536.0,8487165952.0,421064704.0,7344742400.0,9070325760.0,0.0,53248.0
0.250,0.188,99.562,0.0,0.0,0.0,628.0,0.0,3597.0,4989.0,10118.0,12316.0,8486625280.0,421064704.0,7344742400.0,9070866432.0,0.0,0.0
0.125,0.063,99.687,0.125,0.0,0.0,554.0,174.0,2735.0,5615.0,8991.0,9962.0,8486862848.0,421064704.0,7344742400.0,9070628864.0,0.0,40960.0
0.188,0.063,99.750,0.0,0.0,0.0,682.0,106.0,3578.0,5829.0,9718.0,17459.0,8486481920.0,421064704.0,7344742400.0,9071009792.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,192.0,0.0,3471.0,5419.0,9166.0,10176.0,8486068224.0,421064704.0,7344742400.0,9071423488.0,0.0,0.0
0.250,0.688,99.061,0.0,0.0,0.0,448.0,0.0,5117.0,101535.0,13333.0,198214.0,8485695488.0,421064704.0,7344742400.0,9071796224.0,0.0,40960.0
0.125,0.063,99.812,0.0,0.0,0.0,256.0,0.0,2444.0,4663.0,6954.0,7493.0,8484749312.0,421064704.0,7344742400.0,9072742400.0,0.0,0.0
0.125,0.063,99.687,0.125,0.0,0.0,712.0,212.0,2255.0,5015.0,7886.0,9650.0,8485208064.0,421064704.0,7344742400.0,9072283648.0,0.0,16384.0
0.438,0.125,99.436,0.0,0.0,0.0,494.0,0.0,4705.0,9043.0,13011.0,27135.0,8485670912.0,421064704.0,7344746496.0,9071816704.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,512.0,0.0,3411.0,5721.0,8883.0,9770.0,8484765696.0,421064704.0,7344746496.0,9072721920.0,0.0,0.0
