"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 6vms-r2.src.dstat.csv",,,,"Date:","10 Jun 2014 18:24:09 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.062,0.062,99.875,0.0,0.0,0.0,256.0,0.0,556.0,204.0,1596.0,3737.0,3500118016.0,29945856.0,12167471104.0,9625886720.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,490.0,106.0,1162.0,140.0,2376.0,1441.0,3500187648.0,29945856.0,12167471104.0,9625817088.0,0.0,0.0
0.0,0.0,99.937,0.063,0.0,0.0,436.0,0.0,710.0,204.0,2964.0,3422.0,3500187648.0,29954048.0,12167462912.0,9625817088.0,0.0,77824.0
0.062,0.0,99.938,0.0,0.0,0.0,734.0,106.0,2546.0,1486.0,4156.0,2246.0,3500167168.0,29954048.0,12167483392.0,9625817088.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,64.0,0.0,556.0,204.0,1490.0,4416.0,3499921408.0,29954048.0,12167483392.0,9626062848.0,0.0,0.0
0.062,0.062,99.875,0.0,0.0,0.0,634.0,106.0,1434.0,140.0,2804.0,1434.0,3500294144.0,29954048.0,12167483392.0,9625690112.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,192.0,0.0,876.0,204.0,1870.0,5072.0,3500285952.0,29954048.0,12167483392.0,9625698304.0,0.0,0.0
0.063,0.0,99.812,0.125,0.0,0.0,384.0,0.0,1298.0,140.0,2860.0,5760.0,3500150784.0,29962240.0,12167483392.0,9625825280.0,0.0,36864.0
0.063,0.063,99.875,0.0,0.0,0.0,128.0,0.0,1252.0,204.0,2342.0,5072.0,3500158976.0,29962240.0,12167483392.0,9625817088.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,776.0,212.0,1920.0,140.0,4166.0,964.0,3499905024.0,29962240.0,12167483392.0,9626071040.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,372.0,0.0,2092.0,1804.0,4724.0,34538.0,3500675072.0,29962240.0,12167483392.0,9625300992.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,320.0,0.0,1536.0,30846.0,2580.0,31938.0,3500285952.0,29962240.0,12167483392.0,9625690112.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,552.0,92.0,590.0,204.0,2216.0,2744.0,3500285952.0,29962240.0,12167483392.0,9625690112.0,0.0,0.0
0.062,0.0,99.812,0.125,0.0,0.0,320.0,0.0,1874.0,616.0,3918.0,1708.0,3500531712.0,29970432.0,12167483392.0,9625436160.0,0.0,32768.0
0.063,0.063,99.875,0.0,0.0,0.0,532.0,280.0,71158.0,1202.0,139216.0,5600.0,3500220416.0,29970432.0,12167565312.0,9625665536.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,1508.0,0.0,1128.0,140.0,7110.0,915744.0,3500740608.0,29970432.0,12167593984.0,9625116672.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,244.0,0.0,10900.0,1253410.0,18318.0,1539842.0,3500552192.0,29970432.0,12167606272.0,9625292800.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,846.0,106.0,2578.0,630.0,4300.0,1828.0,3500544000.0,29970432.0,12167614464.0,9625292800.0,0.0,0.0
0.0,0.062,99.875,0.062,0.0,0.0,192.0,0.0,1064.0,204.0,2246.0,2192.0,3500544000.0,29978624.0,12167614464.0,9625284608.0,0.0,20480.0
0.0,0.0,100.0,0.0,0.0,0.0,874.0,106.0,914.0,140.0,2861.0,4354.0,3500281856.0,29978624.0,12167622656.0,9625538560.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,128.0,0.0,1577.0,836.0,3111.0,5664.0,3500724224.0,29978624.0,12167745536.0,9624973312.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,794.0,106.0,1936.0,140.0,4102.0,2506.0,3500650496.0,29978624.0,12167753728.0,9625038848.0,0.0,0.0
0.125,0.062,99.812,0.0,0.0,0.0,806.0,0.0,2200726.0,10424.0,4310264.0,25334.0,3500711936.0,29978624.0,12169850880.0,9622880256.0,0.0,0.0
0.0,0.063,99.875,0.063,0.0,0.0,564.0,0.0,4164.0,2086.0,5558.0,2698.0,3500625920.0,29986816.0,12169912320.0,9622896640.0,0.0,45056.0
0.0,0.0,100.0,0.0,0.0,0.0,478.0,106.0,1652.0,204.0,3816.0,1338.0,3500199936.0,29986816.0,12169940992.0,9623293952.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,490.0,106.0,3262.0,1740.0,6084.0,7834.0,3500228608.0,29986816.0,12169945088.0,9623261184.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,256.0,0.0,800.0,204.0,1766.0,3632.0,3499892736.0,29986816.0,12169945088.0,9623597056.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,320.0,0.0,914.0,140.0,2046.0,2192.0,3499884544.0,29986816.0,12169953280.0,9623597056.0,0.0,0.0
0.062,0.125,99.812,0.0,0.0,0.0,454.0,0.0,898.0,204.0,2710.0,7984.0,3499917312.0,29986816.0,12169953280.0,9623564288.0,0.0,0.0
0.0,0.0,99.937,0.063,0.0,0.0,986.0,212.0,1508.0,140.0,3524.0,4148.0,3499794432.0,29995008.0,12169957376.0,9623674880.0,0.0,20480.0
