"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/migration/log/idle/cluster/precopy/speed125/vcpu2/180ms/7vms-r2.src.dstat.csv",,,,"Date:","10 Jun 2014 02:35:12 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.968,1.402,97.600,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,3537096704.0,421265408.0,9342304256.0,12022632448.0,158.807,3415.400
0.0,0.0,99.937,0.063,0.0,0.0,436.0,0.0,3537.0,2177.0,7230.0,5124.0,3537256448.0,421265408.0,9342312448.0,12022464512.0,0.0,77824.0
0.063,0.063,99.875,0.0,0.0,0.0,1080.0,280.0,2572.0,1272.0,5990.0,3158.0,3537518592.0,421265408.0,9342312448.0,12022202368.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,894.0,0.0,3205.0,3243.0,6967.0,7015.0,3538288640.0,421265408.0,9342312448.0,12021432320.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,462.0,92.0,8181.0,6879.0,15867.0,14607.0,3539054592.0,421265408.0,9342312448.0,12020666368.0,0.0,0.0
0.188,0.062,99.750,0.0,0.0,0.0,256.0,0.0,6060.0,6116.0,12594.0,15982.0,3539447808.0,421265408.0,9342312448.0,12020273152.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,426.0,106.0,5738.0,3930.0,10514.0,7430.0,3539685376.0,421265408.0,9342320640.0,12020027392.0,0.0,0.0
0.188,0.125,99.562,0.125,0.0,0.0,426.0,106.0,3000.0,33588.0,6001.0,83227.0,3540824064.0,421265408.0,9342320640.0,12018888704.0,0.0,32768.0
0.0,0.063,99.937,0.0,0.0,0.0,436.0,0.0,4065.0,116027.0,7799.0,245067.0,3540684800.0,421265408.0,9342324736.0,12019023872.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,414.0,106.0,3266.0,244682.0,6658.0,494758.0,3540770816.0,421265408.0,9342324736.0,12018937856.0,0.0,0.0
0.250,0.125,99.562,0.0,0.0,0.062,624.0,0.0,9603.0,469411.0,17574.0,962410.0,3541164032.0,421265408.0,9342324736.0,12018544640.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,448.0,0.0,4752.0,659738.0,9964.0,1374950.0,3541475328.0,421265408.0,9342324736.0,12018233344.0,0.0,0.0
0.125,0.125,99.562,0.188,0.0,0.0,490.0,106.0,6718.0,979458.0,12534.0,1944090.0,3541536768.0,421265408.0,9342328832.0,12018167808.0,0.0,36864.0
0.125,0.063,99.812,0.0,0.0,0.0,362.0,106.0,9093.0,1646317.0,17009.0,3387975.0,3542380544.0,421265408.0,9342324736.0,12017328128.0,0.0,0.0
0.125,0.125,99.750,0.0,0.0,0.0,384.0,68.0,16049.0,2557008.0,29797.0,5221174.0,3543543808.0,421265408.0,9342324736.0,12016164864.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,564.0,0.0,19704.0,4196738.0,35975.0,8568487.0,3544420352.0,421265408.0,9342324736.0,12015288320.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,436.0,0.0,28861.0,6108339.0,53159.0,12413301.0,3545497600.0,421265408.0,9342324736.0,12014211072.0,0.0,0.0
0.063,0.125,99.750,0.063,0.0,0.0,580.0,212.0,43664.0,10351708.0,79842.0,21047596.0,3547467776.0,421265408.0,9342324736.0,12012240896.0,0.0,36864.0
0.250,0.125,99.562,0.0,0.0,0.063,320.0,0.0,56541.0,11486525.0,100994.0,23294862.0,3549732864.0,421265408.0,9342324736.0,12009975808.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,768.0,0.0,68221.0,15615630.0,121486.0,30590587.0,3549986816.0,421265408.0,9342324736.0,12009721856.0,0.0,0.0
0.251,0.251,99.498,0.0,0.0,0.0,560.0,0.0,87914.0,20396486.0,163420.0,41479616.0,3553435648.0,421265408.0,9342324736.0,12006273024.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,506.0,106.0,108899.0,24256593.0,190124.0,47866454.0,3556409344.0,421265408.0,9342324736.0,12003299328.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,542.0,106.0,135044.0,30026276.0,239440.0,59556794.0,3557613568.0,421265408.0,9342324736.0,12002095104.0,0.0,0.0
0.878,0.502,98.369,0.188,0.0,0.063,500.0,0.0,154432.0,31936580.0,272598.0,63379844.0,3561136128.0,421265408.0,9342328832.0,11998568448.0,0.0,36864.0
0.188,0.188,99.624,0.0,0.0,0.0,398.0,92.0,151468.0,36151086.0,263990.0,70394904.0,3564224512.0,421265408.0,9342324736.0,11995484160.0,0.0,0.0
0.690,0.251,98.996,0.0,0.0,0.063,192.0,0.0,174142.0,39579944.0,308164.0,78857898.0,3567136768.0,421265408.0,9342324736.0,11992571904.0,0.0,0.0
0.942,0.188,98.870,0.0,0.0,0.0,426.0,106.0,194132.0,46207066.0,333430.0,91725472.0,3570606080.0,421265408.0,9342328832.0,11989098496.0,0.0,0.0
0.690,0.251,98.996,0.0,0.0,0.063,426.0,106.0,209498.0,51946100.0,378322.0,102344608.0,3574087680.0,421265408.0,9342328832.0,11985616896.0,0.0,73728.0
1.006,0.503,97.926,0.566,0.0,0.0,448.0,0.0,230578.0,59529892.0,408296.0,118588767.0,3580121088.0,421265408.0,9342328832.0,11979583488.0,0.0,53248.0
0.503,0.188,99.246,0.0,0.0,0.063,244.0,0.0,272980.0,65542399.0,481510.0,129156061.0,3580432384.0,421265408.0,9342328832.0,11979272192.0,0.0,0.0
0.818,0.252,98.930,0.0,0.0,0.0,606.0,106.0,301588.0,74083318.0,530576.0,145892474.0,3584176128.0,421265408.0,9342328832.0,11975528448.0,0.0,0.0
0.503,0.252,99.245,0.0,0.0,0.0,384.0,0.0,330314.0,76742409.0,580216.0,151560177.0,3587715072.0,421265408.0,9342328832.0,11971989504.0,0.0,0.0
0.692,0.252,98.993,0.0,0.0,0.063,522.0,106.0,375358.0,82542317.0,647876.0,160365827.0,3590348800.0,421265408.0,9342328832.0,11969355776.0,0.0,12288.0
0.252,0.567,99.055,0.063,0.0,0.063,298.0,106.0,345166.0,79761291.0,608910.0,156506516.0,3589963776.0,421265408.0,9342332928.0,11969736704.0,0.0,45056.0
0.189,0.252,99.559,0.0,0.0,0.0,384.0,0.0,361804.0,73038941.0,626412.0,139530162.0,3591983104.0,421265408.0,9342328832.0,11967721472.0,0.0,0.0
0.189,0.252,99.497,0.0,0.0,0.063,718.0,68.0,297496.0,69521700.0,523664.0,137327832.0,3593154560.0,421265408.0,9342328832.0,11966550016.0,0.0,0.0
0.566,0.314,99.119,0.0,0.0,0.0,682.0,0.0,310034.0,73087729.0,540512.0,143145060.0,3593560064.0,421265408.0,9342328832.0,11966144512.0,0.0,0.0
1.133,0.126,98.741,0.0,0.0,0.0,478.0,106.0,316614.0,76099529.0,548750.0,148556707.0,3593170944.0,421265408.0,9342328832.0,11966533632.0,0.0,8192.0
0.378,0.566,98.930,0.126,0.0,0.0,1374.0,106.0,327874.0,76326324.0,582998.0,150725105.0,3598286848.0,421265408.0,9342337024.0,11961409536.0,0.0,45056.0
0.943,0.251,98.743,0.0,0.0,0.063,320.0,0.0,362322.0,76975982.0,620006.0,143586027.0,3593588736.0,421265408.0,9342332928.0,11966111744.0,0.0,0.0
0.314,0.251,99.435,0.0,0.0,0.0,384.0,0.0,193960.0,38628832.0,325068.0,73677069.0,3586617344.0,421265408.0,9342328832.0,11973087232.0,0.0,0.0
0.125,0.125,99.749,0.0,0.0,0.0,666.0,106.0,128086.0,29523792.0,215416.0,56633220.0,3585368064.0,421265408.0,9342332928.0,11974332416.0,0.0,0.0
0.063,1.440,98.497,0.0,0.0,0.0,448.0,0.0,106610.0,24275852.0,184298.0,46731158.0,3582910464.0,421265408.0,9342332928.0,11976790016.0,0.0,0.0
0.376,2.070,96.424,1.066,0.0,0.063,478.0,106.0,102516.0,24278581.0,166128.0,47446527.0,2895888384.0,421265408.0,9342287872.0,12663857152.0,0.0,36864.0
0.376,2.884,96.238,0.439,0.0,0.063,818.0,0.0,112659.0,25294316.0,183439.0,48010247.0,2428813312.0,421265408.0,9342238720.0,13130981376.0,0.0,0.0
0.063,1.940,97.997,0.0,0.0,0.0,362.0,198.0,54934.0,9689046.0,86706.0,17234660.0,2425774080.0,421265408.0,9342242816.0,13134016512.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,448.0,0.0,34432.0,8167504.0,59926.0,15770106.0,2426966016.0,421265408.0,9342246912.0,13132820480.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,256.0,0.0,34286.0,8197340.0,61256.0,16287800.0,2425962496.0,421265408.0,9342251008.0,13133819904.0,0.0,0.0
0.0,0.063,99.812,0.125,0.0,0.0,554.0,106.0,35694.0,8675574.0,62280.0,16769644.0,2426298368.0,421265408.0,9342251008.0,13133484032.0,0.0,61440.0
0.188,0.313,99.499,0.0,0.0,0.0,576.0,0.0,40111.0,9090734.0,66476.0,18129032.0,2192506880.0,421265408.0,9342230528.0,13367296000.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,606.0,106.0,39888.0,9563604.0,68728.0,18569842.0,2191065088.0,421265408.0,9342230528.0,13368737792.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,580.0,0.0,44012.0,10834106.0,78304.0,21406566.0,2190483456.0,421265408.0,9342230528.0,13369319424.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,480.0,0.0,43296.0,11025438.0,76436.0,21662490.0,2190319616.0,421265408.0,9342230528.0,13369483264.0,0.0,0.0
0.063,0.0,99.937,0.0,0.0,0.0,362.0,106.0,48922.0,9767379.0,79204.0,17010232.0,2186547200.0,421265408.0,9342230528.0,13373255680.0,0.0,0.0
