"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 1vm-r3.dest.dstat.csv",,,,"Date:","30 May 2014 00:32:49 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.086,0.049,99.835,0.028,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,7521538048.0,478093312.0,11871969280.0,5451821056.0,253.721,2682.025
0.375,0.188,99.375,0.062,0.0,0.0,320.0,0.0,1420704.0,19314.0,5472714.0,41028.0,7531651072.0,478093312.0,11872059392.0,5441617920.0,0.0,0.0
0.567,0.882,98.426,0.0,0.0,0.126,932.0,0.0,46269181.0,187293.0,117209794.0,469619.0,7621545984.0,478093312.0,11872059392.0,5351723008.0,0.0,0.0
0.757,1.262,97.855,0.0,0.0,0.126,192.0,0.0,97272699.0,401252.0,191737926.0,782637.0,7722340352.0,478093312.0,11872059392.0,5250928640.0,0.0,0.0
0.758,1.327,97.789,0.0,0.0,0.126,428.0,198.0,105193658.0,432856.0,208324546.0,852204.0,7832690688.0,478093312.0,11872059392.0,5140578304.0,0.0,0.0
0.761,1.205,98.034,0.0,0.0,0.0,526.0,106.0,112500247.0,459453.0,222142879.0,899576.0,7952384000.0,478093312.0,11872063488.0,5020880896.0,0.0,0.0
0.759,1.266,97.722,0.127,0.0,0.127,192.0,0.0,118178401.0,478324.0,232614138.0,931175.0,8086740992.0,478093312.0,11872063488.0,4886523904.0,0.0,40960.0
0.696,1.266,98.038,0.0,0.0,0.0,496.0,0.0,121724884.0,492752.0,231709497.0,934164.0,8215363584.0,478093312.0,11872063488.0,4757901312.0,0.0,0.0
0.631,1.262,97.981,0.0,0.0,0.126,234.0,106.0,93028738.0,383105.0,180442052.0,732731.0,8309579776.0,478093312.0,11872063488.0,4663685120.0,0.0,0.0
0.632,1.263,97.979,0.0,0.0,0.126,320.0,68.0,95112907.0,388228.0,187491376.0,758652.0,8416079872.0,478093312.0,11872063488.0,4557185024.0,0.0,0.0
0.695,1.263,97.915,0.0,0.0,0.126,362.0,106.0,99042589.0,404342.0,194851403.0,832150.0,8531218432.0,478093312.0,11872063488.0,4442046464.0,0.0,0.0
0.695,1.264,97.977,0.0,0.0,0.063,244.0,0.0,102363585.0,465253.0,200776884.0,863725.0,8638267392.0,478093312.0,11872063488.0,4334997504.0,0.0,0.0
0.633,1.392,97.849,0.063,0.0,0.063,670.0,0.0,104135461.0,429732.0,204199926.0,835193.0,8740732928.0,478093312.0,11872063488.0,4232531968.0,0.0,12288.0
0.698,1.141,98.098,0.0,0.0,0.063,170.0,106.0,105368697.0,433468.0,206651201.0,842767.0,8872796160.0,478093312.0,11872063488.0,4100468736.0,0.0,0.0
0.821,1.327,97.789,0.0,0.0,0.063,128.0,0.0,106178730.0,435151.0,207899036.0,843035.0,8994729984.0,478093312.0,11872063488.0,3978534912.0,0.0,0.0
0.696,1.265,97.913,0.0,0.0,0.127,234.0,106.0,106438607.0,438278.0,208511204.0,877051.0,9112158208.0,478093312.0,11872096256.0,3861073920.0,0.0,0.0
0.696,1.328,97.913,0.0,0.0,0.063,602.0,106.0,106534073.0,461860.0,208663449.0,872773.0,9231421440.0,478093312.0,11872096256.0,3741810688.0,0.0,0.0
0.696,1.265,97.913,0.0,0.0,0.127,1156.0,0.0,106606868.0,437269.0,208587218.0,851733.0,9348939776.0,478093312.0,11872096256.0,3624292352.0,0.0,0.0
0.696,1.266,97.848,0.127,0.0,0.063,548.0,68.0,106752643.0,444292.0,209137220.0,865925.0,9460596736.0,478093312.0,11872096256.0,3512635392.0,0.0,16384.0
0.504,0.757,98.739,0.0,0.0,0.0,244.0,0.0,93172337.0,395024.0,149991766.0,634112.0,9507139584.0,478093312.0,11872096256.0,3466092544.0,0.0,0.0
0.125,0.0,99.875,0.0,0.0,0.0,340.0,212.0,232.0,4701.0,69384.0,6627.0,9507307520.0,478093312.0,11872022528.0,3465998336.0,0.0,0.0
