"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 1vm-r3.router.dstat.csv",,,,"Date:","30 May 2014 00:32:49 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.797,0.178,98.935,0.089,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,10995064832.0,172040192.0,464740352.0,13552971776.0,30901.003,133526.803
1.629,0.251,98.120,0.0,0.0,0.0,64.0,150.0,1046921.0,1049476.0,1047249.0,1050960.0,10995113984.0,172040192.0,464744448.0,13552918528.0,0.0,0.0
7.476,0.256,92.268,0.0,0.0,0.0,910.0,0.0,41761198.0,40499789.0,41762108.0,40499789.0,10995417088.0,172040192.0,464744448.0,13552615424.0,0.0,0.0
3.642,0.128,96.230,0.0,0.0,0.0,402.0,106.0,97972389.0,98275532.0,97972925.0,98275950.0,10995154944.0,172040192.0,464744448.0,13552877568.0,0.0,4096.0
4.415,0.192,95.329,0.0,0.0,0.064,298.0,174.0,105267631.0,105117796.0,105267929.0,105118102.0,10994892800.0,172040192.0,464744448.0,13553139712.0,0.0,36864.0
3.846,0.128,96.026,0.0,0.0,0.0,240.0,0.0,112658374.0,112611575.0,112658614.0,112611887.0,10994868224.0,172040192.0,464744448.0,13553164288.0,0.0,0.0
0.960,0.192,98.592,0.256,0.0,0.0,560.0,0.0,118449382.0,118367909.0,118450072.0,118367909.0,10994630656.0,172040192.0,464744448.0,13553401856.0,0.0,53248.0
8.980,0.192,90.763,0.0,0.0,0.064,298.0,106.0,122116306.0,122092715.0,122116604.0,122093133.0,10994253824.0,172040192.0,464744448.0,13553778688.0,0.0,0.0
1.721,0.127,98.152,0.0,0.0,0.0,256.0,0.0,94691556.0,95155757.0,94691946.0,95155757.0,10994253824.0,172040192.0,464744448.0,13553778688.0,0.0,0.0
7.806,0.256,91.939,0.0,0.0,0.0,298.0,106.0,95701702.0,95526832.0,95702134.0,95527250.0,10993688576.0,172040192.0,464744448.0,13554343936.0,0.0,0.0
1.851,0.128,97.958,0.0,0.0,0.064,488.0,0.0,99328906.0,99275490.0,99329394.0,99275490.0,10993688576.0,172040192.0,464744448.0,13554343936.0,0.0,4096.0
5.954,0.320,93.534,0.192,0.0,0.0,650.0,230.0,102233194.0,102361012.0,102234108.0,102361554.0,10992926720.0,172040192.0,464744448.0,13555105792.0,0.0,69632.0
2.687,0.128,97.121,0.0,0.0,0.064,362.0,106.0,104488516.0,104194508.0,104488878.0,104194614.0,10992902144.0,172040192.0,464744448.0,13555130368.0,0.0,0.0
4.537,0.128,95.272,0.0,0.0,0.064,64.0,0.0,105721430.0,105713116.0,105721564.0,105713512.0,10992648192.0,172040192.0,464744448.0,13555384320.0,0.0,0.0
5.321,0.128,94.551,0.0,0.0,0.0,128.0,0.0,106571641.0,106606640.0,106571769.0,106606640.0,10992771072.0,172040192.0,464744448.0,13555261440.0,0.0,0.0
2.299,0.128,97.510,0.0,0.0,0.064,234.0,106.0,106924252.0,106993760.0,106924486.0,106994178.0,10992652288.0,172040192.0,464744448.0,13555380224.0,0.0,0.0
7.445,0.128,92.234,0.193,0.0,0.0,696.0,198.0,107023338.0,107040298.0,107024298.0,107040496.0,10992422912.0,172040192.0,464744448.0,13555609600.0,0.0,94208.0
0.575,0.192,99.233,0.0,0.0,0.0,1612.0,0.0,106927765.0,107022882.0,106929511.0,107023194.0,10990637056.0,172040192.0,464744448.0,13557395456.0,0.0,4096.0
7.047,0.192,92.761,0.0,0.0,0.0,128.0,0.0,107173314.0,107134996.0,107173442.0,107134996.0,10990604288.0,172040192.0,464744448.0,13557428224.0,0.0,0.0
3.985,0.127,95.825,0.0,0.0,0.063,128.0,0.0,98369700.0,99379992.0,98369962.0,99380304.0,10990096384.0,172040192.0,464744448.0,13557936128.0,0.0,12288.0
3.444,0.063,96.493,0.0,0.0,0.0,340.0,212.0,2379.0,1288.0,2719.0,1500.0,10989731840.0,172040192.0,464744448.0,13558300672.0,0.0,0.0
4.386,0.125,95.489,0.0,0.0,0.0,344.0,0.0,8600.0,8166.0,9074.0,8478.0,10989723648.0,172040192.0,464744448.0,13558308864.0,0.0,0.0
