"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node9",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o 1vm-r3.src.dstat.csv",,,,"Date:","30 May 2014 00:32:49 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
1.099,1.562,97.307,0.031,0.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,4816158720.0,413683712.0,5411274752.0,14682181632.0,167.149,3049.202
0.313,2.253,97.434,0.0,0.0,0.0,590.0,198.0,23984.0,284069.0,43382.0,1238331.0,4819722240.0,413683712.0,5411282944.0,14678609920.0,0.0,0.0
0.063,2.632,97.243,0.0,0.0,0.063,846.0,0.0,56370.0,13073844.0,165412.0,47914063.0,4823642112.0,413683712.0,5411287040.0,14674685952.0,0.0,0.0
0.252,0.315,99.433,0.0,0.0,0.0,244.0,0.0,377534.0,93648684.0,674501.0,187695207.0,4823887872.0,413683712.0,5411287040.0,14674440192.0,0.0,0.0
0.063,0.504,99.433,0.0,0.0,0.0,350.0,106.0,418315.0,101926107.0,736146.0,201733151.0,4824543232.0,413683712.0,5411291136.0,14673780736.0,0.0,0.0
0.189,0.441,99.370,0.0,0.0,0.0,240.0,0.0,450336.0,109843372.0,789284.0,216754013.0,4824059904.0,413683712.0,5411291136.0,14674264064.0,0.0,0.0
0.126,0.504,99.181,0.126,0.0,0.063,666.0,174.0,473788.0,116244561.0,829025.0,228765527.0,4824440832.0,413683712.0,5411287040.0,14673887232.0,0.0,57344.0
0.126,0.378,99.496,0.0,0.0,0.0,256.0,0.0,489141.0,121152077.0,853268.0,237259447.0,4825198592.0,413683712.0,5411291136.0,14673125376.0,0.0,0.0
0.126,0.378,99.497,0.0,0.0,0.0,298.0,106.0,435150.0,104682727.0,729802.0,195994083.0,4825346048.0,413683712.0,5411291136.0,14672977920.0,0.0,0.0
0.189,0.378,99.433,0.0,0.0,0.0,192.0,0.0,378122.0,93290487.0,663577.0,183895437.0,4824739840.0,413683712.0,5411303424.0,14673571840.0,0.0,0.0
0.126,0.315,99.496,0.0,0.0,0.063,436.0,0.0,401397.0,97536841.0,701536.0,191795765.0,4825047040.0,413683712.0,5411303424.0,14673264640.0,0.0,0.0
0.189,0.441,99.244,0.126,0.0,0.0,584.0,106.0,415105.0,100996574.0,724959.0,198125916.0,4824928256.0,413683712.0,5411303424.0,14673383424.0,0.0,40960.0
0.189,0.315,99.496,0.0,0.0,0.0,362.0,106.0,425926.0,103480757.0,743874.0,202825759.0,4825059328.0,413683712.0,5411303424.0,14673252352.0,0.0,0.0
0.189,0.315,99.496,0.0,0.0,0.0,64.0,0.0,433835.0,104891803.0,755660.0,205477505.0,4824666112.0,413683712.0,5411303424.0,14673645568.0,0.0,0.0
0.126,0.378,99.433,0.0,0.0,0.063,192.0,0.0,435046.0,106002655.0,757481.0,207371770.0,4824743936.0,413683712.0,5411303424.0,14673567744.0,0.0,0.0
0.189,0.378,99.433,0.0,0.0,0.0,170.0,106.0,437344.0,106347432.0,787354.0,208106097.0,4824260608.0,413683712.0,5411303424.0,14674051072.0,0.0,0.0
0.126,0.441,99.245,0.126,0.0,0.063,602.0,106.0,442083.0,106704024.0,769084.0,208619854.0,4825526272.0,413683712.0,5411299328.0,14672789504.0,0.0,40960.0
0.189,0.378,99.433,0.0,0.0,0.0,1512.0,0.0,437598.0,106552825.0,763083.0,208314350.0,4824739840.0,413683712.0,5411303424.0,14673571840.0,0.0,0.0
0.126,0.315,99.559,0.0,0.0,0.0,244.0,0.0,439742.0,106611114.0,768346.0,208500844.0,4825673728.0,413683712.0,5411303424.0,14672637952.0,0.0,65536.0
0.252,0.378,99.370,0.0,0.0,0.0,128.0,0.0,453795.0,107558805.0,780652.0,205366752.0,4820205568.0,413683712.0,5411303424.0,14678106112.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,362.0,174.0,126957.0,26512165.0,128003.0,26513101.0,4820365312.0,413683712.0,5411303424.0,14677946368.0,0.0,0.0
