^[[7l----total-cpu-usage---- ------memory-usage----- -dsk/total- --net/eth0- --net/eth1- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| used  buff  cach  free| read  writ| recv  send: recv  send: recv  send|  in   out | int   csw
  1   2  97   0   0   0|7945M  393M 4569M 11.0G| 170B 2233B|   0     0 :   0     0 :   0     0 |   0     0 | 849   747
  0   0  99   0   0   0|7952M  393M 4569M 11.0G|   0    40k| 244B    0 : 279k 8446B: 623k   20k|   0     0 |1182  1728
  0   0 100   0   0   0|7951M  393M 4569M 11.0G|   0     0 | 428B  198B: 530k 3219B:1186k   12k|   0     0 | 779  1357
  0   0 100   0   0   0|7953M  393M 4569M 11.0G|   0     0 | 128B    0 :1323k 6495B:2990k   22k|   0     0 | 900  1477
  0   0 100   0   0   0|7957M  393M 4569M 11.0G|   0     0 | 298B  106B:3137k   13k:7996k   40k|   0     0 |1304  1768
  0   0  99   0   0   0|7971M  393M 4569M 11.0G|   0    28k| 320B    0 :8745k  176k:  20M  349k|   0     0 |2399  2770
  0   0  99   0   0   0|8000M  393M 4569M 10.9G|   0     0 | 170B  106B:  21M   89k:  45M  183k|   0     0 |3482  3606
  0   1  99   0   0   0|8038M  393M 4569M 10.9G|   0    12k|  64B    0 :  30M  115k:  65M  257k|   0     0 |5167  5244
  0   1  99   0   0   0|8078M  393M 4569M 10.9G|   0     0 | 372B    0 :  37M  147k:  72M  292k|   0     0 |5257  5341
  0   1  99   0   0   0|8115M  393M 4569M 10.8G|   0     0 | 286B  106B:  37M  148k:  72M  300k|   0     0 |5211  5280
  0   1  99   0   0   0|8155M  393M 4569M 10.8G|   0     0 | 128B    0 :  37M  145k:  72M  288k|   0     0 |5107  5137
  0   1  99   0   0   0|8193M  393M 4569M 10.7G|   0     0 | 298B  106B:  37M  144k:  72M  295k|   0     0 |5109  5132
  0   1  99   0   0   0|8233M  393M 4569M 10.7G|   0     0 | 526B    0 :  37M  145k:  72M  292k|   0     0 |5136  5228
  0   1  99   0   0   0|8272M  393M 4569M 10.7G|   0     0 | 526B    0 :  37M  144k:  72M  288k|   0     0 |5029  4991
  0   1  99   0   0   0|8312M  393M 4569M 10.6G|   0     0 | 170B  106B:  37M  210k:  72M  419k|   0     0 |5137  5098
  0   1  99   0   0   0|8348M  393M 4569M 10.6G|   0     0 | 764B  106B:  37M  144k:  72M  288k|   0     0 |5068  4894
  0   1  99   0   0   0|8386M  393M 4569M 10.5G|   0     0 | 244B    0 :  37M  145k:  72M  291k|   0     0 |5044  5079
  0   1  99   0   0   0|8424M  393M 4569M 10.5G|   0     0 |1204B    0 :  37M  144k:  72M  290k|   0     0 |5052  5073
  0   1  99   0   0   0|8462M  393M 4569M 10.5G|   0     0 | 128B    0 :  37M  143k:  72M  290k|   0     0 |4987  5000
  0   1  99   0   0   0|8501M  393M 4569M 10.4G|   0     0 | 610B  212B:  37M  145k:  72M  292k|   0     0 |4944  4900
  0   1  99   0   0   0|8538M  393M 4569M 10.4G|   0     0 | 192B    0 :  37M  213k:  72M  424k|   0     0 |5139  5136
  0   1  99   0   0   0|8576M  393M 4569M 10.4G|   0    12k| 128B    0 :  37M  168k:  72M  312k|   0     0 |5110  5183
  0   1  99   0   0   0|8613M  393M 4569M 10.3G|   0     0 | 450B   92B:  37M  144k:  72M  288k|   0     0 |5019  4974
  0   0  99   0   0   0|8649M  393M 4569M 10.3G|   0     0 |1012B  106B:  37M  143k:  72M  287k|   0     0 |5028  4912
  0   1  99   0   0   0|8687M  393M 4569M 10.3G|   0     0 | 298B  106B:  37M  144k:  72M  287k|   0     0 |4960  4989
  0   1  99   0   0   0|8727M  393M 4569M 10.2G|   0     0 | 426B    0 :  37M  143k:  72M  286k|   0     0 |4934  4893
  0   1  99   0   0   0|8761M  393M 4569M 10.2G|   0     0 | 240B    0 :  36M  143k:  71M  285k|   0     0 |4892  4784
  0   1  99   0   0   0|8797M  393M 4569M 10.1G|   0     0 | 632B  106B:  36M  142k:  71M  290k|   0     0 |5169  5222
  0   1  99   0   0   0|8835M  393M 4569M 10.1G|   0     0 | 432B    0 :  36M  143k:  71M  348k|   0     0 |4964  4845
  0   1  99   0   0   0|8871M  393M 4569M 10.1G|   0    12k| 414B  106B:  36M  208k:  71M  350k|   0     0 |5019  4946
  0   1  99   0   0   0|8910M  393M 4569M 10.0G|   0     0 | 478B  106B:  37M  142k:  72M  282k|   0     0 |4924  4858
  0   1  99   0   0   0|8946M  393M 4569M 10.0G|   0     0 | 256B    0 :  37M  144k:  72M  288k|   0     0 |4961  4888
  0   1  99   0   0   0|8980M  393M 4569M 9.97G|   0     0 | 192B   68B:  37M  143k:  72M  283k|   0     0 |4860  4850
  0   1  99   0   0   0|9018M  393M 4569M 9.93G|   0     0 | 192B    0 :  37M  143k:  71M  285k|   0     0 |4891  4828
  0   1  99   0   0   0|9056M  393M 4569M 9.89G|   0     0 | 234B  106B:  37M  142k:  72M  282k|   0     0 |4833  4735
  0   1  99   0   0   0|9092M  393M 4569M 9.86G|   0  4096B| 490B  106B:  37M  182k:  72M  363k|   0     0 |4981  4977
  0   3  96   0   0   0|9128M  393M 4569M 9.82G|   0    12k| 308B    0 :  37M  168k:  72M  310k|   0     0 |5432  5207
  0   5  95   0   0   0|9164M  393M 4569M 9.79G|   0     0 | 244B    0 :  37M  144k:  72M  289k|   0     0 |5864  5344
  0   6  94   0   0   0|9202M  393M 4569M 9986M|   0     0 |  64B    0 :  37M  146k:  72M  291k|   0     0 |5866  5253
  0   1  99   0   0   0|9238M  393M 4569M 9950M|   0     0 | 468B  280B:  37M  144k:  72M  289k|   0     0 |5247  5208
  0   1  99   0   0   0|9276M  393M 4569M 9912M|   0  8192B| 256B    0 :  37M  281k:  72M  558k|   0     0 |5252  5235
  0   1  99   0   0   0|9312M  393M 4569M 9876M|   0     0 | 320B    0 :  37M  146k:  72M  290k|   0     0 |5172  5195
  0   1  99   0   0   0|9352M  393M 4569M 9836M|   0     0 | 142B   92B:  37M  144k:  72M  285k|   0     0 |5132  5136
  0   1  99   0   0   0|9392M  393M 4569M 9796M|   0     0 | 812B  106B:  37M  145k:  72M  289k|   0     0 |5081  5022
  0   1  99   0   0   0|9428M  393M 4569M 9760M|   0     0 | 532B  106B:  37M  209k:  72M  419k|   0     0 |5137  5008
  0   1  99   0   0   0|9466M  393M 4569M 9722M|   0     0 | 272B    0 :  37M  143k:  72M  289k|   0     0 |5172  5143
  0   1  99   0   0   0|9502M  393M 4569M 9686M|   0     0 |   0     0 :  37M  144k:  72M  286k|   0     0 |5143  5097
  0   1  99   0   0   0|9541M  393M 4569M 9647M|   0     0 | 298B  106B:  37M  144k:  72M  288k|   0     0 |5232  5152
  0   1  99   0   0   0|9579M  393M 4569M 9609M|   0     0 | 192B    0 :  37M  144k:  72M  288k|   0     0 |5136  5132
  0   0  99   0   0   0|9615M  393M 4569M 9573M|   0     0 | 474B  106B:  37M  145k:  72M  292k|   0     0 |5218  5262
  0   1  99   0   0   0|9651M  393M 4569M 9537M|   0     0 | 420B    0 :  37M  144k:  72M  289k|   0     0 |5250  5166
  0   1  99   0   0   0|9687M  393M 4569M 9501M|   0     0 | 478B  106B:  37M  168k:  72M  314k|   0     0 |5258  5261
  0   1  99   0   0   0|9723M  393M 4569M 9465M|   0     0 | 192B    0 :  37M  144k:  72M  289k|   0     0 |5368  5362
  0   1  99   0   0   0|9759M  393M 4569M 9429M|   0     0 | 278B    0 :  37M  144k:  72M  289k|   0     0 |5162  4997
  0   1  99   0   0   0|9795M  393M 4569M 9393M|   0     0 | 276B  212B:  37M  144k:  72M  287k|   0     0 |5153  4914
  0   1  99   0   0   0|9833M  393M 4569M 9355M|   0     0 | 426B    0 :  37M  226k:  72M  449k|   0     0 |5046  4811
  0   1  99   0   0   0|9869M  393M 4569M 9319M|   0     0 |  64B    0 :  37M  143k:  73M  291k|   0     0 |5231  5073
  0   1  99   0   0   0|9869M  393M 4569M 9319M|   0     0 | 244B    0 :  37M  147k:  72M  293k|   0     0 |5074  4981
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 222B  106B:  14M   59k:  14M   77k|   0     0 |1001  1709
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 298B  106B:3788B   66k:  15k  145k|   0     0 | 990  1697
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 128B    0 : 204B  488B:6638B 7982B|   0     0 | 762  1413
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 128B    0 : 492B  294B:7056B 9764B|   0     0 | 774  1444
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 |  78B   92B: 506B  230B:7716B 8794B|   0     0 | 810  1501
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 234B  106B:  68k 1144B: 204k   12k|   0     0 | 848  1505
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 350B  106B:  68k 1080B:  74k   12k|   0     0 | 781  1464
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 | 436B    0 :1236B  358B:9208B   10k|   0     0 | 807  1450
  0   0 100   0   0   0|9870M  393M 4569M 9318M|   0     0 |  64B    0 :1782B   24k:  32k   33k|   0     0 | 824  1456
  0   0  99   0   0   0|9870M  393M 4569M 9318M|   0     0 | 362B  106B: 590B  752B:8142B   19k|   0     0 |1213  1995
