^[[7l----total-cpu-usage---- ------memory-usage----- -dsk/total- --net/eth0- --net/eth1- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| used  buff  cach  free| read  writ| recv  send: recv  send: recv  send|  in   out | int   csw
  0   0 100   0   0   0|3265M  456M 10.2G 9.78G| 267B 2775B|   0     0 :   0     0 :   0     0 |   0     0 | 360   554
  0   0 100   0   0   0|3266M  456M 10.2G 9.78G|   0     0 | 362B  106B:2761B 1750B:  11k 9341B|   0     0 | 364   450
  0   0 100   0   0   0|3268M  456M 10.2G 9.78G|   0     0 | 192B    0 :7905B 8522B:  13k  202k|   0     0 | 588   738
  0   0 100   0   0   0|3268M  456M 10.2G 9.78G|   0     0 | 350B  106B:4866B  240k:9626B  841k|   0     0 | 266   341
  0   0 100   0   0   0|3268M  456M 10.2G 9.78G|   0     0 | 350B  106B:4387B  723k:  12k 2319k|   0     0 | 313   403
  0   0 100   0   0   0|3269M  456M 10.2G 9.77G|   0     0 | 128B    0 :9713B 1737k:  24k 5624k|   0     0 | 471   429
  0   0 100   0   0   0|3271M  456M 10.2G 9.77G|   0    52k| 256B    0 :  19k 4472k:  60k   16M|   0     0 |1189   560
  0   0 100   0   0   0|3272M  456M 10.2G 9.77G|   0     0 | 270B   92B:  57k   13M: 127k   35M|   0     0 |1686   380
  0   0 100   0   0   0|3271M  456M 10.2G 9.77G|   0     0 | 276B  212B:  94k   24M: 186k   55M|   0     0 |2259   427
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 128B    0 : 125k   34M: 238k   69M|   0     0 |2616   394
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 308B    0 : 149k   37M: 260k   72M|   0     0 |2605   472
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0    12k| 244B    0 : 147k   37M: 257k   72M|   0     0 |2598   426
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 234B  106B: 146k   37M: 255k   72M|   0     0 |2504   421
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 298B  106B: 145k   37M: 254k   72M|   0     0 |2613   475
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 526B    0 : 145k   37M: 255k   72M|   0     0 |2538   386
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 462B    0 : 145k   37M: 254k   72M|   0     0 |2550   410
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0    12k| 234B  106B: 144k   37M: 254k   72M|   0     0 |2518   443
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 594B    0 : 146k   37M: 256k   72M|   0     0 |2552   435
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 |1426B  106B: 147k   37M: 258k   72M|   0     0 |2515   441
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 192B    0 : 145k   37M: 256k   72M|   0     0 |2556   547
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 170B  106B: 148k   37M: 259k   72M|   0     0 |2554   541
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0     0 | 462B    0 : 146k   37M: 255k   72M|   0     0 |2488   456
  0   0 100   0   0   0|3270M  456M 10.2G 9.77G|   0    12k| 192B    0 : 145k   37M: 254k   72M|   0     0 |2563   566
