^[[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- ---system--
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| int   csw
  0   0 100   0   0   0|9445B  108k|1003M  154M  156M 22.3G|   0     0 | 921  3630
  0   0 100   0   0   0|   0     0 |1003M  154M  156M 22.3G| 823B 1246B| 131   193
  0   0 100   0   0   0|   0     0 |1003M  154M  156M 22.3G|1004B  566B| 124   189
  0   1  98   0   0   0|  28k    0 |1012M  154M  200M 22.2G|  38M  483k|9485    18k
  1   4  95   0   0   0|   0     0 |1016M  154M  973M 21.5G|  38M  526k|4162  3622
  0   1  98   0   0   0|   0     0 |1016M  154M 1134M 21.3G|  64M  262k|6150  4064
  0   1  99   0   0   0|   0    24k|1016M  154M 1171M 21.3G|  66M  264k|6050  3970
  0   0  99   0   0   0| 256k    0 |1008M  154M 1188M 21.3G|  34M  139k|1786  1273
  0   0 100   0   0   0|   0     0 |1008M  154M 1189M 21.3G| 988B  368B| 109   207
  0   0 100   0   0   0|   0     0 |1008M  154M 1189M 21.3G|1145B 1688B| 125   213
  0   0 100   0   0   0|   0     0 |1008M  154M 1189M 21.3G|1285B  788B|  93   167
  0   0 100   0   0   0|   0     0 |1008M  154M 1189M 21.3G| 726B  474B| 104   182
  0   0 100   0   0   0|   0    12k|1008M  154M 1189M 21.3G|1701B 1862B| 137   234
  0   0 100   0   0   0|   0     0 |1009M  154M 1189M 21.3G|1961B 5444B| 145   351
  0   0 100   0   0   0|   0     0 |1009M  154M 1189M 21.3G| 726B  368B|  98   183
  0   0 100   0   0   0|   0     0 |1009M  154M 1189M 21.3G|1223B 1794B| 142   221
  0   0 100   0   0   0|   0     0 |1009M  154M 1189M 21.3G| 983B  788B| 115   204
  0   0 100   0   0   0|   0     0 |1009M  154M 1189M 21.3G|2048B  474B| 112   179
  0   0 100   0   0   0|   0    12k|1009M  154M 1189M 21.3G|1605B 1794B| 165   229
  0   0 100   0   0   0|   0    12k|1009M  154M 1189M 21.3G| 833B  788B|  99   188
  0   0 100   0   0   0|   0     0 |1009M  154M 1189M 21.3G| 646B  368B| 109   205

