starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	0	1	0
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	0	1	0
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	1	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	0	2	0
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	0	2	0
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	0	2	0
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	2	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	0	2	0
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	0	1	2	1
Fri Aug 09 12:25:28 2013	1376065528	1	1	2	1
