 54.00 60.00 65.00 83.50  59.25 66.25 86.50 123.00  64.75 74.25 124.50 221.25  76.50 111.00 206.25 405.00
 104.25 61.25 66.75 85.75  69.00 73.00 90.25 126.00  75.50 81.00 132.25 233.00  87.25 123.75 218.75 437.50
 153.50 111.25 78.50 93.00  121.75 81.00 96.50 135.25  79.25 85.00 140.50 239.75  95.00 128.25 228.50 457.50
 205.00 114.25 80.00 94.50  134.00 85.75 99.00 140.75  81.00 89.75 142.50 245.25  98.75 132.50 236.00 464.50
 255.75 164.75 137.50 116.50  194.00 149.25 108.75 150.00  149.75 92.75 146.00 250.50  100.25 136.75 239.00 468.75
 307.25 167.50 138.25 119.75  204.25 152.75 111.25 159.25  154.50 99.00 149.25 253.25  102.00 142.00 240.50 473.75
 357.50 216.75 139.00 120.25  261.00 163.00 116.00 164.50  160.50 101.25 152.50 256.50  107.00 145.75 242.50 478.25
 407.75 218.75 139.50 120.25  273.75 165.25 123.75 168.75  164.75 105.75 156.25 258.25  110.75 147.25 246.25 483.00
 462.25 278.50 206.50 202.75  329.75 225.50 198.25 172.75  236.75 177.25 158.25 261.50  188.75 149.50 251.75 484.50
 512.75 281.00 208.25 206.00  338.25 231.00 206.00 179.00  241.00 188.50 159.75 264.75  194.00 150.75 257.00 489.25
 563.00 333.50 215.00 208.75  392.75 240.75 209.75 180.50  247.25 191.50 161.50 268.25  197.25 153.00 258.25 490.75
 614.25 335.50 217.00 211.25  406.00 247.00 215.75 188.00  250.75 199.50 163.50 270.00  199.25 154.00 260.00 494.00
 665.25 384.50 273.00 240.00  470.25 312.50 223.25 189.75  319.75 202.00 165.25 270.75  201.00 157.25 261.25 495.75
 714.75 387.25 274.25 240.75  480.00 314.75 226.75 192.25  326.00 203.75 169.00 272.75  204.75 160.50 262.75 497.75
 765.75 440.75 275.25 246.25  538.75 326.25 231.50 196.00  331.50 206.25 172.50 275.25  207.00 163.25 264.75 499.25
 815.50 442.25 276.25 247.75  546.75 335.50 235.25 200.00  338.00 214.00 173.50 276.00  210.25 165.50 267.25 500.25
